cell_id,Hydrobates castro,Hydrobates castro castro,Hydrobates castro [undescribed form],Hydrobates castro bangsi
832649fffffffff,2.0,0.0,0.0,0.0
83264bfffffffff,10.0,0.0,0.0,0.0
83265dfffffffff,10.0,0.0,0.0,0.0
832835fffffffff,4.0,0.0,0.0,0.0
832a00fffffffff,127.0,0.0,0.0,0.0
832a01fffffffff,3.0,0.0,0.0,0.0
832a02fffffffff,138.0,0.0,0.0,0.0
832a03fffffffff,2.0,0.0,0.0,0.0
832a05fffffffff,323.0,0.0,0.0,0.0
832a06fffffffff,1.0,0.0,0.0,0.0
832a10fffffffff,5.0,0.0,0.0,0.0
832a11fffffffff,16.0,0.0,0.0,0.0
832a18fffffffff,518.0,0.0,0.0,0.0
832a1afffffffff,22.0,0.0,0.0,0.0
832a1bfffffffff,19.0,5.0,0.0,0.0
832a1cfffffffff,342.0,0.0,0.0,0.0
832a1efffffffff,2.0,0.0,0.0,0.0
832a23fffffffff,2.0,0.0,0.0,0.0
832a2efffffffff,4.0,0.0,0.0,0.0
832a31fffffffff,7.0,0.0,0.0,0.0
832aa3fffffffff,1.0,0.0,0.0,0.0
832aadfffffffff,4.0,0.0,0.0,0.0
832ac0fffffffff,1.0,0.0,0.0,0.0
832ac6fffffffff,67.0,5.0,9.0,0.0
832adcfffffffff,4.0,0.0,0.0,0.0
832af1fffffffff,2.0,0.0,0.0,0.0
832af4fffffffff,11.0,0.0,0.0,0.0
832af5fffffffff,17.0,0.0,0.0,0.0
832af6fffffffff,4.0,0.0,0.0,0.0
832b52fffffffff,1.0,0.0,0.0,0.0
832e01fffffffff,1.0,0.0,0.0,0.0
832e2dfffffffff,1.0,0.0,0.0,0.0
833422fffffffff,1.0,0.0,0.0,0.0
83346dfffffffff,8.0,3.0,2.0,0.0
83351afffffffff,8.0,0.0,8.0,0.0
833914fffffffff,1.0,1.0,0.0,0.0
833922fffffffff,5.0,0.0,0.0,0.0
833933fffffffff,25.0,0.0,9.0,0.0
834409fffffffff,11.0,0.0,0.0,0.0
834410fffffffff,3.0,0.0,0.0,0.0
834411fffffffff,22.0,0.0,0.0,0.0
834414fffffffff,1.0,0.0,0.0,0.0
834415fffffffff,2.0,0.0,0.0,0.0
83441efffffffff,3.0,0.0,0.0,0.0
834440fffffffff,5.0,0.0,0.0,0.0
834454fffffffff,7.0,0.0,0.0,0.0
834464fffffffff,24.0,0.0,0.0,0.0
834465fffffffff,86.0,0.0,0.0,0.0
834470fffffffff,14.0,0.0,0.0,0.0
834472fffffffff,6.0,0.0,0.0,0.0
834489fffffffff,9.0,0.0,6.0,0.0
83448cfffffffff,38.0,4.0,2.0,0.0
83448dfffffffff,1.0,0.0,0.0,0.0
8344a8fffffffff,4.0,0.0,0.0,0.0
8344aafffffffff,59.0,0.0,17.0,0.0
8344abfffffffff,121.0,0.0,0.0,0.0
8344aefffffffff,24.0,2.0,1.0,0.0
8344d4fffffffff,3.0,0.0,0.0,0.0
8344d6fffffffff,33.0,0.0,0.0,0.0
8344f0fffffffff,3.0,0.0,0.0,0.0
8344f6fffffffff,6.0,0.0,0.0,0.0
834549fffffffff,126.0,0.0,0.0,0.0
83454bfffffffff,50.0,0.0,0.0,0.0
834643fffffffff,3.0,0.0,0.0,0.0
83464bfffffffff,2.0,0.0,0.0,0.0
83464efffffffff,12.0,0.0,0.0,0.0
834890fffffffff,15.0,0.0,0.0,0.0
834894fffffffff,13.0,0.0,0.0,0.0
834896fffffffff,161.0,0.0,0.0,0.0
8348b2fffffffff,41.0,0.0,0.0,0.0
834995fffffffff,2.0,0.0,0.0,0.0
835536fffffffff,1.0,1.0,0.0,0.0
8355a1fffffffff,1.0,0.0,0.0,0.0
835d10fffffffff,91.0,0.0,0.0,0.0
835d11fffffffff,11.0,0.0,0.0,0.0
835d12fffffffff,244.0,0.0,0.0,0.0
835d13fffffffff,4.0,0.0,0.0,0.0
835d16fffffffff,1.0,0.0,0.0,0.0
835facfffffffff,1.0,0.0,0.0,0.0
836684fffffffff,1.0,0.0,0.0,0.0
83668efffffffff,2.0,0.0,0.0,0.0
83669bfffffffff,6.0,0.0,0.0,0.0
8366a3fffffffff,3.0,0.0,0.0,0.0
8366aefffffffff,1.0,0.0,0.0,0.0
8366d4fffffffff,3.0,0.0,0.0,0.0
836c59fffffffff,30.0,0.0,0.0,13.0
836c5afffffffff,31.0,0.0,0.0,27.0
836c5bfffffffff,28.0,0.0,0.0,24.0
836c61fffffffff,12.0,0.0,0.0,0.0
836c65fffffffff,18.0,0.0,0.0,2.0
836d34fffffffff,2.0,0.0,0.0,0.0
836d49fffffffff,5.0,0.0,0.0,0.0
836d4bfffffffff,4.0,0.0,0.0,0.0
836d6bfffffffff,1.0,0.0,0.0,0.0
837d80fffffffff,2.0,0.0,0.0,0.0
838f20fffffffff,1.0,0.0,0.0,0.0
838f2afffffffff,2.0,0.0,0.0,0.0
838fa6fffffffff,11.0,0.0,0.0,2.0
838fb4fffffffff,2.0,0.0,0.0,0.0
8398e6fffffffff,1.0,1.0,0.0,0.0
839e05fffffffff,1.0,0.0,0.0,0.0
83beaafffffffff,9.0,0.0,0.0,0.0
83beabfffffffff,1.0,0.0,0.0,0.0
83beaefffffffff,6.0,0.0,0.0,0.0
