cell_id,Limosa limosa,Limosa limosa islandica,Limosa limosa limosa,Limosa limosa melanuroides,Limosa limosa bohaii
8407589ffffffff,2.0,0.0,0.0,0.0,0.0
84075d1ffffffff,1.0,0.0,0.0,0.0,0.0
8407623ffffffff,4.0,0.0,0.0,0.0,0.0
8407635ffffffff,4.0,4.0,0.0,0.0,0.0
8408829ffffffff,4.0,4.0,0.0,0.0,0.0
8408889ffffffff,5.0,0.0,0.0,0.0,0.0
8408d19ffffffff,2.0,0.0,2.0,0.0,0.0
8408ed3ffffffff,2.0,2.0,0.0,0.0,0.0
8409821ffffffff,2.0,0.0,0.0,0.0,0.0
8409a69ffffffff,4.0,0.0,0.0,0.0,0.0
840bb1dffffffff,2.0,0.0,2.0,0.0,0.0
840c143ffffffff,2.0,0.0,0.0,0.0,0.0
840c5a5ffffffff,2.0,0.0,0.0,0.0,0.0
840ca43ffffffff,5.0,0.0,0.0,0.0,0.0
8410dc1ffffffff,1.0,0.0,0.0,0.0,0.0
8411813ffffffff,2.0,0.0,0.0,0.0,0.0
84118e9ffffffff,4.0,0.0,3.0,0.0,0.0
8411ae3ffffffff,9.0,0.0,4.0,0.0,0.0
8414a8dffffffff,2.0,0.0,0.0,2.0,0.0
8414ae5ffffffff,4.0,0.0,0.0,4.0,0.0
8414ae9ffffffff,2.0,0.0,0.0,2.0,0.0
8415901ffffffff,1.0,0.0,0.0,0.0,0.0
8415b31ffffffff,1.0,0.0,0.0,0.0,1.0
8415b33ffffffff,3.0,0.0,0.0,0.0,3.0
8416507ffffffff,26.0,0.0,0.0,13.0,0.0
84165e1ffffffff,2.0,0.0,0.0,0.0,0.0
84171a7ffffffff,10.0,0.0,0.0,0.0,0.0
841828bffffffff,14.0,14.0,0.0,0.0,0.0
84182adffffffff,1.0,0.0,0.0,0.0,0.0
84182c9ffffffff,2.0,2.0,0.0,0.0,0.0
8418443ffffffff,2.0,0.0,0.0,0.0,0.0
8418451ffffffff,4.0,0.0,0.0,0.0,0.0
8418455ffffffff,4.0,0.0,0.0,0.0,0.0
8418495ffffffff,218.0,4.0,0.0,0.0,0.0
841849dffffffff,3.0,0.0,0.0,0.0,0.0
84184b7ffffffff,6.0,0.0,0.0,0.0,0.0
84184d5ffffffff,1.0,0.0,1.0,0.0,0.0
84184ddffffffff,29.0,0.0,0.0,0.0,0.0
84185b5ffffffff,10.0,0.0,0.0,0.0,0.0
84185bbffffffff,23.0,0.0,0.0,0.0,0.0
8418607ffffffff,6.0,2.0,0.0,0.0,0.0
8418667ffffffff,2.0,0.0,0.0,0.0,0.0
84186a1ffffffff,3.0,0.0,0.0,0.0,0.0
84186cbffffffff,2.0,0.0,0.0,0.0,0.0
8418747ffffffff,7.0,0.0,0.0,0.0,0.0
84190b3ffffffff,1.0,0.0,0.0,0.0,0.0
84190bbffffffff,5.0,0.0,0.0,0.0,0.0
84190e1ffffffff,2.0,0.0,0.0,0.0,0.0
84190e3ffffffff,2.0,0.0,0.0,0.0,0.0
841926dffffffff,2.0,0.0,0.0,0.0,0.0
84192b7ffffffff,2.0,0.0,0.0,0.0,0.0
84192cbffffffff,1.0,0.0,0.0,0.0,0.0
8419405ffffffff,6.0,2.0,0.0,0.0,0.0
8419411ffffffff,2.0,0.0,2.0,0.0,0.0
8419413ffffffff,22.0,3.0,19.0,0.0,0.0
8419415ffffffff,7.0,1.0,1.0,0.0,0.0
8419421ffffffff,3.0,2.0,0.0,0.0,0.0
8419429ffffffff,3.0,0.0,0.0,0.0,0.0
841942bffffffff,6.0,0.0,0.0,0.0,0.0
8419435ffffffff,2.0,0.0,0.0,0.0,0.0
8419439ffffffff,5.0,2.0,0.0,0.0,0.0
841943bffffffff,1.0,1.0,0.0,0.0,0.0
841943dffffffff,6.0,0.0,0.0,0.0,0.0
8419465ffffffff,2.0,0.0,0.0,0.0,0.0
84194b9ffffffff,2.0,1.0,0.0,0.0,0.0
