cell_id,Colinus virginianus,Colinus virginianus [virginianus Group],Colinus virginianus graysoni/nigripectus,Colinus virginianus [pectoralis Group],Colinus virginianus [coyoleos Group]
830c55fffffffff,2.0,0.0,0.0,0.0,0.0
830e49fffffffff,1.0,0.0,0.0,0.0,0.0
830e4dfffffffff,1.0,0.0,0.0,0.0,0.0
8312d9fffffffff,2.0,0.0,0.0,0.0,0.0
8312dbfffffffff,2.0,0.0,0.0,0.0,0.0
83195bfffffffff,1.0,0.0,0.0,0.0,0.0
831fb2fffffffff,2.0,0.0,0.0,0.0,0.0
832601fffffffff,7.0,0.0,0.0,0.0,0.0
832608fffffffff,5.0,0.0,0.0,0.0,0.0
832609fffffffff,1.0,0.0,0.0,0.0,0.0
83260bfffffffff,1.0,0.0,0.0,0.0,0.0
83260cfffffffff,5.0,0.0,0.0,0.0,0.0
83260dfffffffff,7.0,0.0,0.0,0.0,0.0
83260efffffffff,36.0,2.0,0.0,0.0,0.0
832611fffffffff,4.0,0.0,0.0,0.0,0.0
832615fffffffff,1.0,0.0,0.0,0.0,0.0
832618fffffffff,1.0,0.0,0.0,0.0,0.0
83261bfffffffff,2.0,0.0,0.0,0.0,0.0
832620fffffffff,1.0,0.0,0.0,0.0,0.0
832621fffffffff,5.0,0.0,0.0,0.0,0.0
832629fffffffff,3.0,0.0,0.0,0.0,0.0
83262cfffffffff,2.0,0.0,0.0,0.0,0.0
83262dfffffffff,3.0,0.0,0.0,0.0,0.0
832636fffffffff,1.0,0.0,0.0,0.0,0.0
832640fffffffff,3.0,0.0,0.0,0.0,0.0
832641fffffffff,1.0,0.0,0.0,0.0,0.0
832642fffffffff,7.0,0.0,0.0,0.0,0.0
832643fffffffff,1.0,0.0,0.0,0.0,0.0
832644fffffffff,1.0,0.0,0.0,0.0,0.0
832645fffffffff,2.0,0.0,0.0,0.0,0.0
832646fffffffff,107.0,0.0,0.0,0.0,0.0
832648fffffffff,2.0,0.0,0.0,0.0,0.0
832649fffffffff,4.0,0.0,0.0,0.0,0.0
83264afffffffff,35.0,0.0,0.0,0.0,0.0
83264bfffffffff,1.0,0.0,0.0,0.0,0.0
83264cfffffffff,3.0,0.0,0.0,0.0,0.0
83264dfffffffff,11.0,3.0,0.0,0.0,0.0
83264efffffffff,18.0,0.0,0.0,0.0,0.0
832651fffffffff,53.0,0.0,0.0,0.0,0.0
832652fffffffff,4.0,0.0,0.0,0.0,0.0
832653fffffffff,3.0,0.0,0.0,0.0,0.0
832654fffffffff,3.0,0.0,0.0,0.0,0.0
832655fffffffff,4.0,0.0,0.0,0.0,0.0
832656fffffffff,2.0,2.0,0.0,0.0,0.0
832659fffffffff,12.0,4.0,0.0,0.0,0.0
83265afffffffff,1.0,0.0,0.0,0.0,0.0
83265bfffffffff,2.0,0.0,0.0,0.0,0.0
83265cfffffffff,2.0,0.0,0.0,0.0,0.0
83265efffffffff,5.0,0.0,0.0,0.0,0.0
832660fffffffff,13.0,0.0,0.0,0.0,0.0
832661fffffffff,1.0,0.0,0.0,0.0,0.0
832662fffffffff,14.0,0.0,0.0,0.0,0.0
