cell_id,Pheucticus aureoventris,Pheucticus aureoventris meridensis,Pheucticus aureoventris crissalis,Pheucticus aureoventris uropygialis/terminalis,Pheucticus aureoventris aureoventris
836608fffffffff,20.0,0.0,0.0,0.0,0.0
836609fffffffff,33.0,0.0,0.0,0.0,0.0
83660bfffffffff,396.0,0.0,0.0,0.0,0.0
83660cfffffffff,60.0,0.0,0.0,0.0,0.0
83660dfffffffff,11.0,0.0,0.0,0.0,0.0
836619fffffffff,1.0,0.0,0.0,0.0,0.0
836629fffffffff,24.0,4.0,0.0,0.0,0.0
8366c6fffffffff,1.0,0.0,0.0,0.0,0.0
8366d0fffffffff,2.0,0.0,0.0,0.0,0.0
8366d1fffffffff,83.0,0.0,4.0,0.0,0.0
8366d3fffffffff,8.0,0.0,2.0,0.0,0.0
8366d5fffffffff,121.0,0.0,0.0,0.0,0.0
8366dafffffffff,4.0,0.0,0.0,0.0,0.0
8366defffffffff,2.0,0.0,0.0,0.0,0.0
8366e0fffffffff,433.0,0.0,0.0,13.0,0.0
8366e4fffffffff,1526.0,0.0,0.0,19.0,0.0
8366e5fffffffff,24.0,0.0,0.0,0.0,0.0
838b05fffffffff,2.0,0.0,0.0,0.0,0.0
838b06fffffffff,1.0,0.0,0.0,0.0,0.0
838b10fffffffff,2.0,0.0,0.0,0.0,0.0
838b11fffffffff,3.0,0.0,0.0,0.0,0.0
838b20fffffffff,279.0,0.0,0.0,0.0,0.0
838b21fffffffff,29.0,0.0,0.0,0.0,0.0
838b22fffffffff,223.0,0.0,0.0,0.0,0.0
838b24fffffffff,5.0,0.0,0.0,0.0,0.0
838b25fffffffff,71.0,0.0,0.0,0.0,0.0
838b26fffffffff,16.0,0.0,0.0,0.0,0.0
838b2afffffffff,13.0,0.0,0.0,0.0,0.0
838b2cfffffffff,96.0,0.0,0.0,0.0,0.0
838b2dfffffffff,25.0,0.0,0.0,0.0,0.0
838b31fffffffff,5.0,0.0,0.0,0.0,0.0
838b56fffffffff,2.0,0.0,0.0,0.0,0.0
838b61fffffffff,1132.0,0.0,0.0,83.0,0.0
838b63fffffffff,4.0,0.0,0.0,3.0,0.0
838b65fffffffff,2.0,0.0,0.0,0.0,0.0
838b66fffffffff,5.0,0.0,0.0,0.0,0.0
