cell_id,Dryobates villosus,Dryobates villosus [villosus Group],Dryobates villosus [harrisi Group],Dryobates villosus orius/icastus,Dryobates villosus jardinii/sanctorum,Dryobates villosus extimus
840c5adffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c733ffffffff,4.0,4.0,0.0,0.0,0.0,0.0
840c735ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840c73bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c73dffffffff,8.0,0.0,0.0,0.0,0.0,0.0
840c747ffffffff,4.0,4.0,0.0,0.0,0.0,0.0
840e4b3ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
840ec51ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840eeabffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8412307ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84124e5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412515ffffffff,21.0,21.0,0.0,0.0,0.0,0.0
8412539ffffffff,4.0,4.0,0.0,0.0,0.0,0.0
8412581ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84125d7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412c21ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412cbdffffffff,2.0,0.0,0.0,2.0,0.0,0.0
8412ccdffffffff,11.0,1.0,0.0,0.0,0.0,0.0
8412ce7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412d8bffffffff,1.0,0.0,0.0,1.0,0.0,0.0
8412db5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412dd9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8412ddbffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8412de3ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
8412de7ffffffff,8.0,0.0,0.0,3.0,0.0,0.0
8412ecdffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8413829ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8413861ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8413867ffffffff,16.0,0.0,0.0,0.0,0.0,0.0
841aa2bffffffff,3.0,0.0,0.0,0.0,0.0,0.0
841aa45ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
841aa4dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
841aa69ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
841aa6bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
841b991ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
841b9e1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
841b9ebffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426085ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8426087ffffffff,4.0,4.0,0.0,0.0,0.0,0.0
842608dffffffff,16.0,16.0,0.0,0.0,0.0,0.0
84260a1ffffffff,14.0,14.0,0.0,0.0,0.0,0.0
84260adffffffff,6.0,6.0,0.0,0.0,0.0,0.0
84260e3ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
84260ebffffffff,2.0,2.0,0.0,0.0,0.0,0.0
