cell_id,Locustella montis,Locustella montis montis,Locustella montis timorensis
828d87fffffffff,29.0,16.0,0.0
828d8ffffffffff,10.0,7.0,0.0
828da7fffffffff,86.0,54.0,0.0
828db7fffffffff,79.0,46.0,0.0
829427fffffffff,30.0,0.0,24.0
82942ffffffffff,6.0,0.0,6.0
8295a7fffffffff,1.0,0.0,0.0
