cell_id,Lanius cristatus,Lanius cristatus cristatus/confusus,Lanius cristatus superciliosus,Lanius cristatus lucionensis
830a33fffffffff,1.0,0.0,0.0,0.0
831485fffffffff,2.0,0.0,0.0,0.0
83148cfffffffff,8.0,0.0,0.0,0.0
831492fffffffff,2.0,0.0,0.0,0.0
831496fffffffff,2.0,0.0,0.0,0.0
83149afffffffff,6.0,0.0,0.0,0.0
83149efffffffff,18.0,0.0,0.0,0.0
8314a8fffffffff,2.0,0.0,0.0,0.0
8314aafffffffff,2.0,0.0,0.0,0.0
8314aefffffffff,101.0,0.0,0.0,0.0
8314b2fffffffff,2.0,0.0,0.0,0.0
8314c8fffffffff,3.0,0.0,0.0,0.0
8314d6fffffffff,2.0,0.0,0.0,0.0
83155dfffffffff,14.0,0.0,0.0,0.0
831588fffffffff,4.0,0.0,0.0,0.0
831590fffffffff,3.0,0.0,0.0,0.0
831591fffffffff,5.0,0.0,0.0,0.0
831592fffffffff,5.0,0.0,0.0,0.0
831595fffffffff,3.0,0.0,0.0,0.0
831598fffffffff,9.0,1.0,0.0,0.0
831599fffffffff,2.0,2.0,0.0,0.0
83159cfffffffff,5.0,0.0,0.0,0.0
8315b3fffffffff,7.0,0.0,0.0,0.0
831630fffffffff,2.0,0.0,0.0,0.0
831711fffffffff,2.0,0.0,0.0,0.0
831715fffffffff,1.0,0.0,0.0,0.0
83204dfffffffff,2.0,2.0,0.0,0.0
832068fffffffff,1.0,1.0,0.0,0.0
832400fffffffff,6.0,0.0,0.0,0.0
832403fffffffff,2.0,0.0,0.0,0.0
832404fffffffff,2.0,0.0,0.0,0.0
832405fffffffff,1.0,0.0,0.0,0.0
832406fffffffff,3.0,0.0,0.0,0.0
832408fffffffff,1.0,0.0,0.0,0.0
83240afffffffff,6.0,0.0,0.0,0.0
83240efffffffff,1.0,0.0,0.0,0.0
832423fffffffff,1.0,0.0,0.0,0.0
832425fffffffff,2.0,0.0,0.0,0.0
832426fffffffff,6.0,0.0,0.0,0.0
832429fffffffff,3.0,0.0,0.0,0.0
83242afffffffff,1.0,0.0,0.0,0.0
83242bfffffffff,1.0,0.0,0.0,0.0
83242cfffffffff,12.0,0.0,0.0,0.0
83242dfffffffff,1.0,0.0,0.0,0.0
83242efffffffff,2.0,0.0,0.0,0.0
832431fffffffff,2.0,0.0,0.0,0.0
832434fffffffff,1.0,0.0,0.0,0.0
832446fffffffff,2.0,0.0,0.0,0.0
83244bfffffffff,22.0,0.0,0.0,0.0
83244cfffffffff,7.0,0.0,0.0,0.0
832450fffffffff,34.0,0.0,0.0,0.0
832451fffffffff,24.0,0.0,0.0,0.0
832452fffffffff,37.0,0.0,0.0,0.0
832454fffffffff,1.0,0.0,0.0,0.0
832456fffffffff,25.0,0.0,0.0,0.0
832460fffffffff,119.0,1.0,0.0,0.0
832461fffffffff,1.0,0.0,0.0,0.0
832462fffffffff,1.0,0.0,0.0,0.0
832463fffffffff,3.0,0.0,0.0,0.0
832464fffffffff,4.0,0.0,0.0,0.0
832469fffffffff,7.0,1.0,0.0,0.0
83246afffffffff,1.0,0.0,0.0,0.0
83246cfffffffff,2.0,0.0,0.0,0.0
83246dfffffffff,1.0,0.0,0.0,0.0
832475fffffffff,8.0,0.0,0.0,0.0
832476fffffffff,10.0,0.0,0.0,0.0
832488fffffffff,5.0,0.0,0.0,0.0
83248afffffffff,3.0,0.0,0.0,0.0
83248efffffffff,3.0,0.0,0.0,0.0
8324c0fffffffff,2.0,0.0,0.0,2.0
8324c2fffffffff,2.0,0.0,0.0,0.0
8324cdfffffffff,2.0,0.0,0.0,0.0
8324d2fffffffff,6.0,0.0,0.0,0.0
8324d5fffffffff,2.0,1.0,0.0,0.0
8324defffffffff,2.0,0.0,0.0,0.0
832510fffffffff,4.0,0.0,0.0,0.0
832512fffffffff,19.0,0.0,0.0,0.0
832513fffffffff,4.0,0.0,0.0,0.0
83251bfffffffff,2.0,0.0,0.0,0.0
83251efffffffff,1.0,0.0,0.0,0.0
832540fffffffff,22.0,3.0,0.0,0.0
832546fffffffff,37.0,7.0,0.0,0.0
832552fffffffff,1.0,0.0,0.0,0.0
83255afffffffff,54.0,0.0,0.0,0.0
83255bfffffffff,29.0,0.0,0.0,0.0
832571fffffffff,7.0,2.0,0.0,0.0
