cell_id,Glaucidium capense,Glaucidium capense scheffleri,Glaucidium capense capense/ngamiense,Glaucidium capense etchecopari,Glaucidium capense castaneum
827517fffffffff,1.0,0.0,0.0,0.0,0.0
82752ffffffffff,58.0,0.0,0.0,11.0,0.0
827b4ffffffffff,1.0,0.0,0.0,0.0,0.0
827b5ffffffffff,21.0,0.0,0.0,0.0,0.0
827b6ffffffffff,10.0,0.0,0.0,0.0,0.0
828317fffffffff,5.0,0.0,1.0,0.0,0.0
8283a7fffffffff,8.0,0.0,1.0,0.0,0.0
8283affffffffff,1.0,0.0,1.0,0.0,0.0
829607fffffffff,24.0,0.0,10.0,0.0,0.0
82960ffffffffff,5.0,0.0,0.0,0.0,0.0
829617fffffffff,12.0,0.0,0.0,0.0,0.0
829627fffffffff,38.0,0.0,0.0,0.0,0.0
82962ffffffffff,57.0,0.0,5.0,0.0,0.0
829637fffffffff,8.0,0.0,0.0,0.0,0.0
829677fffffffff,14.0,0.0,0.0,0.0,0.0
82968ffffffffff,6.0,0.0,0.0,0.0,0.0
829697fffffffff,22.0,0.0,0.0,0.0,0.0
8296a7fffffffff,1.0,0.0,0.0,0.0,0.0
8296affffffffff,2.0,0.0,0.0,0.0,0.0
8296b7fffffffff,17.0,0.0,0.0,0.0,0.0
829707fffffffff,20.0,0.0,0.0,0.0,0.0
82970ffffffffff,4.0,0.0,0.0,0.0,0.0
829717fffffffff,38.0,0.0,0.0,0.0,0.0
829727fffffffff,3.0,0.0,0.0,0.0,0.0
82972ffffffffff,48.0,0.0,11.0,0.0,0.0
829747fffffffff,125.0,0.0,0.0,0.0,0.0
82974ffffffffff,190.0,0.0,12.0,0.0,0.0
829757fffffffff,35.0,0.0,0.0,0.0,0.0
82975ffffffffff,137.0,0.0,4.0,0.0,0.0
829777fffffffff,2.0,0.0,0.0,0.0,0.0
82978ffffffffff,6.0,0.0,0.0,0.0,0.0
82979ffffffffff,4.0,0.0,0.0,0.0,0.0
8297affffffffff,29.0,0.0,0.0,0.0,0.0
82ac8ffffffffff,5.0,0.0,0.0,0.0,0.0
82ac97fffffffff,3.0,0.0,0.0,0.0,0.0
82acb7fffffffff,2.0,0.0,0.0,0.0,0.0
82bc9ffffffffff,3.0,0.0,0.0,0.0,0.0
82bcd7fffffffff,197.0,0.0,29.0,0.0,0.0
