cell_id,Asthenes wyatti,Asthenes wyatti [wyatti Group],Asthenes wyatti [sclateri Group]
84660b9ffffffff,2.0,2.0,0.0
8466207ffffffff,17.0,17.0,0.0
846623dffffffff,5.0,5.0,0.0
848e60dffffffff,1.0,1.0,0.0
848e663ffffffff,12.0,12.0,0.0
848e693ffffffff,2.0,2.0,0.0
848e69bffffffff,2.0,2.0,0.0
848f597ffffffff,14.0,14.0,0.0
848f765ffffffff,3.0,3.0,0.0
84b2099ffffffff,9.0,0.0,9.0
84b25c9ffffffff,3.0,0.0,3.0
84b25cbffffffff,4.0,0.0,4.0
84b2725ffffffff,2.0,0.0,2.0
84b2ee9ffffffff,2.0,0.0,2.0
84b3289ffffffff,1.0,0.0,1.0
84b3355ffffffff,7.0,0.0,7.0
84b3519ffffffff,2.0,0.0,2.0
84b351dffffffff,1.0,0.0,1.0
84b3543ffffffff,4.0,0.0,4.0
84b354bffffffff,11.0,0.0,11.0
84b3553ffffffff,2.0,0.0,2.0
84b35e5ffffffff,1.0,0.0,1.0
84b35e9ffffffff,2.0,0.0,2.0
