cell_id,Argya striata,Argya striata [striata Group],Argya striata somervillei
843c029ffffffff,8.0,0.0,0.0
843c02dffffffff,9.0,0.0,0.0
843c065ffffffff,4.0,4.0,0.0
843c0a5ffffffff,11.0,0.0,0.0
843c137ffffffff,2.0,0.0,0.0
843c159ffffffff,12.0,12.0,0.0
843c15bffffffff,2.0,0.0,0.0
843c193ffffffff,1.0,0.0,0.0
843c199ffffffff,6.0,0.0,0.0
843c19bffffffff,3.0,0.0,0.0
843c1b9ffffffff,4.0,0.0,0.0
843c1c3ffffffff,12.0,0.0,0.0
843c1d7ffffffff,4.0,0.0,0.0
843c8d7ffffffff,2.0,0.0,0.0
843c8dbffffffff,2.0,0.0,0.0
843c8e5ffffffff,2.0,0.0,0.0
843c8edffffffff,2.0,0.0,0.0
843ca87ffffffff,4.0,0.0,0.0
843ca93ffffffff,2.0,0.0,0.0
843ca95ffffffff,2.0,0.0,0.0
843ca97ffffffff,6.0,3.0,0.0
843cab7ffffffff,1.0,0.0,0.0
843cab9ffffffff,2.0,0.0,0.0
843cabbffffffff,2.0,0.0,0.0
843ce15ffffffff,6.0,2.0,0.0
843ce2bffffffff,4.0,0.0,0.0
843ce43ffffffff,4.0,0.0,0.0
843ce55ffffffff,1.0,0.0,0.0
843cec9ffffffff,1.0,0.0,0.0
843cf05ffffffff,10.0,0.0,0.0
843cf0dffffffff,3.0,0.0,0.0
843cf25ffffffff,2.0,0.0,0.0
843cf29ffffffff,11.0,0.0,0.0
843cf2dffffffff,17.0,0.0,0.0
843cf61ffffffff,1.0,0.0,0.0
843cf67ffffffff,2.0,0.0,0.0
843cf69ffffffff,6.0,0.0,0.0
843d103ffffffff,1.0,0.0,0.0
843d131ffffffff,2.0,0.0,0.0
843d133ffffffff,6.0,0.0,0.0
843d135ffffffff,2.0,0.0,0.0
843d139ffffffff,39.0,0.0,0.0
843d13bffffffff,3.0,0.0,0.0
843d1e7ffffffff,1.0,0.0,0.0
843d1edffffffff,5.0,0.0,0.0
843d859ffffffff,1.0,0.0,0.0
