cell_id,Anser albifrons,Anser albifrons flavirostris,Anser albifrons albifrons,Anser albifrons gambelli/sponsa,Anser albifrons elgasi
8401269ffffffff,5.0,0.0,0.0,0.0,0.0
840130bffffffff,3.0,0.0,0.0,0.0,0.0
8401351ffffffff,1.0,0.0,0.0,0.0,0.0
8401b31ffffffff,2.0,0.0,0.0,0.0,0.0
84025cbffffffff,2.0,0.0,0.0,0.0,0.0
8402c01ffffffff,1.0,0.0,0.0,0.0,0.0
8402c0dffffffff,1.0,0.0,0.0,0.0,0.0
8402c23ffffffff,1.0,0.0,0.0,0.0,0.0
8402c39ffffffff,1.0,0.0,0.0,0.0,0.0
8402c83ffffffff,2.0,0.0,0.0,0.0,0.0
8402c87ffffffff,2.0,0.0,0.0,0.0,0.0
8402ca7ffffffff,2.0,0.0,0.0,0.0,0.0
8402cabffffffff,2.0,0.0,0.0,0.0,0.0
8402cadffffffff,312.0,0.0,0.0,0.0,0.0
8402ce5ffffffff,1.0,0.0,0.0,0.0,0.0
8402ce7ffffffff,2.0,0.0,0.0,0.0,0.0
8402d89ffffffff,2.0,0.0,0.0,0.0,0.0
8402dc5ffffffff,2.0,0.0,0.0,0.0,0.0
8402dc7ffffffff,3.0,0.0,0.0,0.0,0.0
8402dd9ffffffff,2.0,0.0,0.0,0.0,0.0
8402ddbffffffff,2.0,0.0,0.0,0.0,0.0
8402dddffffffff,5.0,0.0,0.0,0.0,0.0
8402de1ffffffff,2.0,0.0,0.0,0.0,0.0
8402debffffffff,1.0,0.0,0.0,0.0,0.0
8402e83ffffffff,2.0,0.0,0.0,0.0,0.0
8402ed7ffffffff,2.0,0.0,0.0,0.0,0.0
84041abffffffff,49.0,0.0,0.0,0.0,0.0
8404ccbffffffff,2.0,0.0,0.0,0.0,0.0
8404cddffffffff,17.0,0.0,0.0,0.0,0.0
8404eb1ffffffff,8.0,0.0,0.0,0.0,0.0
84058cbffffffff,43.0,0.0,3.0,0.0,0.0
8407411ffffffff,3.0,1.0,0.0,0.0,0.0
8407417ffffffff,2.0,0.0,0.0,0.0,0.0
8407419ffffffff,8.0,0.0,0.0,0.0,0.0
8407431ffffffff,5.0,2.0,0.0,0.0,0.0
8407433ffffffff,79.0,1.0,0.0,0.0,0.0
8407437ffffffff,4.0,0.0,0.0,0.0,0.0
840744bffffffff,2.0,0.0,0.0,0.0,0.0
8407465ffffffff,4.0,2.0,0.0,0.0,0.0
84074edffffffff,6.0,0.0,0.0,0.0,0.0
8407589ffffffff,4.0,0.0,0.0,0.0,0.0
840758dffffffff,2.0,0.0,0.0,0.0,0.0
84075cbffffffff,15.0,6.0,0.0,0.0,0.0
84075d1ffffffff,13.0,10.0,0.0,0.0,0.0
84075ddffffffff,6.0,0.0,0.0,0.0,0.0
84075e3ffffffff,2.0,0.0,0.0,0.0,0.0
8407621ffffffff,2.0,2.0,0.0,0.0,0.0
8407623ffffffff,4.0,4.0,0.0,0.0,0.0
8407635ffffffff,3.0,0.0,0.0,0.0,0.0
8407715ffffffff,2.0,2.0,0.0,0.0,0.0
8407733ffffffff,5.0,5.0,0.0,0.0,0.0
8408065ffffffff,3.0,0.0,0.0,0.0,0.0
8408153ffffffff,2.0,0.0,2.0,0.0,0.0
