cell_id,Ploceus baglafecht,Ploceus baglafecht [baglafecht Group],Ploceus baglafecht emini,Ploceus baglafecht reichenowi,Ploceus baglafecht [stuhlmanni Group]
845280dffffffff,2.0,0.0,0.0,0.0,0.0
8452831ffffffff,24.0,8.0,0.0,0.0,0.0
845285dffffffff,1.0,0.0,0.0,0.0,0.0
8452863ffffffff,4.0,0.0,0.0,0.0,0.0
8452867ffffffff,8.0,2.0,0.0,0.0,0.0
84528edffffffff,2.0,0.0,0.0,0.0,0.0
8452915ffffffff,4.0,0.0,0.0,0.0,0.0
845291bffffffff,12.0,0.0,0.0,0.0,0.0
8452933ffffffff,3.0,0.0,0.0,0.0,0.0
8452983ffffffff,1.0,0.0,0.0,0.0,0.0
8452991ffffffff,1.0,0.0,0.0,0.0,0.0
8452997ffffffff,17.0,2.0,0.0,0.0,0.0
84529a7ffffffff,1.0,0.0,0.0,0.0,0.0
84529abffffffff,2.0,0.0,0.0,0.0,0.0
84529b1ffffffff,11.0,1.0,0.0,0.0,0.0
84529b3ffffffff,16.0,0.0,0.0,0.0,0.0
84529b5ffffffff,241.0,36.0,0.0,0.0,0.0
84529b7ffffffff,54.0,3.0,0.0,0.0,0.0
84529b9ffffffff,172.0,12.0,0.0,0.0,0.0
84529bbffffffff,16.0,2.0,0.0,0.0,0.0
84529bdffffffff,2.0,0.0,0.0,0.0,0.0
84529dbffffffff,4.0,0.0,0.0,0.0,0.0
84529e1ffffffff,2.0,2.0,0.0,0.0,0.0
84529edffffffff,6.0,6.0,0.0,0.0,0.0
8452a33ffffffff,1.0,0.0,0.0,0.0,0.0
8458c8bffffffff,3.0,0.0,0.0,0.0,0.0
8458debffffffff,9.0,0.0,0.0,0.0,0.0
846a493ffffffff,3.0,0.0,0.0,0.0,0.0
846a49bffffffff,2.0,0.0,0.0,0.0,0.0
846a4bbffffffff,3.0,0.0,0.0,0.0,0.0
846a4d3ffffffff,2.0,0.0,0.0,0.0,0.0
846a5a1ffffffff,2.0,0.0,0.0,0.0,0.0
846a619ffffffff,2.0,2.0,0.0,0.0,0.0
846a693ffffffff,2.0,0.0,0.0,0.0,0.0
846a697ffffffff,4.0,0.0,0.0,0.0,0.0
846a6b1ffffffff,1.0,0.0,0.0,0.0,0.0
846ac03ffffffff,71.0,0.0,0.0,0.0,0.0
846ac0bffffffff,1.0,0.0,0.0,0.0,0.0
846ac11ffffffff,10.0,0.0,0.0,0.0,0.0
846ac15ffffffff,75.0,0.0,0.0,0.0,0.0
846ac31ffffffff,23.0,0.0,0.0,0.0,0.0
846ac33ffffffff,5.0,0.0,0.0,0.0,0.0
846ac35ffffffff,9.0,0.0,0.0,0.0,0.0
846ac37ffffffff,6.0,0.0,0.0,0.0,0.0
846ac39ffffffff,10.0,0.0,0.0,0.0,0.0
846ac3dffffffff,47.0,0.0,0.0,0.0,0.0
846ac5bffffffff,1.0,0.0,0.0,0.0,0.0
846ac89ffffffff,125.0,0.0,0.0,0.0,0.0
846ac93ffffffff,48.0,0.0,0.0,0.0,0.0
846ac9bffffffff,8.0,0.0,0.0,0.0,0.0
846acc3ffffffff,2.0,0.0,0.0,0.0,0.0
846acc7ffffffff,3.0,0.0,0.0,0.0,0.0
846acd5ffffffff,22.0,0.0,0.0,0.0,0.0
846acddffffffff,2.0,0.0,0.0,0.0,0.0
846ace5ffffffff,58.0,0.0,0.0,0.0,0.0
846ad81ffffffff,70.0,0.0,0.0,0.0,0.0
846ad83ffffffff,6.0,0.0,0.0,0.0,0.0
846ad85ffffffff,7.0,0.0,0.0,0.0,0.0
846ad89ffffffff,33.0,0.0,0.0,0.0,0.0
846ad8bffffffff,34.0,0.0,0.0,0.0,0.0
846ad8dffffffff,14.0,0.0,0.0,0.0,0.0
846ada5ffffffff,3.0,0.0,0.0,0.0,0.0
846ada9ffffffff,27.0,0.0,0.0,0.0,0.0
846adadffffffff,1.0,0.0,0.0,0.0,0.0
846adc1ffffffff,700.0,0.0,0.0,0.0,1.0
846adc3ffffffff,49.0,0.0,0.0,0.0,0.0
846adc5ffffffff,48.0,0.0,0.0,0.0,0.0
846adc7ffffffff,167.0,16.0,0.0,0.0,0.0
846adc9ffffffff,41.0,0.0,0.0,0.0,0.0
846adcbffffffff,15.0,0.0,0.0,0.0,0.0
846add7ffffffff,8.0,0.0,0.0,0.0,0.0
846add9ffffffff,6.0,0.0,0.0,0.0,0.0
846adddffffffff,10.0,0.0,0.0,0.0,0.0
846ade3ffffffff,2.0,0.0,0.0,0.0,0.0
846ade7ffffffff,66.0,1.0,0.0,0.0,0.0
