cell_id,Tangara parzudakii,Tangara parzudakii parzudakii/urubambae,Tangara parzudakii lunigera
82660ffffffffff,201.0,3.0,0.0
82661ffffffffff,601.0,0.0,84.0
8266c7fffffffff,1490.0,44.0,0.0
8266d7fffffffff,6552.0,0.0,645.0
8266dffffffffff,1272.0,110.0,0.0
8266e7fffffffff,886.0,11.0,0.0
8266f7fffffffff,84.0,0.0,3.0
828b67fffffffff,69.0,0.0,0.0
828b6ffffffffff,122.0,0.0,0.0
828e67fffffffff,285.0,0.0,0.0
828e6ffffffffff,9.0,0.0,0.0
828f0ffffffffff,111.0,0.0,0.0
828f2ffffffffff,140.0,5.0,0.0
828f47fffffffff,124.0,0.0,0.0
828f4ffffffffff,40.0,0.0,0.0
828f57fffffffff,100.0,0.0,0.0
828f5ffffffffff,88.0,0.0,0.0
828f77fffffffff,1104.0,49.0,0.0
