cell_id,Anthoscopus caroli,Anthoscopus caroli [ansorgei Group],Anthoscopus caroli sylviella/sharpei,Anthoscopus caroli roccatii,Anthoscopus caroli rankinei,Anthoscopus caroli [caroli Group]
846ac0bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
846ac31ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
846ac33ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846ac3dffffffff,4.0,0.0,0.0,0.0,0.0,0.0
846ac89ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
846acadffffffff,1.0,0.0,0.0,0.0,0.0,0.0
846acd5ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
846ace5ffffffff,69.0,0.0,0.0,0.0,0.0,0.0
846ad8bffffffff,6.0,0.0,0.0,0.0,0.0,0.0
846adc9ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
846add7ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
846ade7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
846ae85ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
846aea3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
847a481ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
847a489ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
847a48dffffffff,4.0,0.0,0.0,0.0,0.0,0.0
847a603ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
847a613ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
847a615ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
847a619ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
847a61dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
847a651ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
847a657ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
847a681ffffffff,19.0,0.0,0.0,0.0,0.0,0.0
847a683ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
847a689ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
847a68bffffffff,6.0,0.0,4.0,0.0,0.0,0.0
847a6d1ffffffff,30.0,0.0,12.0,0.0,0.0,0.0
847a6d3ffffffff,4.0,0.0,3.0,0.0,0.0,0.0
847a6d7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
847a6d9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
847a6dbffffffff,8.0,0.0,2.0,0.0,0.0,0.0
847a6ddffffffff,2.0,0.0,0.0,0.0,0.0,0.0
847b4d3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
