cell_id,Sphecotheres vieilloti,Sphecotheres vieilloti [flaviventris Group],Sphecotheres vieilloti salvadorii,Sphecotheres vieilloti vieilloti
839451fffffffff,6.0,0.0,0.0,0.0
83948dfffffffff,4.0,0.0,0.0,0.0
8394edfffffffff,1.0,0.0,0.0,0.0
839c05fffffffff,4.0,4.0,0.0,0.0
839c23fffffffff,12.0,11.0,0.0,0.0
839caafffffffff,2.0,0.0,0.0,0.0
839caefffffffff,1.0,0.0,0.0,0.0
839d01fffffffff,2.0,0.0,0.0,2.0
839d0bfffffffff,5.0,5.0,0.0,0.0
839d21fffffffff,1.0,0.0,0.0,1.0
839d24fffffffff,2.0,0.0,0.0,0.0
83be08fffffffff,4.0,0.0,0.0,0.0
83be0cfffffffff,4.0,0.0,0.0,2.0
83be0efffffffff,3.0,0.0,0.0,0.0
83be63fffffffff,2.0,0.0,0.0,0.0
83be72fffffffff,3.0,0.0,0.0,0.0
83be74fffffffff,3.0,0.0,0.0,0.0
83be75fffffffff,10.0,0.0,0.0,0.0
83be8dfffffffff,24.0,0.0,0.0,0.0
83bea9fffffffff,2.0,0.0,0.0,0.0
83beabfffffffff,3.0,0.0,0.0,0.0
83bef2fffffffff,1.0,0.0,0.0,0.0
