cell_id,Myiarchus swainsoni,Myiarchus swainsoni phaeonotus,Myiarchus swainsoni [swainsoni Group]
8466ec1ffffffff,5.0,0.0,0.0
8466ec3ffffffff,8.0,0.0,0.0
8466ec5ffffffff,17.0,0.0,0.0
8466ec7ffffffff,76.0,0.0,0.0
8466ecbffffffff,5.0,0.0,0.0
8466ee5ffffffff,14.0,0.0,0.0
8466eebffffffff,2.0,0.0,0.0
8467433ffffffff,1.0,0.0,0.0
8467599ffffffff,1.0,0.0,0.0
8480047ffffffff,1.0,0.0,0.0
8480053ffffffff,3.0,0.0,0.0
84800cbffffffff,5.0,0.0,0.0
8480105ffffffff,4.0,0.0,0.0
8480141ffffffff,6.0,0.0,0.0
848016bffffffff,4.0,0.0,0.0
8480239ffffffff,1.0,0.0,0.0
8480265ffffffff,2.0,0.0,0.0
8480301ffffffff,3.0,0.0,0.0
8480305ffffffff,4.0,0.0,0.0
848032dffffffff,2.0,0.0,0.0
8480359ffffffff,1.0,0.0,0.0
8480363ffffffff,10.0,0.0,0.0
848040bffffffff,3.0,0.0,0.0
8480487ffffffff,1.0,0.0,0.0
84804c9ffffffff,3.0,0.0,0.0
8480541ffffffff,2.0,0.0,0.0
848054bffffffff,2.0,0.0,0.0
84806a7ffffffff,2.0,0.0,0.0
8480737ffffffff,3.0,0.0,0.0
8481005ffffffff,5.0,0.0,0.0
8481007ffffffff,2.0,0.0,0.0
8481011ffffffff,6.0,0.0,0.0
8481023ffffffff,5.0,0.0,0.0
8481027ffffffff,2.0,0.0,0.0
8481029ffffffff,5.0,0.0,0.0
848102bffffffff,2.0,0.0,0.0
8481049ffffffff,3.0,0.0,0.0
848104bffffffff,3.0,0.0,0.0
8481061ffffffff,2.0,0.0,0.0
8481063ffffffff,19.0,0.0,0.0
84810e5ffffffff,3.0,0.0,0.0
8481105ffffffff,4.0,0.0,0.0
8481161ffffffff,2.0,0.0,0.0
8481167ffffffff,4.0,0.0,0.0
848116bffffffff,2.0,0.0,0.0
8481193ffffffff,3.0,0.0,0.0
8481197ffffffff,1.0,0.0,0.0
84811abffffffff,1.0,0.0,0.0
84811d9ffffffff,1.0,0.0,0.0
8481211ffffffff,14.0,0.0,0.0
8481215ffffffff,17.0,0.0,0.0
848121dffffffff,2.0,0.0,0.0
848123bffffffff,3.0,0.0,0.0
8481241ffffffff,3.0,0.0,0.0
8481245ffffffff,10.0,0.0,0.0
848124bffffffff,12.0,0.0,0.0
848124dffffffff,58.0,0.0,0.0
84812d1ffffffff,1.0,0.0,0.0
84812d7ffffffff,3.0,0.0,0.0
8481303ffffffff,9.0,0.0,0.0
8481307ffffffff,2.0,0.0,0.0
8481339ffffffff,31.0,0.0,0.0
8481363ffffffff,1.0,0.0,0.0
8481439ffffffff,2.0,0.0,0.0
8481447ffffffff,2.0,0.0,0.0
848145dffffffff,7.0,0.0,0.0
848146bffffffff,7.0,0.0,0.0
84814a9ffffffff,6.0,0.0,0.0
84814adffffffff,2.0,0.0,0.0
84814d5ffffffff,3.0,0.0,0.0
84814e7ffffffff,2.0,0.0,0.0
848151bffffffff,1.0,0.0,0.0
8481527ffffffff,1.0,0.0,0.0
848153dffffffff,1.0,0.0,0.0
84815abffffffff,3.0,0.0,0.0
84815e9ffffffff,1.0,0.0,0.0
8481627ffffffff,1.0,0.0,0.0
848162bffffffff,8.0,0.0,0.0
8481635ffffffff,2.0,0.0,0.0
8481705ffffffff,2.0,0.0,0.0
8481711ffffffff,44.0,0.0,0.0
8481713ffffffff,16.0,0.0,0.0
8481729ffffffff,4.0,0.0,0.0
848172bffffffff,4.0,0.0,0.0
848173dffffffff,2.0,0.0,0.0
848175dffffffff,4.0,0.0,0.0
8481763ffffffff,2.0,0.0,0.0
848181dffffffff,3.0,0.0,0.0
84818bbffffffff,2.0,0.0,0.0
8481a8bffffffff,4.0,0.0,0.0
8481ad1ffffffff,7.0,0.0,0.0
8481ad5ffffffff,4.0,0.0,0.0
8481ad9ffffffff,2.0,0.0,0.0
848a003ffffffff,2.0,0.0,0.0
848a00bffffffff,2.0,0.0,0.0
848a1abffffffff,2.0,0.0,0.0
848a459ffffffff,7.0,0.0,0.0
848a45bffffffff,8.0,0.0,0.0
