cell_id,Cynanthus canivetii,Cynanthus canivetii canivetii,Cynanthus canivetii salvini/osberti
8444249ffffffff,64.0,0.0,0.0
8445011ffffffff,13.0,0.0,0.0
8445019ffffffff,201.0,24.0,0.0
844501bffffffff,27.0,2.0,0.0
8445053ffffffff,20.0,0.0,0.0
8445057ffffffff,14.0,2.0,0.0
8445059ffffffff,9.0,0.0,0.0
844505bffffffff,54.0,6.0,0.0
8445081ffffffff,16.0,0.0,0.0
8445083ffffffff,147.0,39.0,0.0
8445085ffffffff,65.0,6.0,0.0
8445087ffffffff,411.0,66.0,0.0
8445089ffffffff,23.0,0.0,0.0
844508bffffffff,10.0,2.0,0.0
844508dffffffff,152.0,12.0,0.0
8445091ffffffff,45.0,13.0,0.0
8445093ffffffff,10.0,6.0,0.0
8445095ffffffff,7.0,5.0,0.0
8445097ffffffff,19.0,2.0,0.0
8445099ffffffff,127.0,12.0,0.0
844509bffffffff,253.0,111.0,0.0
844509dffffffff,3.0,0.0,0.0
84450a1ffffffff,455.0,28.0,0.0
84450a3ffffffff,131.0,29.0,0.0
84450a5ffffffff,51.0,3.0,0.0
84450a7ffffffff,80.0,0.0,0.0
84450a9ffffffff,40.0,2.0,0.0
84450abffffffff,79.0,7.0,0.0
84450adffffffff,11.0,0.0,0.0
84450b1ffffffff,251.0,49.0,0.0
84450b5ffffffff,61.0,0.0,0.0
84450b9ffffffff,27.0,0.0,0.0
84450bdffffffff,38.0,0.0,0.0
84450c1ffffffff,9.0,0.0,0.0
84450c3ffffffff,3.0,0.0,0.0
84450c5ffffffff,61.0,16.0,0.0
84450c7ffffffff,9.0,0.0,0.0
84450cdffffffff,43.0,6.0,0.0
84450d1ffffffff,10.0,6.0,0.0
84450d3ffffffff,245.0,110.0,0.0
84450d5ffffffff,60.0,35.0,0.0
84450d7ffffffff,19.0,0.0,0.0
84450dbffffffff,2.0,0.0,0.0
84450ddffffffff,21.0,5.0,0.0
84450e1ffffffff,67.0,1.0,0.0
84450e3ffffffff,183.0,2.0,0.0
84450e7ffffffff,6.0,0.0,0.0
84450ebffffffff,209.0,38.0,0.0
844519bffffffff,11.0,6.0,0.0
8445205ffffffff,36.0,0.0,1.0
8445207ffffffff,8.0,0.0,0.0
8445209ffffffff,52.0,0.0,5.0
844520dffffffff,56.0,0.0,39.0
8445213ffffffff,126.0,4.0,0.0
8445215ffffffff,19.0,0.0,0.0
8445217ffffffff,122.0,6.0,0.0
844521bffffffff,5.0,0.0,0.0
8445221ffffffff,9.0,0.0,7.0
8445225ffffffff,18.0,0.0,7.0
8445227ffffffff,2.0,0.0,0.0
844522bffffffff,15.0,0.0,0.0
844522dffffffff,3.0,0.0,0.0
8445231ffffffff,4.0,0.0,0.0
8445233ffffffff,49.0,2.0,0.0
844523bffffffff,32.0,2.0,0.0
8445241ffffffff,10.0,0.0,8.0
8445243ffffffff,20.0,0.0,9.0
8445245ffffffff,17.0,0.0,14.0
8445247ffffffff,131.0,0.0,58.0
8445249ffffffff,17.0,0.0,5.0
844524bffffffff,7.0,0.0,0.0
8445251ffffffff,70.0,0.0,14.0
8445255ffffffff,51.0,0.0,37.0
8445257ffffffff,35.0,0.0,0.0
8445259ffffffff,2.0,0.0,0.0
844525bffffffff,220.0,0.0,64.0
844525dffffffff,4.0,0.0,0.0
8445263ffffffff,117.0,0.0,13.0
8445267ffffffff,10.0,0.0,5.0
8445269ffffffff,1.0,0.0,1.0
844526bffffffff,20.0,0.0,8.0
844526dffffffff,4.0,0.0,2.0
8445281ffffffff,12.0,0.0,0.0
8445283ffffffff,4.0,0.0,0.0
8445285ffffffff,20.0,2.0,0.0
8445287ffffffff,36.0,15.0,0.0
8445289ffffffff,123.0,0.0,0.0
844528dffffffff,18.0,7.0,0.0
8445297ffffffff,6.0,0.0,0.0
84452a1ffffffff,18.0,2.0,0.0
84452a3ffffffff,15.0,6.0,0.0
84452a5ffffffff,204.0,8.0,0.0
84452a7ffffffff,14.0,2.0,0.0
84452a9ffffffff,61.0,2.0,0.0
84452abffffffff,48.0,3.0,0.0
84452adffffffff,391.0,64.0,0.0
84452b3ffffffff,1.0,0.0,0.0
84452b5ffffffff,20.0,1.0,0.0
84452b9ffffffff,42.0,4.0,0.0
84452bdffffffff,45.0,8.0,0.0
84452c1ffffffff,27.0,2.0,0.0
84452c3ffffffff,73.0,6.0,0.0
84452c5ffffffff,111.0,6.0,0.0
84452c7ffffffff,266.0,12.0,0.0
84452cbffffffff,2.0,0.0,0.0
84452d9ffffffff,4.0,0.0,0.0
84452dbffffffff,10.0,0.0,0.0
84452ddffffffff,6.0,0.0,0.0
84452e1ffffffff,1273.0,81.0,0.0
84452e3ffffffff,23.0,5.0,0.0
84452e5ffffffff,107.0,16.0,0.0
84452e7ffffffff,25.0,0.0,0.0
84452e9ffffffff,18.0,3.0,0.0
