cell_id,Pterodroma leucoptera,Pterodroma leucoptera leucoptera,Pterodroma leucoptera caledonica
839e28fffffffff,2.0,0.0,0.0
839f09fffffffff,1.0,0.0,0.0
839f41fffffffff,2.0,0.0,0.0
839f42fffffffff,3.0,0.0,0.0
839f44fffffffff,2.0,0.0,1.0
839f50fffffffff,1.0,0.0,1.0
839f51fffffffff,2.0,0.0,1.0
839f54fffffffff,4.0,0.0,4.0
839f55fffffffff,15.0,0.0,6.0
839f56fffffffff,1.0,0.0,1.0
839f62fffffffff,2.0,0.0,0.0
839f6afffffffff,1.0,0.0,0.0
839f71fffffffff,3.0,0.0,0.0
83a169fffffffff,1.0,0.0,0.0
83a16cfffffffff,2.0,0.0,0.0
83b010fffffffff,1.0,0.0,0.0
83b4b0fffffffff,1.0,0.0,0.0
83b4b3fffffffff,1.0,0.0,0.0
83ba66fffffffff,1.0,0.0,0.0
83ba69fffffffff,1.0,0.0,0.0
83bb58fffffffff,4.0,0.0,0.0
83bb5dfffffffff,5.0,0.0,0.0
83be00fffffffff,1.0,0.0,0.0
83be0cfffffffff,23.0,0.0,0.0
83be0efffffffff,34.0,0.0,0.0
83be18fffffffff,2.0,0.0,0.0
83be1dfffffffff,17.0,0.0,0.0
83be29fffffffff,8.0,0.0,0.0
83be8dfffffffff,3.0,0.0,0.0
83beaafffffffff,13.0,0.0,0.0
83beabfffffffff,40.0,0.0,0.0
83beaefffffffff,6.0,0.0,0.0
83beb3fffffffff,1.0,0.0,0.0
83bf1afffffffff,2.0,0.0,0.0
83bf1efffffffff,1.0,0.0,0.0
83bf28fffffffff,1.0,0.0,0.0
83bf2cfffffffff,3.0,0.0,0.0
83bf42fffffffff,1.0,0.0,0.0
83bf43fffffffff,1.0,0.0,0.0
83bf44fffffffff,4.0,0.0,0.0
83bf4cfffffffff,132.0,0.0,0.0
83bf5dfffffffff,1.0,0.0,0.0
83bf6afffffffff,2.0,0.0,0.0
83bf82fffffffff,3.0,0.0,0.0
83bf86fffffffff,1.0,0.0,0.0
83bfadfffffffff,7.0,0.0,0.0
