cell_id,Agriornis micropterus,Agriornis micropterus andecola,Agriornis micropterus micropterus
84b3289ffffffff,1.0,0.0,0.0
84b342dffffffff,2.0,0.0,0.0
84b346dffffffff,2.0,0.0,0.0
84b34b1ffffffff,1.0,0.0,0.0
84b3507ffffffff,1.0,0.0,0.0
84b3511ffffffff,3.0,0.0,0.0
84b3513ffffffff,5.0,0.0,0.0
84b3515ffffffff,16.0,0.0,0.0
84b3519ffffffff,12.0,0.0,0.0
84b3539ffffffff,9.0,0.0,0.0
84b354bffffffff,39.0,0.0,0.0
84b3551ffffffff,2.0,0.0,0.0
84b3555ffffffff,2.0,0.0,0.0
84b3557ffffffff,2.0,0.0,0.0
84b355bffffffff,3.0,0.0,0.0
84b355dffffffff,19.0,0.0,0.0
84b3565ffffffff,19.0,0.0,0.0
84b356dffffffff,1.0,0.0,0.0
84b35a1ffffffff,4.0,0.0,0.0
84b35a7ffffffff,7.0,0.0,0.0
84b35adffffffff,1.0,0.0,0.0
84b35e1ffffffff,30.0,0.0,0.0
84b35e5ffffffff,5.0,0.0,0.0
84b35edffffffff,2.0,0.0,0.0
84b3731ffffffff,28.0,0.0,0.0
84b3733ffffffff,4.0,0.0,0.0
84b3735ffffffff,8.0,0.0,0.0
84b3737ffffffff,7.0,0.0,0.0
84c2c99ffffffff,1.0,0.0,0.0
84c2e0bffffffff,1.0,0.0,0.0
84c2e99ffffffff,3.0,0.0,0.0
84c2e9bffffffff,6.0,0.0,0.0
84c2ebbffffffff,2.0,0.0,0.0
84c3053ffffffff,10.0,0.0,0.0
84c308bffffffff,2.0,0.0,0.0
84c30c3ffffffff,3.0,0.0,0.0
84c30d5ffffffff,2.0,0.0,0.0
84c3201ffffffff,3.0,0.0,0.0
84c3203ffffffff,5.0,0.0,0.0
84c320dffffffff,3.0,0.0,0.0
84c3215ffffffff,14.0,0.0,0.0
84c3217ffffffff,3.0,0.0,0.0
84c3219ffffffff,2.0,0.0,0.0
84c3239ffffffff,9.0,0.0,0.0
84c3241ffffffff,12.0,0.0,0.0
84c3243ffffffff,17.0,0.0,0.0
84c3255ffffffff,10.0,0.0,0.0
84c326bffffffff,4.0,0.0,0.0
84c3283ffffffff,5.0,0.0,0.0
84c3287ffffffff,1.0,0.0,0.0
84c328dffffffff,1.0,0.0,0.0
84c3297ffffffff,62.0,0.0,2.0
84c329dffffffff,1.0,0.0,0.0
84c32a5ffffffff,11.0,0.0,0.0
84c32a7ffffffff,5.0,0.0,0.0
84c32a9ffffffff,5.0,0.0,0.0
84c32adffffffff,49.0,0.0,0.0
84c32b3ffffffff,2.0,0.0,0.0
84c32b7ffffffff,3.0,0.0,0.0
84c32b9ffffffff,2.0,0.0,0.0
84c32d3ffffffff,2.0,0.0,0.0
84c32dbffffffff,12.0,0.0,0.0
84c32e1ffffffff,35.0,0.0,0.0
84c32e3ffffffff,14.0,0.0,0.0
84c32e7ffffffff,2.0,0.0,0.0
84c32e9ffffffff,1.0,0.0,0.0
84c32edffffffff,4.0,0.0,0.0
84c3401ffffffff,2.0,0.0,0.0
84c3403ffffffff,1.0,0.0,0.0
84c3407ffffffff,3.0,0.0,0.0
84c3427ffffffff,3.0,0.0,0.0
84c343bffffffff,1.0,0.0,0.0
84c3459ffffffff,2.0,0.0,0.0
84c3465ffffffff,4.0,0.0,0.0
84c3483ffffffff,2.0,0.0,0.0
84c3485ffffffff,1.0,0.0,0.0
84c3493ffffffff,12.0,0.0,0.0
84c3497ffffffff,1.0,0.0,0.0
84c34bbffffffff,5.0,0.0,0.0
84c34cbffffffff,2.0,0.0,0.0
84c34e9ffffffff,10.0,0.0,0.0
84c34edffffffff,3.0,0.0,0.0
84c3501ffffffff,2.0,0.0,0.0
84c3503ffffffff,1.0,0.0,0.0
84c3505ffffffff,3.0,0.0,0.0
84c3509ffffffff,2.0,0.0,0.0
84c351dffffffff,1.0,0.0,0.0
84c353dffffffff,2.0,0.0,0.0
84c3545ffffffff,1.0,0.0,0.0
84c3553ffffffff,3.0,0.0,0.0
84c3569ffffffff,2.0,0.0,0.0
84c35cdffffffff,1.0,0.0,0.0
84c3601ffffffff,3.0,0.0,0.0
84c3603ffffffff,8.0,0.0,0.0
84c3607ffffffff,8.0,0.0,0.0
84c3609ffffffff,2.0,0.0,0.0
84c3611ffffffff,1.0,0.0,0.0
84c3615ffffffff,1.0,0.0,0.0
84c3647ffffffff,2.0,0.0,0.0
84c364bffffffff,2.0,0.0,0.0
84c3657ffffffff,1.0,0.0,0.0
84c3659ffffffff,2.0,0.0,0.0
84c3663ffffffff,3.0,0.0,0.0
84c3681ffffffff,3.0,0.0,0.0
84c3689ffffffff,1.0,0.0,0.0
84c36a3ffffffff,5.0,0.0,0.0
84c36b5ffffffff,1.0,0.0,0.0
84c36bbffffffff,3.0,0.0,0.0
84c36c7ffffffff,6.0,0.0,0.0
84c36d7ffffffff,1.0,0.0,0.0
84c3709ffffffff,11.0,0.0,0.0
84c371bffffffff,46.0,0.0,0.0
84c3735ffffffff,5.0,0.0,0.0
84c3739ffffffff,7.0,0.0,0.0
84c3755ffffffff,2.0,0.0,0.0
84c3759ffffffff,4.0,0.0,0.0
84c375bffffffff,1.0,0.0,0.0
84c375dffffffff,10.0,0.0,0.0
84c3767ffffffff,1.0,0.0,0.0
84c376dffffffff,3.0,0.0,0.0
84ce809ffffffff,10.0,0.0,0.0
84ce80bffffffff,2.0,0.0,0.0
84ce80dffffffff,5.0,0.0,0.0
84ce823ffffffff,3.0,0.0,0.0
84ce827ffffffff,1.0,0.0,0.0
84ce82bffffffff,2.0,0.0,0.0
84ce831ffffffff,7.0,0.0,0.0
84ce833ffffffff,2.0,0.0,0.0
84ce835ffffffff,2.0,0.0,0.0
84ce837ffffffff,1.0,0.0,0.0
84ce83dffffffff,2.0,0.0,0.0
84ce847ffffffff,7.0,0.0,0.0
84ce855ffffffff,2.0,0.0,0.0
84ce865ffffffff,3.0,0.0,0.0
84ce90bffffffff,1.0,0.0,0.0
