cell_id,Anthreptes longuemarei,Anthreptes longuemarei longuemarei/haussarum,Anthreptes longuemarei angolensis/nyassae
84541a3ffffffff,2.0,0.0,0.0
84541a5ffffffff,4.0,0.0,0.0
84541b5ffffffff,1.0,0.0,0.0
8454a93ffffffff,30.0,1.0,0.0
8454a9bffffffff,6.0,0.0,0.0
8454e4dffffffff,16.0,2.0,0.0
8454e51ffffffff,12.0,2.0,0.0
8454e59ffffffff,2.0,0.0,0.0
8454e5bffffffff,2.0,2.0,0.0
8454e97ffffffff,1.0,0.0,0.0
8454f47ffffffff,1.0,1.0,0.0
8454f4dffffffff,12.0,0.0,0.0
84581b9ffffffff,1.0,0.0,0.0
845886dffffffff,2.0,0.0,0.0
8458969ffffffff,3.0,0.0,0.0
8458c8bffffffff,5.0,2.0,0.0
8458cd9ffffffff,2.0,0.0,0.0
8458d0bffffffff,1.0,0.0,0.0
8458debffffffff,5.0,0.0,0.0
8458f47ffffffff,1.0,0.0,0.0
84599e5ffffffff,1.0,0.0,0.0
846a109ffffffff,2.0,0.0,0.0
846a125ffffffff,1.0,0.0,0.0
846a52bffffffff,1.0,0.0,0.0
846ac03ffffffff,1.0,0.0,0.0
846ac0bffffffff,1.0,1.0,0.0
846ac15ffffffff,4.0,0.0,0.0
846ac31ffffffff,2.0,0.0,0.0
846ac3dffffffff,1.0,0.0,0.0
846ac89ffffffff,1.0,0.0,0.0
846acadffffffff,1.0,0.0,0.0
846acc7ffffffff,1.0,0.0,0.0
846ad91ffffffff,1.0,0.0,0.0
846ad99ffffffff,2.0,0.0,0.0
846adc1ffffffff,3.0,0.0,0.0
846adc7ffffffff,1.0,0.0,0.0
846ae0bffffffff,6.0,6.0,0.0
846ae85ffffffff,27.0,3.0,0.0
846aea1ffffffff,18.0,4.0,0.0
846aea3ffffffff,3.0,1.0,0.0
846aea9ffffffff,2.0,0.0,0.0
846aecbffffffff,1.0,0.0,0.0
846aedbffffffff,1.0,0.0,0.0
846aee1ffffffff,2.0,0.0,0.0
846aee3ffffffff,4.0,0.0,0.0
846b8a1ffffffff,1.0,0.0,0.0
8475201ffffffff,34.0,0.0,0.0
8475207ffffffff,60.0,7.0,0.0
8475295ffffffff,1.0,0.0,0.0
847a6d1ffffffff,2.0,0.0,2.0
847b4d5ffffffff,3.0,0.0,0.0
84828bdffffffff,1.0,0.0,0.0
8482a09ffffffff,2.0,0.0,0.0
8482a55ffffffff,2.0,0.0,0.0
8483125ffffffff,12.0,0.0,5.0
848314bffffffff,1.0,0.0,0.0
8483263ffffffff,1.0,0.0,0.0
8483337ffffffff,1.0,0.0,0.0
848333dffffffff,16.0,0.0,3.0
8483a89ffffffff,3.0,0.0,3.0
8483acdffffffff,3.0,0.0,0.0
8496009ffffffff,5.0,0.0,1.0
8496015ffffffff,5.0,0.0,0.0
849602dffffffff,16.0,0.0,5.0
8496039ffffffff,1.0,0.0,1.0
849603bffffffff,1.0,0.0,0.0
8496047ffffffff,8.0,0.0,1.0
8496051ffffffff,3.0,0.0,0.0
8496093ffffffff,3.0,0.0,0.0
8496095ffffffff,1.0,0.0,0.0
8496097ffffffff,4.0,0.0,0.0
849609dffffffff,1.0,0.0,0.0
84960b5ffffffff,2.0,0.0,0.0
84960d3ffffffff,1.0,0.0,0.0
849610dffffffff,1.0,0.0,0.0
8496131ffffffff,3.0,0.0,0.0
8496151ffffffff,1.0,0.0,0.0
849615bffffffff,2.0,0.0,0.0
849615dffffffff,27.0,0.0,13.0
84961c3ffffffff,1.0,0.0,0.0
8496203ffffffff,1.0,0.0,0.0
8496233ffffffff,4.0,0.0,0.0
849624dffffffff,3.0,0.0,3.0
84962abffffffff,3.0,0.0,0.0
84962b9ffffffff,1.0,0.0,0.0
84962c9ffffffff,2.0,0.0,0.0
84962d5ffffffff,1.0,0.0,0.0
84962d7ffffffff,2.0,0.0,0.0
8496333ffffffff,2.0,0.0,2.0
8496365ffffffff,32.0,0.0,11.0
8496569ffffffff,2.0,0.0,0.0
849656bffffffff,1.0,0.0,0.0
8496701ffffffff,1.0,0.0,0.0
8496703ffffffff,1.0,0.0,0.0
849670bffffffff,1.0,0.0,0.0
8496727ffffffff,1.0,0.0,0.0
8496a59ffffffff,2.0,0.0,1.0
8496a5dffffffff,1.0,0.0,0.0
8496a8dffffffff,2.0,0.0,2.0
8496b03ffffffff,4.0,0.0,2.0
8496b09ffffffff,2.0,0.0,0.0
8496b0dffffffff,2.0,0.0,0.0
8496b13ffffffff,7.0,0.0,0.0
8496b19ffffffff,17.0,0.0,4.0
8496b1bffffffff,29.0,0.0,19.0
8496b57ffffffff,1.0,0.0,0.0
8496b63ffffffff,10.0,0.0,1.0
8496b6dffffffff,3.0,0.0,0.0
8497023ffffffff,1.0,0.0,0.0
849702bffffffff,8.0,0.0,2.0
8497035ffffffff,9.0,0.0,0.0
849703dffffffff,14.0,0.0,0.0
8497101ffffffff,3.0,0.0,3.0
8497103ffffffff,10.0,0.0,0.0
8497107ffffffff,4.0,0.0,0.0
8497119ffffffff,16.0,0.0,6.0
849711dffffffff,2.0,0.0,0.0
8497199ffffffff,1.0,0.0,0.0
849719bffffffff,13.0,0.0,6.0
84971b9ffffffff,1.0,0.0,0.0
84971d7ffffffff,3.0,0.0,0.0
84975a9ffffffff,1.0,0.0,0.0
849789dffffffff,1.0,0.0,1.0
84978e7ffffffff,2.0,0.0,2.0
849791bffffffff,1.0,0.0,1.0
8497983ffffffff,1.0,0.0,0.0
8497a3bffffffff,2.0,0.0,2.0
8497a89ffffffff,1.0,0.0,1.0
8497ab5ffffffff,1.0,0.0,0.0
