cell_id,Eurystomus glaucurus,Eurystomus glaucurus [afer Group],Eurystomus glaucurus glaucurus
842db63ffffffff,14.0,0.0,0.0
8454c4bffffffff,1.0,0.0,0.0
846ac9bffffffff,2.0,0.0,0.0
846ad81ffffffff,2.0,0.0,0.0
846add7ffffffff,8.0,0.0,0.0
847a40dffffffff,2.0,0.0,0.0
847a601ffffffff,2.0,0.0,0.0
847a609ffffffff,8.0,0.0,0.0
847a641ffffffff,2.0,0.0,0.0
847a651ffffffff,2.0,2.0,0.0
847a657ffffffff,14.0,0.0,0.0
847a683ffffffff,1.0,0.0,0.0
847a6a1ffffffff,13.0,1.0,0.0
847a6b7ffffffff,2.0,2.0,0.0
847a6e5ffffffff,3.0,0.0,0.0
847b4adffffffff,28.0,0.0,0.0
847b4c5ffffffff,3.0,1.0,0.0
847b4c7ffffffff,42.0,4.0,0.0
847b4c9ffffffff,2.0,0.0,0.0
847b4cbffffffff,4.0,0.0,0.0
847b4e1ffffffff,6.0,0.0,0.0
847b4e3ffffffff,2.0,0.0,0.0
847b4e7ffffffff,47.0,0.0,0.0
847b4ebffffffff,1.0,0.0,0.0
8497119ffffffff,5.0,5.0,0.0
8497139ffffffff,3.0,3.0,0.0
84972ebffffffff,3.0,3.0,0.0
849799bffffffff,3.0,3.0,0.0
84a231bffffffff,1.0,0.0,1.0
84a3ab7ffffffff,4.0,0.0,0.0
84a3abbffffffff,2.0,0.0,0.0
84bcd63ffffffff,1.0,1.0,0.0
