cell_id,Rhipidura cockerelli,Rhipidura cockerelli [cockerelli Group],Rhipidura cockerelli lavellae,Rhipidura cockerelli albina
8476805ffffffff,2.0,0.0,0.0,0.0
8476807ffffffff,1.0,0.0,0.0,0.0
8476809ffffffff,3.0,0.0,0.0,0.0
847680dffffffff,3.0,0.0,0.0,0.0
8476837ffffffff,1.0,0.0,0.0,0.0
847683bffffffff,4.0,0.0,0.0,0.0
8476845ffffffff,4.0,0.0,0.0,0.0
84768edffffffff,3.0,0.0,0.0,0.0
847699dffffffff,37.0,0.0,0.0,0.0
84769d1ffffffff,28.0,0.0,0.0,0.0
84769d7ffffffff,3.0,0.0,0.0,0.0
84769d9ffffffff,4.0,0.0,0.0,0.0
84769ddffffffff,5.0,0.0,0.0,0.0
849eda7ffffffff,6.0,0.0,0.0,0.0
849edc7ffffffff,1.0,0.0,0.0,0.0
849ede1ffffffff,1.0,0.0,0.0,0.0
849edebffffffff,4.0,0.0,0.0,0.0
