cell_id,Sheppardia polioptera,Sheppardia polioptera nigriceps/tessmanni,Sheppardia polioptera polioptera
8258cffffffffff,4.0,0.0,0.0
8258dffffffffff,1.0,0.0,0.0
8258e7fffffffff,6.0,0.0,0.0
826ac7fffffffff,53.0,0.0,5.0
826acffffffffff,6.0,0.0,1.0
826adffffffffff,431.0,0.0,47.0
8275a7fffffffff,1.0,0.0,0.0
827a4ffffffffff,201.0,0.0,0.0
827a6ffffffffff,2.0,0.0,0.0
828317fffffffff,3.0,0.0,0.0
8283a7fffffffff,12.0,0.0,0.0
8283affffffffff,3.0,0.0,0.0
82960ffffffffff,21.0,0.0,2.0
829657fffffffff,7.0,0.0,0.0
