cell_id,Locustella montis,Locustella montis montis,Locustella montis timorensis
838d81fffffffff,2.0,1.0,0.0
838d84fffffffff,8.0,3.0,0.0
838d85fffffffff,18.0,11.0,0.0
838d88fffffffff,2.0,2.0,0.0
838d8cfffffffff,8.0,5.0,0.0
838da2fffffffff,86.0,54.0,0.0
838daafffffffff,1.0,1.0,0.0
838db5fffffffff,61.0,28.0,0.0
839421fffffffff,30.0,0.0,24.0
83942cfffffffff,6.0,0.0,6.0
8395a4fffffffff,19.0,18.0,0.0
