cell_id,Empidonax traillii,Empidonax traillii traillii,Empidonax traillii brewsteri/adastus,Empidonax traillii extimus
820c47fffffffff,3.0,0.0,0.0,0.0
820c57fffffffff,1.0,0.0,0.0,0.0
820ca7fffffffff,2.0,0.0,0.0,0.0
820edffffffffff,2.0,0.0,0.0,0.0
821287fffffffff,2.0,0.0,0.0,0.0
82128ffffffffff,24.0,0.0,4.0,0.0
82129ffffffffff,1.0,0.0,0.0,0.0
8212b7fffffffff,24.0,0.0,0.0,0.0
8212c7fffffffff,13.0,0.0,0.0,0.0
8212cffffffffff,10.0,0.0,1.0,0.0
8212d7fffffffff,5.0,0.0,0.0,0.0
8212dffffffffff,29.0,0.0,7.0,0.0
8212f7fffffffff,1.0,0.0,0.0,0.0
821397fffffffff,2.0,0.0,0.0,0.0
82139ffffffffff,17.0,0.0,0.0,0.0
821aa7fffffffff,2.0,0.0,0.0,0.0
82260ffffffffff,44.0,9.0,0.0,0.0
822617fffffffff,1.0,0.0,0.0,0.0
82261ffffffffff,8.0,4.0,0.0,0.0
822627fffffffff,7.0,1.0,0.0,0.0
82262ffffffffff,14.0,1.0,0.0,0.0
822637fffffffff,3.0,0.0,0.0,0.0
822647fffffffff,53.0,0.0,0.0,0.0
82264ffffffffff,122.0,3.0,0.0,0.0
822657fffffffff,69.0,3.0,0.0,0.0
82265ffffffffff,47.0,0.0,0.0,0.0
822667fffffffff,101.0,20.0,0.0,0.0
82266ffffffffff,37.0,0.0,0.0,0.0
822677fffffffff,4.0,0.0,0.0,0.0
822687fffffffff,78.0,0.0,1.0,0.0
82268ffffffffff,131.0,6.0,8.0,0.0
822697fffffffff,90.0,0.0,7.0,0.0
82269ffffffffff,95.0,0.0,1.0,0.0
8226a7fffffffff,7.0,0.0,0.0,0.0
8226affffffffff,63.0,4.0,2.0,0.0
8226c7fffffffff,5.0,0.0,0.0,0.0
8226cffffffffff,78.0,0.0,0.0,0.0
8226d7fffffffff,15.0,1.0,3.0,0.0
