cell_id,Puffinus assimilis,Puffinus assimilis assimilis,Puffinus assimilis haurakiensis,Puffinus assimilis kermadecensis,Puffinus assimilis tunneyi
82a727fffffffff,17.0,0.0,0.0,0.0,1.0
82b94ffffffffff,1.0,0.0,0.0,0.0,1.0
82ba0ffffffffff,1.0,1.0,0.0,0.0,0.0
82ba1ffffffffff,6.0,0.0,0.0,0.0,0.0
82ba2ffffffffff,5.0,0.0,0.0,0.0,0.0
82ba6ffffffffff,42.0,18.0,0.0,0.0,0.0
82bb0ffffffffff,2.0,0.0,0.0,0.0,0.0
82bb2ffffffffff,2.0,0.0,0.0,0.0,0.0
82bb57fffffffff,550.0,71.0,23.0,0.0,0.0
82bb5ffffffffff,17.0,3.0,14.0,0.0,0.0
82be37fffffffff,2.0,0.0,0.0,0.0,0.0
82bf2ffffffffff,7.0,0.0,0.0,0.0,0.0
82bf77fffffffff,1.0,0.0,0.0,0.0,0.0
82bf8ffffffffff,26.0,2.0,0.0,0.0,0.0
82c987fffffffff,67.0,0.0,0.0,0.0,26.0
82c99ffffffffff,28.0,0.0,0.0,0.0,6.0
82c9b7fffffffff,109.0,0.0,0.0,0.0,2.0
