cell_id,Colaptes auratus,Colaptes auratus chrysocaulosus,Colaptes auratus gundlachi,Colaptes auratus auratus/luteus,Colaptes auratus [cafer Group],Colaptes auratus luteus x cafer
830c41fffffffff,37.0,0.0,0.0,14.0,0.0,0.0
830c51fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
830c55fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c5afffffffff,5.0,0.0,0.0,1.0,0.0,0.0
830c62fffffffff,3.0,0.0,0.0,3.0,0.0,0.0
830c73fffffffff,9.0,0.0,0.0,4.0,0.0,0.0
830ca4fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830d44fffffffff,4.0,0.0,0.0,4.0,0.0,0.0
830d49fffffffff,4.0,0.0,0.0,2.0,0.0,2.0
830d5efffffffff,4.0,0.0,0.0,2.0,0.0,0.0
830e48fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830e49fffffffff,4.0,0.0,0.0,3.0,0.0,0.0
830e4afffffffff,2.0,0.0,0.0,2.0,0.0,0.0
830e4bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830e80fffffffff,5.0,0.0,0.0,4.0,0.0,0.0
830e9afffffffff,2.0,0.0,0.0,2.0,0.0,0.0
830ec5fffffffff,30.0,0.0,0.0,2.0,0.0,0.0
830eccfffffffff,2.0,0.0,0.0,2.0,0.0,0.0
830eeafffffffff,3.0,0.0,0.0,0.0,0.0,0.0
831230fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831258fffffffff,2.0,0.0,0.0,2.0,0.0,0.0
831259fffffffff,4.0,0.0,0.0,0.0,0.0,2.0
83125dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831289fffffffff,5.0,0.0,0.0,0.0,0.0,5.0
83128bfffffffff,44.0,0.0,0.0,0.0,0.0,41.0
8312adfffffffff,1.0,0.0,0.0,0.0,0.0,1.0
8312b0fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8312b4fffffffff,2.0,0.0,0.0,0.0,2.0,0.0
8312b6fffffffff,9.0,0.0,0.0,0.0,8.0,0.0
8312c1fffffffff,5.0,0.0,0.0,0.0,1.0,2.0
8312c3fffffffff,4.0,0.0,0.0,0.0,2.0,2.0
8312c5fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312c8fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8312c9fffffffff,4.0,0.0,0.0,0.0,0.0,4.0
8312cafffffffff,4.0,0.0,0.0,2.0,0.0,0.0
8312cbfffffffff,3.0,0.0,0.0,0.0,2.0,0.0
8312ccfffffffff,97.0,0.0,0.0,0.0,2.0,3.0
8312cdfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8312d3fffffffff,1.0,0.0,0.0,1.0,0.0,0.0
8312d6fffffffff,2.0,0.0,0.0,2.0,0.0,0.0
8312d8fffffffff,2.0,0.0,0.0,0.0,0.0,2.0
8312d9fffffffff,10.0,0.0,0.0,0.0,4.0,6.0
