cell_id,Staphida castaniceps,Staphida castaniceps [striata Group],Staphida castaniceps castaniceps
843c0a5ffffffff,1.0,0.0,0.0
843c199ffffffff,14.0,0.0,0.0
843c525ffffffff,30.0,0.0,0.0
843c527ffffffff,150.0,0.0,0.0
843c581ffffffff,3.0,1.0,0.0
843c5ebffffffff,2.0,0.0,0.0
843cdcdffffffff,3.0,0.0,0.0
843ce29ffffffff,5.0,0.0,0.0
843ce4dffffffff,2.0,0.0,0.0
843ce51ffffffff,1.0,0.0,0.0
843ce5bffffffff,10.0,0.0,0.0
843ce5dffffffff,4.0,0.0,0.0
843ce85ffffffff,2.0,0.0,0.0
84404c5ffffffff,2.0,2.0,0.0
84404ddffffffff,7.0,1.0,0.0
