cell_id,Lagonosticta larvata,Lagonosticta larvata vinacea,Lagonosticta larvata nigricollis,Lagonosticta larvata larvata
835452fffffffff,1.0,0.0,0.0,0.0
83545dfffffffff,1.0,0.0,0.0,0.0
8354f5fffffffff,4.0,0.0,0.0,0.0
8358ebfffffffff,1.0,0.0,0.0,0.0
837520fffffffff,4.0,4.0,0.0,0.0
