cell_id,Systellura longirostris,Systellura longirostris roraimae,Systellura longirostris ruficervix,Systellura longirostris atripunctata,Systellura longirostris bifasciata/patagonica,Systellura longirostris longirostris,Systellura longirostris mochaensis
845f4bdffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
845f711ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
845f719ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
845f755ffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0
845f759ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
846601bffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8466083ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8466089ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
846608dffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8466095ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
846609dffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
84660b1ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
84660b5ffffffff,38.0,0.0,0.0,0.0,0.0,0.0,0.0
84660b7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84660b9ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
84660bbffffffff,36.0,0.0,0.0,0.0,0.0,0.0,0.0
84660bdffffffff,33.0,0.0,0.0,0.0,0.0,0.0,0.0
84660c1ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
84660c3ffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
84660d5ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
84660ddffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8466181ffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
8466183ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8466187ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
846618bffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0
8466191ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466193ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8466195ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
