cell_id,Neochmia phaeton,Neochmia phaeton evangelinae,Neochmia phaeton phaeton
83728bfffffffff,2.0,0.0,0.0
8372f2fffffffff,30.0,0.0,0.0
8372f3fffffffff,87.0,0.0,0.0
839418fffffffff,1.0,0.0,0.0
839419fffffffff,1.0,0.0,0.0
83941bfffffffff,11.0,0.0,0.0
839450fffffffff,235.0,0.0,2.0
839451fffffffff,1762.0,0.0,42.0
839453fffffffff,74.0,0.0,0.0
839459fffffffff,2.0,0.0,0.0
83945afffffffff,45.0,0.0,0.0
83945cfffffffff,456.0,0.0,7.0
83945dfffffffff,4.0,0.0,0.0
83945efffffffff,48.0,0.0,0.0
839489fffffffff,3.0,0.0,3.0
83948cfffffffff,2.0,0.0,0.0
8394a9fffffffff,8.0,0.0,0.0
8394abfffffffff,3.0,0.0,0.0
8394c1fffffffff,9.0,0.0,0.0
8394c4fffffffff,35.0,0.0,0.0
8394ccfffffffff,12.0,0.0,0.0
8394d5fffffffff,2.0,0.0,0.0
8394e2fffffffff,60.0,0.0,0.0
8394e3fffffffff,324.0,0.0,0.0
8394e8fffffffff,80.0,0.0,0.0
8394eafffffffff,10.0,0.0,0.0
8394ebfffffffff,4.0,0.0,0.0
8394edfffffffff,327.0,0.0,3.0
8394eefffffffff,142.0,0.0,0.0
8394f0fffffffff,5.0,0.0,0.0
8394f2fffffffff,93.0,0.0,0.0
8394f4fffffffff,14.0,0.0,0.0
8394f5fffffffff,38.0,0.0,0.0
8394f6fffffffff,88.0,0.0,2.0
839c01fffffffff,33.0,8.0,0.0
839c0dfffffffff,1.0,0.0,0.0
839c20fffffffff,84.0,0.0,0.0
839c23fffffffff,518.0,0.0,3.0
839c25fffffffff,248.0,0.0,1.0
839c40fffffffff,4.0,0.0,0.0
839c41fffffffff,40.0,0.0,0.0
839c43fffffffff,9.0,0.0,0.0
839c45fffffffff,4.0,0.0,0.0
839c4afffffffff,6.0,0.0,0.0
839c4bfffffffff,4.0,0.0,0.0
839c4efffffffff,2.0,0.0,0.0
839c5afffffffff,11.0,0.0,0.0
839c60fffffffff,107.0,0.0,0.0
839c62fffffffff,8.0,0.0,0.0
839c66fffffffff,16.0,0.0,0.0
839c75fffffffff,1.0,0.0,0.0
839cc2fffffffff,10.0,0.0,0.0
839cd1fffffffff,6.0,0.0,0.0
839cd3fffffffff,33.0,1.0,0.0
839ce9fffffffff,62.0,0.0,0.0
839d08fffffffff,1.0,0.0,0.0
839d0afffffffff,9.0,0.0,0.0
839d0bfffffffff,239.0,0.0,0.0
839d2afffffffff,2.0,0.0,0.0
