cell_id,Dryobates villosus,Dryobates villosus [villosus Group],Dryobates villosus [harrisi Group],Dryobates villosus orius/icastus,Dryobates villosus jardinii/sanctorum,Dryobates villosus extimus
820c2ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
820c47fffffffff,683.0,0.0,0.0,0.0,0.0,0.0
820c57fffffffff,184.0,0.0,0.0,0.0,0.0,0.0
820c67fffffffff,44.0,0.0,0.0,0.0,0.0,0.0
820c77fffffffff,2308.0,17.0,0.0,0.0,0.0,0.0
820d4ffffffffff,18.0,0.0,0.0,0.0,0.0,0.0
820d5ffffffffff,404.0,0.0,0.0,0.0,0.0,0.0
820d6ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
820e4ffffffffff,916.0,0.0,0.0,0.0,0.0,0.0
820e57fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
820e5ffffffffff,24.0,0.0,0.0,0.0,0.0,0.0
820e6ffffffffff,10.0,0.0,0.0,0.0,0.0,0.0
820e87fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
820e8ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
820e97fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
820e9ffffffffff,14.0,0.0,0.0,0.0,0.0,0.0
820ec7fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
820ecffffffffff,865.0,25.0,0.0,0.0,0.0,0.0
820ed7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
820edffffffffff,44.0,5.0,0.0,0.0,0.0,0.0
820eeffffffffff,493.0,0.0,0.0,0.0,0.0,0.0
82120ffffffffff,17.0,0.0,0.0,0.0,0.0,0.0
821217fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
82121ffffffffff,247.0,0.0,0.0,0.0,0.0,0.0
821227fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
82122ffffffffff,19.0,0.0,0.0,0.0,0.0,0.0
821237fffffffff,34.0,0.0,0.0,0.0,0.0,0.0
821247fffffffff,29.0,0.0,0.0,0.0,0.0,0.0
82124ffffffffff,94.0,0.0,0.0,0.0,0.0,0.0
821257fffffffff,946.0,0.0,0.0,0.0,0.0,0.0
82125ffffffffff,734.0,0.0,0.0,0.0,0.0,0.0
82126ffffffffff,40.0,0.0,0.0,0.0,0.0,0.0
821277fffffffff,533.0,0.0,0.0,0.0,0.0,0.0
821287fffffffff,441.0,0.0,3.0,0.0,0.0,0.0
82128ffffffffff,1307.0,0.0,0.0,0.0,0.0,0.0
