cell_id,Ceyx nigromaxilla,Ceyx nigromaxilla malaitae,Ceyx nigromaxilla nigromaxilla
849ed8dffffffff,2.0,0.0,2.0
849edc7ffffffff,3.0,0.0,3.0
849edebffffffff,8.0,0.0,6.0
