cell_id,Pogonornis minor,Pogonornis minor minor,Pogonornis minor macclounii
8482301ffffffff,2.0,0.0,0.0
8482307ffffffff,1.0,0.0,0.0
8482363ffffffff,1.0,0.0,0.0
8482367ffffffff,1.0,0.0,0.0
8482a09ffffffff,9.0,1.0,0.0
8483125ffffffff,10.0,0.0,0.0
8483151ffffffff,5.0,0.0,0.0
848333dffffffff,4.0,0.0,0.0
8496003ffffffff,1.0,0.0,0.0
8496009ffffffff,14.0,0.0,2.0
849600bffffffff,12.0,0.0,4.0
8496015ffffffff,11.0,0.0,3.0
8496017ffffffff,1.0,0.0,0.0
8496019ffffffff,4.0,0.0,0.0
8496025ffffffff,4.0,0.0,0.0
849602dffffffff,32.0,0.0,11.0
8496039ffffffff,16.0,0.0,12.0
849603bffffffff,20.0,0.0,0.0
8496047ffffffff,1.0,0.0,0.0
8496051ffffffff,2.0,0.0,0.0
8496061ffffffff,1.0,0.0,0.0
8496089ffffffff,4.0,0.0,1.0
849608dffffffff,2.0,0.0,0.0
8496093ffffffff,1.0,0.0,0.0
8496095ffffffff,1.0,0.0,0.0
8496097ffffffff,8.0,0.0,2.0
8496099ffffffff,4.0,0.0,0.0
84960b1ffffffff,2.0,0.0,0.0
84960b5ffffffff,2.0,0.0,0.0
84960bbffffffff,1.0,0.0,0.0
84960e9ffffffff,2.0,0.0,0.0
84960edffffffff,9.0,0.0,1.0
8496101ffffffff,3.0,0.0,0.0
8496131ffffffff,6.0,0.0,0.0
8496153ffffffff,4.0,0.0,0.0
8496155ffffffff,1.0,0.0,0.0
8496159ffffffff,1.0,0.0,0.0
849615bffffffff,2.0,0.0,0.0
849615dffffffff,21.0,0.0,4.0
84961c7ffffffff,1.0,0.0,0.0
84961dbffffffff,3.0,0.0,0.0
8496207ffffffff,1.0,0.0,0.0
8496233ffffffff,11.0,0.0,0.0
849623bffffffff,7.0,0.0,0.0
8496283ffffffff,11.0,0.0,0.0
8496287ffffffff,13.0,0.0,3.0
849628bffffffff,4.0,0.0,2.0
849629dffffffff,2.0,0.0,0.0
84962abffffffff,5.0,0.0,0.0
84962b7ffffffff,2.0,0.0,0.0
84962b9ffffffff,24.0,0.0,0.0
84962bdffffffff,2.0,0.0,0.0
84962e5ffffffff,10.0,0.0,1.0
84962edffffffff,11.0,0.0,0.0
8496335ffffffff,2.0,0.0,0.0
8496739ffffffff,2.0,0.0,0.0
849685bffffffff,1.0,0.0,0.0
8496a59ffffffff,9.0,0.0,0.0
8496a5dffffffff,1.0,0.0,0.0
8496a8dffffffff,2.0,0.0,0.0
