cell_id,Leptopterus chabert,Leptopterus chabert chabert,Leptopterus chabert schistocercus
84a2049ffffffff,3.0,0.0,0.0
84a206bffffffff,3.0,0.0,0.0
84a2143ffffffff,168.0,4.0,0.0
84a215dffffffff,3.0,0.0,0.0
84a2163ffffffff,1.0,0.0,0.0
84a216bffffffff,1.0,0.0,0.0
84a2225ffffffff,2.0,0.0,0.0
84a2227ffffffff,155.0,0.0,0.0
84a2235ffffffff,8.0,0.0,0.0
84a2319ffffffff,4.0,0.0,0.0
84a231bffffffff,413.0,14.0,0.0
84a231dffffffff,1.0,0.0,0.0
84a2331ffffffff,1.0,0.0,0.0
84a2353ffffffff,5.0,0.0,0.0
84a2357ffffffff,4.0,0.0,0.0
84a2a3bffffffff,3.0,0.0,0.0
84a2a47ffffffff,1.0,0.0,0.0
84a2a49ffffffff,15.0,0.0,0.0
84a2a69ffffffff,9.0,0.0,0.0
84a2ae9ffffffff,5.0,0.0,0.0
84a2aedffffffff,31.0,2.0,0.0
84a3085ffffffff,6.0,2.0,0.0
84a3087ffffffff,1.0,0.0,0.0
84a308bffffffff,3.0,0.0,0.0
84a3091ffffffff,4.0,0.0,0.0
84a3093ffffffff,10.0,0.0,0.0
84a30c3ffffffff,2.0,0.0,0.0
84a30cbffffffff,5.0,0.0,0.0
84a30d5ffffffff,1.0,0.0,0.0
84a30ddffffffff,3.0,0.0,0.0
84a30e7ffffffff,7.0,0.0,0.0
84a3191ffffffff,3.0,0.0,0.0
84a3199ffffffff,5.0,0.0,0.0
84a319dffffffff,167.0,3.0,0.0
84a31b1ffffffff,1.0,0.0,0.0
84a31bbffffffff,3.0,0.0,0.0
84a31c3ffffffff,2.0,0.0,0.0
84a31d5ffffffff,9.0,0.0,0.0
84a3561ffffffff,1.0,0.0,0.0
84a3565ffffffff,4.0,0.0,0.0
84a3567ffffffff,48.0,0.0,0.0
84a3761ffffffff,16.0,0.0,0.0
84a3765ffffffff,6.0,0.0,0.0
84a3767ffffffff,2.0,0.0,0.0
84a3769ffffffff,2.0,0.0,0.0
84a38b3ffffffff,9.0,0.0,0.0
84a38c7ffffffff,2.0,0.0,0.0
84a38cbffffffff,3.0,0.0,0.0
84a38ddffffffff,3.0,0.0,0.0
84a38e7ffffffff,2.0,0.0,0.0
84a3993ffffffff,127.0,0.0,8.0
84a3997ffffffff,1.0,0.0,0.0
84a399bffffffff,277.0,0.0,15.0
84a39dbffffffff,15.0,0.0,0.0
84a3a89ffffffff,1.0,0.0,0.0
84a3a95ffffffff,2.0,0.0,0.0
84a3ab7ffffffff,17.0,0.0,0.0
84a3abbffffffff,1.0,0.0,0.0
