cell_id,Nisaetus cirrhatus,Nisaetus cirrhatus cirrhatus/ceylanensis,Nisaetus cirrhatus [limnaeetus Group]
843c159ffffffff,122.0,0.0,40.0
843c1c3ffffffff,5.0,0.0,4.0
843c329ffffffff,2.0,0.0,0.0
843c333ffffffff,15.0,0.0,2.0
843c337ffffffff,5.0,0.0,1.0
843c363ffffffff,4.0,0.0,4.0
843c369ffffffff,30.0,0.0,4.0
843c36bffffffff,15.0,0.0,6.0
843c527ffffffff,5.0,0.0,0.0
843c581ffffffff,5.0,0.0,0.0
843c5a1ffffffff,30.0,0.0,11.0
843c5a9ffffffff,2.0,0.0,1.0
843c5e3ffffffff,5.0,0.0,0.0
843c807ffffffff,2.0,0.0,0.0
843c831ffffffff,4.0,0.0,0.0
843c839ffffffff,2.0,0.0,0.0
843c83bffffffff,2.0,0.0,0.0
843c899ffffffff,6.0,0.0,0.0
843c89bffffffff,1.0,0.0,0.0
843c8c7ffffffff,1.0,0.0,0.0
843c8d3ffffffff,4.0,0.0,4.0
843c8dbffffffff,6.0,0.0,0.0
843c929ffffffff,1.0,0.0,0.0
843c92dffffffff,2.0,0.0,0.0
843c967ffffffff,17.0,0.0,0.0
843ca41ffffffff,1.0,0.0,0.0
843ca45ffffffff,9.0,0.0,0.0
843ca47ffffffff,10.0,0.0,0.0
843ca67ffffffff,2.0,0.0,0.0
843ca69ffffffff,1.0,0.0,0.0
843ca85ffffffff,2.0,0.0,0.0
843cb45ffffffff,20.0,0.0,0.0
843cb47ffffffff,1.0,0.0,0.0
843cb4bffffffff,2.0,0.0,0.0
843cb4dffffffff,4.0,0.0,0.0
843cb51ffffffff,1.0,0.0,0.0
843cb59ffffffff,21.0,0.0,0.0
843cb5dffffffff,169.0,0.0,0.0
843cb65ffffffff,12.0,0.0,0.0
843cb69ffffffff,5.0,0.0,0.0
843cb6bffffffff,4.0,0.0,0.0
843cb6dffffffff,18.0,0.0,0.0
843cc09ffffffff,2.0,0.0,0.0
843cc41ffffffff,4.0,0.0,0.0
843cc6bffffffff,11.0,0.0,0.0
843cc6dffffffff,4.0,0.0,0.0
843ccd5ffffffff,2.0,0.0,2.0
843cd4bffffffff,12.0,0.0,0.0
843cd8bffffffff,6.0,0.0,6.0
843cd91ffffffff,3.0,0.0,3.0
843cd9dffffffff,2.0,0.0,2.0
843cdb7ffffffff,2.0,0.0,0.0
843cdd5ffffffff,3.0,0.0,0.0
843cddbffffffff,1.0,0.0,1.0
843ce11ffffffff,4.0,0.0,0.0
843ce15ffffffff,17.0,0.0,6.0
843ce1bffffffff,13.0,0.0,2.0
843ce1dffffffff,2.0,0.0,2.0
843ce41ffffffff,4.0,0.0,4.0
843ce4dffffffff,15.0,0.0,12.0
843ce55ffffffff,140.0,0.0,50.0
843ce57ffffffff,133.0,0.0,26.0
843ce97ffffffff,2.0,0.0,2.0
843cec1ffffffff,331.0,0.0,161.0
843cec3ffffffff,155.0,0.0,76.0
843cec9ffffffff,11.0,0.0,7.0
843cecdffffffff,3.0,0.0,3.0
843cf01ffffffff,2.0,0.0,0.0
843cf05ffffffff,53.0,0.0,17.0
843cf09ffffffff,3.0,0.0,3.0
843cf27ffffffff,106.0,0.0,23.0
843cf29ffffffff,6.0,0.0,3.0
843cf2dffffffff,53.0,0.0,12.0
843cf33ffffffff,4.0,0.0,0.0
843cf35ffffffff,13.0,0.0,0.0
843cf3bffffffff,2.0,0.0,0.0
843cf3dffffffff,1.0,0.0,0.0
843cf61ffffffff,1.0,0.0,0.0
843cf67ffffffff,1.0,0.0,0.0
843d105ffffffff,7.0,0.0,0.0
843d107ffffffff,133.0,0.0,40.0
843d131ffffffff,7.0,0.0,7.0
843d135ffffffff,27.0,0.0,10.0
843d137ffffffff,434.0,0.0,242.0
843d139ffffffff,8.0,0.0,1.0
843d13dffffffff,274.0,0.0,127.0
843d147ffffffff,1.0,0.0,0.0
843d845ffffffff,5.0,3.0,0.0
843d847ffffffff,2.0,0.0,0.0
843d86bffffffff,3.0,0.0,0.0
843d929ffffffff,3.0,0.0,0.0
843d933ffffffff,3.0,0.0,0.0
843d963ffffffff,4.0,0.0,0.0
843d967ffffffff,10.0,0.0,0.0
843d981ffffffff,5.0,0.0,0.0
843d983ffffffff,4.0,0.0,0.0
843d985ffffffff,4.0,0.0,0.0
843d98bffffffff,3.0,0.0,0.0
843d98dffffffff,7.0,0.0,0.0
843d993ffffffff,67.0,0.0,0.0
843d997ffffffff,8.0,0.0,0.0
843d9a7ffffffff,22.0,0.0,0.0
843d9adffffffff,6.0,0.0,0.0
843d9b7ffffffff,151.0,0.0,0.0
843d9bbffffffff,3.0,0.0,0.0
843d9d1ffffffff,41.0,0.0,0.0
843d9d3ffffffff,11.0,0.0,0.0
843d9dbffffffff,31.0,0.0,0.0
843d9e5ffffffff,75.0,0.0,0.0
843d9e7ffffffff,15.0,0.0,0.0
843d9edffffffff,12.0,0.0,0.0
843da21ffffffff,1.0,1.0,0.0
843da93ffffffff,7.0,0.0,0.0
843da95ffffffff,1.0,0.0,0.0
843da97ffffffff,7.0,0.0,0.0
843da99ffffffff,11.0,0.0,3.0
843da9dffffffff,14.0,0.0,5.0
843dacbffffffff,3.0,0.0,0.0
843dad1ffffffff,59.0,0.0,18.0
843dad5ffffffff,2.0,0.0,0.0
843dad7ffffffff,4.0,0.0,3.0
843dad9ffffffff,42.0,0.0,21.0
843daddffffffff,411.0,0.0,200.0
843db13ffffffff,2.0,0.0,0.0
843db23ffffffff,2.0,0.0,0.0
843db25ffffffff,8.0,4.0,0.0
843db2dffffffff,15.0,12.0,0.0
843db31ffffffff,6.0,0.0,0.0
843db35ffffffff,47.0,0.0,0.0
843db37ffffffff,1.0,0.0,0.0
843db61ffffffff,12.0,3.0,0.0
843db65ffffffff,6.0,4.0,0.0
8441433ffffffff,2.0,0.0,2.0
844149bffffffff,2.0,0.0,2.0
8441655ffffffff,2.0,0.0,2.0
8441659ffffffff,3.0,0.0,0.0
84416c1ffffffff,3.0,0.0,0.0
84416c3ffffffff,3.0,0.0,0.0
84416e5ffffffff,2.0,0.0,2.0
84416edffffffff,2.0,0.0,2.0
8442c27ffffffff,31.0,21.0,0.0
8442ca3ffffffff,4.0,0.0,0.0
8442ca7ffffffff,4.0,1.0,0.0
8442cd1ffffffff,23.0,5.0,0.0
8442cdbffffffff,12.0,3.0,0.0
