cell_id,Megascops kennicottii,Megascops kennicottii [kennicottii Group],Megascops kennicottii vinaceus,Megascops kennicottii suttoni
83129bfffffffff,7.0,0.0,0.0,0.0
8312b0fffffffff,4.0,0.0,0.0,0.0
8312b4fffffffff,6.0,0.0,0.0,0.0
8312c8fffffffff,2.0,0.0,0.0,0.0
8312cafffffffff,9.0,0.0,0.0,0.0
8312cbfffffffff,4.0,0.0,0.0,0.0
8312d1fffffffff,260.0,0.0,0.0,0.0
8312d2fffffffff,14.0,0.0,0.0,0.0
8312d3fffffffff,51.0,0.0,0.0,0.0
8312d6fffffffff,16.0,0.0,0.0,0.0
8312d8fffffffff,8.0,0.0,0.0,0.0
8312dafffffffff,2.0,0.0,0.0,0.0
8312dbfffffffff,38.0,0.0,0.0,0.0
8312defffffffff,42.0,0.0,0.0,0.0
831d24fffffffff,5.0,0.0,0.0,0.0
832688fffffffff,189.0,0.0,0.0,0.0
832689fffffffff,39.0,0.0,0.0,0.0
83268bfffffffff,6.0,0.0,0.0,0.0
83268cfffffffff,5.0,0.0,0.0,0.0
83268dfffffffff,38.0,0.0,0.0,0.0
832690fffffffff,38.0,0.0,0.0,0.0
832692fffffffff,87.0,0.0,0.0,0.0
832695fffffffff,2.0,0.0,0.0,0.0
832696fffffffff,438.0,0.0,0.0,0.0
832698fffffffff,10.0,0.0,0.0,0.0
83269afffffffff,18.0,2.0,0.0,0.0
83269bfffffffff,1.0,0.0,0.0,0.0
83269cfffffffff,446.0,0.0,0.0,0.0
83269efffffffff,35.0,0.0,0.0,0.0
8326d4fffffffff,86.0,0.0,0.0,0.0
8326d6fffffffff,14.0,0.0,0.0,0.0
8326f2fffffffff,41.0,0.0,0.0,0.0
832793fffffffff,2.0,0.0,0.0,0.0
832796fffffffff,6.0,0.0,0.0,0.0
832800fffffffff,4.0,0.0,0.0,0.0
832802fffffffff,157.0,0.0,0.0,0.0
832803fffffffff,2.0,0.0,0.0,0.0
832806fffffffff,56.0,0.0,0.0,0.0
832810fffffffff,18.0,0.0,0.0,0.0
832811fffffffff,12.0,0.0,0.0,0.0
832812fffffffff,2.0,0.0,0.0,0.0
832813fffffffff,2.0,0.0,0.0,0.0
832814fffffffff,92.0,0.0,0.0,0.0
832815fffffffff,29.0,0.0,0.0,0.0
832816fffffffff,2.0,0.0,0.0,0.0
832818fffffffff,26.0,0.0,0.0,0.0
83281afffffffff,10.0,0.0,0.0,0.0
83281bfffffffff,127.0,0.0,0.0,0.0
83281cfffffffff,27.0,0.0,0.0,0.0
83281dfffffffff,9.0,0.0,0.0,0.0
83281efffffffff,102.0,0.0,0.0,0.0
832830fffffffff,982.0,1.0,0.0,0.0
832831fffffffff,126.0,7.0,0.0,0.0
832832fffffffff,595.0,0.0,0.0,0.0
832833fffffffff,98.0,0.0,0.0,0.0
832834fffffffff,1164.0,0.0,0.0,0.0
832836fffffffff,134.0,0.0,0.0,0.0
832880fffffffff,9.0,0.0,0.0,0.0
832881fffffffff,22.0,2.0,0.0,0.0
832883fffffffff,8.0,0.0,0.0,0.0
832884fffffffff,938.0,0.0,0.0,0.0
832885fffffffff,63.0,0.0,0.0,0.0
832886fffffffff,7.0,0.0,0.0,0.0
832888fffffffff,174.0,0.0,0.0,0.0
832889fffffffff,159.0,0.0,0.0,0.0
83288afffffffff,22.0,0.0,0.0,0.0
83288cfffffffff,38.0,4.0,0.0,0.0
83288dfffffffff,46.0,0.0,0.0,0.0
83288efffffffff,42.0,0.0,0.0,0.0
832892fffffffff,2.0,0.0,0.0,0.0
832893fffffffff,3.0,0.0,0.0,0.0
832894fffffffff,8.0,0.0,0.0,0.0
832896fffffffff,2.0,0.0,0.0,0.0
832898fffffffff,74.0,0.0,0.0,0.0
83289afffffffff,8.0,0.0,0.0,0.0
83289bfffffffff,2.0,0.0,0.0,0.0
83289cfffffffff,2.0,0.0,0.0,0.0
83289dfffffffff,1.0,0.0,0.0,0.0
83289efffffffff,16.0,0.0,0.0,0.0
8328a1fffffffff,20.0,0.0,0.0,0.0
8328a2fffffffff,2.0,0.0,0.0,0.0
8328a3fffffffff,8.0,0.0,0.0,0.0
8328a9fffffffff,11.0,0.0,0.0,0.0
8328aafffffffff,12.0,0.0,0.0,0.0
8328abfffffffff,23.0,0.0,0.0,0.0
8328acfffffffff,5.0,0.0,0.0,0.0
8328adfffffffff,9.0,0.0,0.0,0.0
8328aefffffffff,79.0,0.0,0.0,0.0
8328b0fffffffff,3.0,0.0,0.0,0.0
8328b1fffffffff,52.0,0.0,0.0,0.0
8328b2fffffffff,9.0,0.0,0.0,0.0
8328b4fffffffff,2.0,0.0,0.0,0.0
8328b5fffffffff,5.0,0.0,0.0,0.0
8328b6fffffffff,79.0,0.0,0.0,0.0
8328c2fffffffff,9.0,0.0,0.0,0.0
8328d0fffffffff,14.0,0.0,0.0,0.0
8328d1fffffffff,88.0,0.0,0.0,0.0
8328d2fffffffff,24.0,0.0,0.0,0.0
8328d3fffffffff,11.0,0.0,0.0,0.0
8328d4fffffffff,22.0,0.0,0.0,0.0
8328d5fffffffff,367.0,0.0,0.0,0.0
8328d6fffffffff,8.0,0.0,0.0,0.0
8328d8fffffffff,12.0,0.0,0.0,0.0
8328d9fffffffff,5.0,0.0,0.0,0.0
8328dafffffffff,6.0,0.0,0.0,0.0
8328dcfffffffff,114.0,0.0,0.0,0.0
8328ddfffffffff,3.0,0.0,0.0,0.0
8328defffffffff,8.0,0.0,0.0,0.0
8328f0fffffffff,529.0,0.0,0.0,0.0
8328f1fffffffff,7.0,0.0,0.0,0.0
8328f2fffffffff,44.0,0.0,0.0,0.0
8328f3fffffffff,2.0,0.0,0.0,0.0
8328f4fffffffff,221.0,0.0,0.0,0.0
8328f5fffffffff,53.0,0.0,0.0,0.0
8328f6fffffffff,16.0,0.0,0.0,0.0
832912fffffffff,59.0,0.0,0.0,0.0
832913fffffffff,5.0,0.0,0.0,0.0
83291afffffffff,417.0,0.0,0.0,0.0
832980fffffffff,10.0,0.0,0.0,0.0
832981fffffffff,2.0,0.0,0.0,0.0
832984fffffffff,15.0,0.0,0.0,0.0
832985fffffffff,79.0,0.0,0.0,0.0
832986fffffffff,23.0,0.0,0.0,0.0
832988fffffffff,27.0,0.0,0.0,0.0
832989fffffffff,35.0,0.0,0.0,0.0
83298cfffffffff,51.0,0.0,0.0,0.0
83298dfffffffff,37.0,0.0,0.0,0.0
832990fffffffff,19.0,0.0,0.0,0.0
832991fffffffff,4.0,0.0,0.0,0.0
832992fffffffff,10.0,2.0,0.0,0.0
832993fffffffff,2.0,0.0,0.0,0.0
832994fffffffff,10.0,0.0,0.0,0.0
832995fffffffff,117.0,0.0,0.0,0.0
832999fffffffff,3.0,0.0,0.0,0.0
83299afffffffff,2.0,0.0,0.0,0.0
83299efffffffff,7.0,0.0,0.0,0.0
8329a0fffffffff,848.0,0.0,0.0,0.0
8329a1fffffffff,1478.0,0.0,0.0,0.0
8329a2fffffffff,2.0,0.0,0.0,0.0
8329a4fffffffff,309.0,0.0,0.0,0.0
8329a5fffffffff,2.0,0.0,0.0,0.0
8329a6fffffffff,80.0,0.0,0.0,0.0
8329a8fffffffff,10.0,0.0,0.0,0.0
8329a9fffffffff,231.0,0.0,0.0,0.0
8329aafffffffff,51.0,0.0,0.0,0.0
8329abfffffffff,50.0,0.0,0.0,0.0
8329acfffffffff,214.0,0.0,0.0,0.0
8329adfffffffff,102.0,0.0,0.0,0.0
8329aefffffffff,66.0,0.0,0.0,0.0
8329b0fffffffff,236.0,0.0,0.0,0.0
8329b1fffffffff,32.0,0.0,0.0,0.0
8329b2fffffffff,66.0,0.0,0.0,0.0
8329b4fffffffff,13.0,0.0,0.0,0.0
8329b5fffffffff,55.0,0.0,0.0,0.0
8329b6fffffffff,228.0,0.0,0.0,0.0
834802fffffffff,1.0,0.0,0.0,0.0
834805fffffffff,34.0,0.0,0.0,0.0
834806fffffffff,2.0,0.0,0.0,0.0
83480afffffffff,174.0,0.0,0.0,0.0
83480dfffffffff,2.0,0.0,0.0,0.0
83480efffffffff,4.0,0.0,0.0,0.0
834810fffffffff,4.0,0.0,0.0,0.0
834814fffffffff,39.0,0.0,0.0,0.0
83481afffffffff,10.0,0.0,0.0,0.0
834823fffffffff,4.0,0.0,0.0,0.0
83482afffffffff,22.0,0.0,0.0,0.0
83482efffffffff,110.0,0.0,0.0,0.0
834833fffffffff,9.0,0.0,0.0,0.0
83484afffffffff,13.0,0.0,0.0,0.0
834852fffffffff,2.0,0.0,0.0,0.0
834855fffffffff,1.0,0.0,0.0,0.0
834856fffffffff,2.0,0.0,0.0,0.0
834858fffffffff,3.0,0.0,0.0,0.0
834859fffffffff,17.0,0.0,0.0,0.0
83485afffffffff,2.0,0.0,0.0,0.0
83485bfffffffff,44.0,0.0,0.0,0.0
83485cfffffffff,1.0,0.0,0.0,0.0
83485dfffffffff,36.0,0.0,0.0,0.0
834872fffffffff,2.0,0.0,0.0,0.0
834888fffffffff,6.0,0.0,0.0,0.0
83488dfffffffff,33.0,0.0,0.0,0.0
8348a0fffffffff,17.0,0.0,0.0,0.0
8348a2fffffffff,14.0,0.0,0.0,0.0
8348a6fffffffff,4.0,0.0,0.0,0.0
8348abfffffffff,543.0,0.0,0.0,0.0
8348acfffffffff,1.0,0.0,0.0,0.0
8348b5fffffffff,3.0,0.0,0.0,0.0
8348c0fffffffff,109.0,0.0,0.0,0.0
8348c1fffffffff,98.0,0.0,0.0,0.0
8348c2fffffffff,2.0,0.0,0.0,0.0
8348c3fffffffff,168.0,0.0,0.0,0.0
8348c5fffffffff,1093.0,0.0,0.0,0.0
8348c6fffffffff,6.0,0.0,0.0,0.0
8348c9fffffffff,27.0,0.0,0.0,0.0
8348cafffffffff,2.0,0.0,0.0,0.0
8348ccfffffffff,13.0,0.0,0.0,0.0
8348cdfffffffff,66.0,0.0,0.0,0.0
8348cefffffffff,5.0,0.0,0.0,0.0
8348d1fffffffff,7.0,0.0,0.0,0.0
8348d3fffffffff,3.0,0.0,0.0,0.0
8348d4fffffffff,42.0,0.0,0.0,0.0
8348d5fffffffff,4.0,0.0,0.0,0.0
8348d8fffffffff,1113.0,0.0,0.0,0.0
8348dafffffffff,20.0,0.0,0.0,0.0
8348dbfffffffff,7.0,0.0,0.0,0.0
8348dcfffffffff,2.0,0.0,0.0,0.0
8348ddfffffffff,7.0,0.0,0.0,0.0
8348defffffffff,9.0,0.0,0.0,0.0
8348e0fffffffff,4.0,0.0,0.0,0.0
8348e1fffffffff,30.0,0.0,0.0,0.0
8348e3fffffffff,128.0,0.0,0.0,0.0
8348e4fffffffff,11.0,0.0,0.0,0.0
8348e5fffffffff,25.0,0.0,0.0,0.0
8348e8fffffffff,1501.0,0.0,0.0,0.0
8348e9fffffffff,80.0,0.0,0.0,0.0
8348eafffffffff,141.0,0.0,0.0,0.0
8348ebfffffffff,640.0,0.0,0.0,0.0
8348ecfffffffff,768.0,0.0,0.0,0.0
8348edfffffffff,46.0,0.0,0.0,0.0
8348eefffffffff,1835.0,0.0,0.0,0.0
8348f0fffffffff,5.0,0.0,0.0,0.0
8348f2fffffffff,504.0,0.0,0.0,0.0
8348f3fffffffff,2.0,0.0,0.0,0.0
8348f6fffffffff,34.0,0.0,0.0,0.0
834983fffffffff,5.0,0.0,0.0,0.0
834986fffffffff,26.0,0.0,0.0,0.0
834988fffffffff,6.0,0.0,0.0,0.0
834989fffffffff,2.0,0.0,0.0,0.0
83498cfffffffff,2.0,0.0,0.0,0.0
83498efffffffff,4.0,0.0,0.0,0.0
834995fffffffff,106.0,0.0,0.0,27.0
83499cfffffffff,2.0,0.0,0.0,0.0
8349aafffffffff,2.0,0.0,0.0,0.0
8349abfffffffff,7.0,0.0,0.0,0.0
