cell_id,Mareca strepera,Mareca strepera strepera,Mareca strepera couesi
841e025ffffffff,6.0,5.0,0.0
841e05bffffffff,14.0,4.0,0.0
841e061ffffffff,9.0,0.0,0.0
841e085ffffffff,4.0,0.0,0.0
841e0c3ffffffff,11.0,0.0,0.0
841e0e7ffffffff,15.0,0.0,0.0
841e103ffffffff,4.0,0.0,0.0
841e10bffffffff,3.0,0.0,0.0
841e11dffffffff,2.0,0.0,0.0
841e121ffffffff,2.0,0.0,0.0
841e135ffffffff,3.0,0.0,0.0
841e1b3ffffffff,5.0,0.0,0.0
841e201ffffffff,1.0,0.0,0.0
841e20dffffffff,7.0,0.0,0.0
841e223ffffffff,1.0,0.0,0.0
841e233ffffffff,2.0,0.0,0.0
841e237ffffffff,3.0,0.0,0.0
841e2a1ffffffff,1.0,0.0,0.0
841e2e3ffffffff,3.0,0.0,0.0
841e307ffffffff,12.0,0.0,0.0
841e30bffffffff,3.0,0.0,0.0
841e327ffffffff,2.0,0.0,0.0
841e335ffffffff,1.0,0.0,0.0
841e339ffffffff,11.0,0.0,0.0
841e34bffffffff,4.0,0.0,0.0
841e355ffffffff,3.0,0.0,0.0
841e649ffffffff,6.0,0.0,0.0
841e697ffffffff,1.0,0.0,0.0
841e6b3ffffffff,1.0,0.0,0.0
841ea0bffffffff,1.0,1.0,0.0
841eaebffffffff,2.0,0.0,0.0
841ec1dffffffff,5.0,0.0,0.0
841ec9dffffffff,1.0,0.0,0.0
841eca1ffffffff,3.0,0.0,0.0
841eca5ffffffff,2.0,0.0,0.0
841ecadffffffff,6.0,0.0,0.0
841eccbffffffff,4.0,0.0,0.0
841eda1ffffffff,3.0,0.0,0.0
841ee65ffffffff,1.0,0.0,0.0
841ee91ffffffff,2.0,0.0,0.0
841eeb7ffffffff,2.0,0.0,0.0
841f017ffffffff,2.0,0.0,0.0
841f03bffffffff,2.0,0.0,0.0
841f05dffffffff,2.0,0.0,0.0
841f09bffffffff,14.0,0.0,0.0
841f0e1ffffffff,1.0,0.0,0.0
841f10dffffffff,1.0,0.0,0.0
841f149ffffffff,2.0,0.0,0.0
841f15dffffffff,1.0,0.0,0.0
841f199ffffffff,1.0,0.0,0.0
841f1a1ffffffff,2.0,0.0,0.0
841f1a5ffffffff,5.0,5.0,0.0
841f1d3ffffffff,1.0,0.0,0.0
841f40dffffffff,2.0,0.0,0.0
841f4ebffffffff,3.0,0.0,0.0
841f525ffffffff,1.0,0.0,0.0
841f53dffffffff,2.0,0.0,0.0
841f5c7ffffffff,3.0,0.0,0.0
841f601ffffffff,1.0,0.0,0.0
841f823ffffffff,3.0,0.0,0.0
841f827ffffffff,3.0,2.0,0.0
841f83bffffffff,4.0,0.0,0.0
841f8d7ffffffff,2.0,0.0,0.0
841f8e9ffffffff,19.0,0.0,0.0
841f8ebffffffff,2.0,0.0,0.0
841f981ffffffff,2.0,0.0,0.0
841f9a1ffffffff,4.0,0.0,0.0
841f9abffffffff,11.0,0.0,0.0
841faadffffffff,1.0,0.0,0.0
841fadbffffffff,6.0,6.0,0.0
841faddffffffff,4.0,0.0,0.0
841fae3ffffffff,4.0,0.0,0.0
841fb01ffffffff,3.0,3.0,0.0
841fb15ffffffff,4.0,4.0,0.0
841fb17ffffffff,2.0,0.0,0.0
841fb47ffffffff,2.0,2.0,0.0
8420187ffffffff,6.0,0.0,0.0
84209a5ffffffff,4.0,0.0,0.0
8420e69ffffffff,1.0,0.0,0.0
8420f25ffffffff,4.0,0.0,0.0
8421567ffffffff,3.0,0.0,0.0
8422d0bffffffff,5.0,0.0,0.0
8422db7ffffffff,8.0,0.0,0.0
8422dbdffffffff,2.0,0.0,0.0
84242d5ffffffff,1.0,0.0,0.0
84244c1ffffffff,2.0,0.0,0.0
842460dffffffff,2.0,0.0,0.0
84246c1ffffffff,3.0,0.0,0.0
84246d9ffffffff,4.0,0.0,0.0
84246ddffffffff,6.0,0.0,0.0
84248b1ffffffff,2.0,0.0,0.0
8425123ffffffff,5.0,1.0,0.0
8425131ffffffff,1.0,1.0,0.0
8425505ffffffff,1.0,0.0,0.0
84255a3ffffffff,2.0,2.0,0.0
84255a7ffffffff,10.0,0.0,0.0
84255b7ffffffff,4.0,1.0,0.0
8425acbffffffff,1.0,1.0,0.0
8425ae9ffffffff,1.0,1.0,0.0
8426009ffffffff,4.0,0.0,0.0
8426021ffffffff,3.0,0.0,0.0
8426039ffffffff,9.0,0.0,0.0
842605bffffffff,4.0,0.0,0.0
84260a1ffffffff,2.0,0.0,0.0
84260a3ffffffff,3.0,0.0,0.0
84260adffffffff,4.0,2.0,0.0
84260b3ffffffff,5.0,0.0,0.0
84260b7ffffffff,1.0,0.0,0.0
84260b9ffffffff,39.0,2.0,0.0
84260d9ffffffff,2.0,0.0,0.0
84260e3ffffffff,3.0,0.0,0.0
84260ebffffffff,4.0,0.0,0.0
