cell_id,Ketupa poensis,Ketupa poensis poensis,Ketupa poensis vosseleri
8458833ffffffff,1.0,1.0,0.0
84588adffffffff,1.0,1.0,0.0
8458c8bffffffff,1.0,1.0,0.0
8458d33ffffffff,23.0,23.0,0.0
8458d37ffffffff,1.0,1.0,0.0
8458dcdffffffff,1.0,1.0,0.0
846adc1ffffffff,2.0,2.0,0.0
8475085ffffffff,13.0,13.0,0.0
8475087ffffffff,24.0,23.0,0.0
84750abffffffff,1.0,1.0,0.0
84750d1ffffffff,119.0,99.0,0.0
84750d9ffffffff,1.0,1.0,0.0
84750dbffffffff,6.0,6.0,0.0
84750ddffffffff,1.0,1.0,0.0
8475195ffffffff,1.0,1.0,0.0
84751d7ffffffff,2.0,2.0,0.0
8475295ffffffff,16.0,15.0,0.0
84752a5ffffffff,4.0,4.0,0.0
84752abffffffff,20.0,16.0,0.0
84752b5ffffffff,22.0,13.0,0.0
84758c9ffffffff,1.0,1.0,0.0
8475a83ffffffff,1.0,1.0,0.0
847b487ffffffff,61.0,0.0,57.0
847b4b9ffffffff,10.0,0.0,10.0
847b4dbffffffff,1.0,0.0,1.0
8482805ffffffff,1.0,0.0,0.0
84828b5ffffffff,4.0,0.0,0.0
84828d1ffffffff,1.0,0.0,0.0
848295dffffffff,1.0,1.0,0.0
8482a81ffffffff,3.0,3.0,0.0
8482aadffffffff,5.0,5.0,0.0
8482d03ffffffff,1.0,1.0,0.0
8482d1dffffffff,11.0,9.0,0.0
8482d27ffffffff,4.0,2.0,0.0
