cell_id,Aerodramus brevirostris,Aerodramus brevirostris brevirostris/innominatus,Aerodramus brevirostris rogersi
833083fffffffff,15.0,0.0,0.0
83308efffffffff,1.0,0.0,0.0
833098fffffffff,2.0,0.0,0.0
83309afffffffff,5.0,0.0,0.0
83309bfffffffff,35.0,0.0,0.0
83309dfffffffff,21.0,0.0,0.0
833c00fffffffff,14.0,0.0,0.0
833c02fffffffff,99.0,11.0,0.0
833c03fffffffff,6.0,0.0,0.0
833c06fffffffff,20.0,0.0,0.0
833c0afffffffff,234.0,0.0,0.0
833c0bfffffffff,252.0,31.0,0.0
833c0efffffffff,2.0,0.0,0.0
833c15fffffffff,5.0,0.0,0.0
833c18fffffffff,10.0,0.0,0.0
833c19fffffffff,68.0,0.0,0.0
833c1cfffffffff,23.0,2.0,0.0
833c1dfffffffff,129.0,0.0,0.0
833c31fffffffff,47.0,2.0,0.0
833c33fffffffff,64.0,3.0,0.0
833c34fffffffff,8.0,0.0,0.0
833c36fffffffff,7.0,0.0,0.0
833c42fffffffff,1.0,0.0,0.0
833c43fffffffff,3.0,2.0,0.0
833c4afffffffff,2.0,0.0,0.0
833c52fffffffff,337.0,0.0,0.0
833c56fffffffff,2.0,0.0,0.0
833c58fffffffff,377.0,0.0,0.0
833c59fffffffff,33.0,0.0,0.0
833c5afffffffff,34.0,0.0,0.0
833c5bfffffffff,79.0,0.0,0.0
833c5cfffffffff,20.0,1.0,0.0
833c5dfffffffff,11.0,0.0,0.0
833c5efffffffff,49.0,0.0,0.0
833c72fffffffff,3.0,0.0,0.0
833cc0fffffffff,4.0,0.0,0.0
833cc3fffffffff,1.0,0.0,0.0
833cc4fffffffff,2.0,0.0,0.0
833cc5fffffffff,17.0,0.0,0.0
833cd1fffffffff,4.0,0.0,0.0
833cd4fffffffff,11.0,0.0,0.0
833cd8fffffffff,12.0,0.0,0.0
833cd9fffffffff,11.0,0.0,0.0
833cdbfffffffff,3.0,0.0,0.0
833cddfffffffff,1.0,0.0,0.0
833ce3fffffffff,11.0,0.0,0.0
833ce4fffffffff,36.0,5.0,0.0
833ce5fffffffff,248.0,29.0,0.0
833ce8fffffffff,56.0,0.0,0.0
833ce9fffffffff,2.0,0.0,0.0
833ceafffffffff,9.0,0.0,0.0
833cecfffffffff,68.0,0.0,0.0
833d10fffffffff,100.0,0.0,0.0
833d11fffffffff,19.0,0.0,0.0
833d13fffffffff,94.0,5.0,0.0
833d14fffffffff,7.0,0.0,0.0
833d15fffffffff,35.0,0.0,0.0
833d1afffffffff,27.0,0.0,0.0
833d1efffffffff,247.0,0.0,0.0
833d33fffffffff,11.0,0.0,0.0
833da9fffffffff,1.0,0.0,0.0
833dadfffffffff,295.0,0.0,0.0
83400afffffffff,2.0,0.0,0.0
834018fffffffff,1.0,0.0,0.0
834019fffffffff,1.0,0.0,0.0
83402dfffffffff,4.0,0.0,0.0
834043fffffffff,14.0,5.0,0.0
834048fffffffff,2.0,0.0,0.0
83404cfffffffff,12.0,0.0,0.0
83404dfffffffff,3.0,0.0,0.0
834052fffffffff,8.0,0.0,0.0
834059fffffffff,19.0,8.0,0.0
83405afffffffff,2.0,0.0,0.0
83405dfffffffff,1.0,0.0,0.0
834061fffffffff,5.0,0.0,0.0
834065fffffffff,15.0,0.0,0.0
83406bfffffffff,4.0,0.0,0.0
834071fffffffff,3.0,2.0,0.0
8340a8fffffffff,3.0,0.0,0.0
8340c2fffffffff,4.0,0.0,0.0
8340c5fffffffff,8.0,0.0,0.0
8340c6fffffffff,2.0,0.0,0.0
8340e1fffffffff,96.0,7.0,0.0
8340e3fffffffff,11.0,0.0,0.0
8340eefffffffff,2.0,0.0,0.0
8340f1fffffffff,3.0,0.0,0.0
834103fffffffff,14.0,2.0,0.0
83411cfffffffff,30.0,0.0,0.0
834142fffffffff,2.0,0.0,0.0
