cell_id,Anarhynchus nivosus,Anarhynchus nivosus nivosus,Anarhynchus nivosus occidentalis
8426899ffffffff,4.0,0.0,0.0
842689dffffffff,2.0,0.0,0.0
84268b3ffffffff,1.0,0.0,0.0
84268d3ffffffff,176.0,0.0,0.0
84268d7ffffffff,480.0,0.0,0.0
84268dbffffffff,3.0,0.0,0.0
8426905ffffffff,14.0,0.0,0.0
8426923ffffffff,8.0,0.0,0.0
8426929ffffffff,132.0,0.0,0.0
842694dffffffff,3.0,0.0,0.0
8426961ffffffff,309.0,0.0,0.0
8426963ffffffff,22.0,0.0,0.0
8426965ffffffff,4.0,0.0,0.0
8426969ffffffff,678.0,0.0,0.0
8426c11ffffffff,7.0,0.0,0.0
8426c13ffffffff,5.0,0.0,0.0
8426c19ffffffff,5.0,0.0,0.0
8426c1bffffffff,1.0,0.0,0.0
8426c1dffffffff,6.0,0.0,0.0
8426c31ffffffff,4.0,0.0,0.0
8426c35ffffffff,1.0,0.0,0.0
8426c37ffffffff,98.0,0.0,0.0
8426c43ffffffff,129.0,0.0,0.0
8426c55ffffffff,2.0,0.0,0.0
8426c6bffffffff,13.0,0.0,0.0
8426c89ffffffff,17.0,0.0,0.0
8426cc7ffffffff,1.0,0.0,0.0
8426d1bffffffff,2.0,0.0,0.0
8426d2bffffffff,7.0,0.0,0.0
8426d47ffffffff,3.0,0.0,0.0
8426d95ffffffff,30.0,0.0,0.0
8426da1ffffffff,2.0,0.0,0.0
8426da3ffffffff,3.0,0.0,0.0
8426da7ffffffff,16.0,0.0,0.0
8426dabffffffff,2.0,0.0,0.0
8426dadffffffff,26.0,0.0,0.0
8426db1ffffffff,1.0,0.0,0.0
8426db3ffffffff,12.0,0.0,0.0
8426db9ffffffff,4.0,0.0,0.0
8426dbbffffffff,1.0,0.0,0.0
8426dbdffffffff,19.0,0.0,0.0
8426dc1ffffffff,2.0,0.0,0.0
8426ddbffffffff,1.0,0.0,0.0
8426e21ffffffff,1606.0,0.0,0.0
8426e23ffffffff,4.0,0.0,0.0
8426e2bffffffff,6.0,0.0,0.0
8426e2dffffffff,436.0,0.0,0.0
8426e67ffffffff,9.0,0.0,0.0
8426e6dffffffff,1.0,0.0,0.0
8426f25ffffffff,12.0,0.0,0.0
8426f2dffffffff,388.0,0.0,0.0
8428023ffffffff,239.0,0.0,0.0
842802bffffffff,209.0,0.0,0.0
8428035ffffffff,14.0,0.0,0.0
8428063ffffffff,3.0,0.0,0.0
8428069ffffffff,125.0,0.0,0.0
842806bffffffff,77.0,0.0,0.0
8428121ffffffff,4.0,0.0,0.0
8428123ffffffff,9.0,0.0,0.0
842812bffffffff,6.0,0.0,0.0
8428139ffffffff,2.0,0.0,0.0
842816bffffffff,8.0,0.0,0.0
8428183ffffffff,2.0,0.0,0.0
8428195ffffffff,4.0,0.0,0.0
842819dffffffff,92.0,0.0,0.0
84281b1ffffffff,1.0,0.0,0.0
84281b3ffffffff,44.0,0.0,0.0
84281b9ffffffff,22.0,0.0,0.0
84281bbffffffff,388.0,0.0,0.0
84281c9ffffffff,5.0,0.0,0.0
84281cbffffffff,63.0,0.0,0.0
84281d5ffffffff,6.0,0.0,0.0
8428301ffffffff,24.0,0.0,0.0
8428305ffffffff,1.0,0.0,0.0
8428309ffffffff,642.0,0.0,0.0
842830bffffffff,1030.0,54.0,0.0
842830dffffffff,1.0,0.0,0.0
8428311ffffffff,2.0,0.0,0.0
8428313ffffffff,29.0,0.0,0.0
842831dffffffff,525.0,12.0,0.0
8428341ffffffff,361.0,0.0,0.0
8428343ffffffff,456.0,0.0,0.0
8428347ffffffff,972.0,0.0,0.0
842834dffffffff,1752.0,168.0,0.0
8428357ffffffff,10.0,0.0,0.0
8428a11ffffffff,1.0,0.0,0.0
8428a17ffffffff,2.0,0.0,0.0
8428a19ffffffff,2.0,0.0,0.0
8428a8dffffffff,8.0,0.0,0.0
8428ac1ffffffff,5.0,0.0,0.0
8428acbffffffff,9.0,0.0,0.0
8428addffffffff,303.0,0.0,0.0
8428aebffffffff,4.0,0.0,0.0
8428b45ffffffff,8.0,0.0,0.0
8428b49ffffffff,6.0,0.0,0.0
8428b69ffffffff,176.0,0.0,0.0
8428b6bffffffff,24.0,0.0,0.0
8428b6dffffffff,3.0,0.0,0.0
8428c61ffffffff,436.0,0.0,0.0
8428c63ffffffff,34.0,0.0,0.0
8428c69ffffffff,40.0,0.0,0.0
8428c6dffffffff,2.0,0.0,0.0
8428f11ffffffff,28.0,0.0,0.0
8428f17ffffffff,47.0,0.0,0.0
8428f19ffffffff,143.0,0.0,0.0
8428f51ffffffff,2.0,0.0,0.0
8428f57ffffffff,52.0,0.0,0.0
8428f59ffffffff,271.0,0.0,0.0
8429121ffffffff,3.0,0.0,0.0
8429123ffffffff,2.0,0.0,0.0
8429125ffffffff,596.0,0.0,0.0
8429127ffffffff,642.0,0.0,0.0
842912bffffffff,2.0,0.0,0.0
8429135ffffffff,28.0,0.0,0.0
8429137ffffffff,375.0,0.0,0.0
8429167ffffffff,41.0,0.0,0.0
84291a7ffffffff,359.0,23.0,0.0
8429809ffffffff,2.0,0.0,0.0
842981bffffffff,1.0,0.0,0.0
8429823ffffffff,2.0,0.0,0.0
8429829ffffffff,1.0,0.0,0.0
8429843ffffffff,9.0,0.0,0.0
8429855ffffffff,8.0,0.0,0.0
8429859ffffffff,10.0,0.0,0.0
8429861ffffffff,5.0,0.0,0.0
8429865ffffffff,2.0,0.0,0.0
8429867ffffffff,1.0,0.0,0.0
8429869ffffffff,42.0,0.0,0.0
8429883ffffffff,2.0,0.0,0.0
8429887ffffffff,1.0,0.0,0.0
8429891ffffffff,23.0,0.0,0.0
8429895ffffffff,15.0,0.0,0.0
8429897ffffffff,39.0,0.0,0.0
84298b9ffffffff,25.0,0.0,0.0
84298c3ffffffff,22.0,0.0,0.0
84298c9ffffffff,24.0,0.0,0.0
84298cbffffffff,1.0,0.0,0.0
84298d5ffffffff,2.0,0.0,0.0
842991dffffffff,3.0,0.0,0.0
8429957ffffffff,13.0,0.0,0.0
842995bffffffff,2.0,0.0,0.0
84299adffffffff,27.0,0.0,0.0
84299b5ffffffff,45.0,0.0,0.0
8429a09ffffffff,40.0,0.0,0.0
8429a13ffffffff,2.0,0.0,0.0
