cell_id,Psilopogon franklinii,Psilopogon franklinii franklinii,Psilopogon franklinii ramsayi
823c07fffffffff,494.0,0.0,0.0
823c0ffffffffff,291.0,8.0,0.0
823c17fffffffff,3.0,0.0,0.0
823c1ffffffffff,311.0,15.0,0.0
823c37fffffffff,32.0,0.0,0.0
823c57fffffffff,825.0,0.0,0.0
823c5ffffffffff,848.0,1.0,0.0
823cc7fffffffff,74.0,0.0,0.0
823cdffffffffff,95.0,0.0,0.0
823ce7fffffffff,692.0,0.0,0.0
823ceffffffffff,475.0,0.0,0.0
824047fffffffff,2.0,0.0,0.0
82404ffffffffff,305.0,49.0,0.0
82405ffffffffff,15.0,1.0,0.0
824067fffffffff,17.0,0.0,0.0
82414ffffffffff,65.0,10.0,0.0
82415ffffffffff,76.0,24.0,0.0
82416ffffffffff,2.0,0.0,0.0
826417fffffffff,18.0,0.0,4.0
826437fffffffff,1.0,0.0,0.0
826487fffffffff,1344.0,23.0,56.0
826497fffffffff,1091.0,21.0,23.0
82649ffffffffff,10.0,0.0,0.0
8264a7fffffffff,148.0,0.0,18.0
8264b7fffffffff,37.0,18.0,0.0
826507fffffffff,96.0,0.0,1.0
