cell_id,Fulvetta vinipectus,Fulvetta vinipectus vinipectus/kangrae,Fulvetta vinipectus chumbiensis,Fulvetta vinipectus austeni,Fulvetta vinipectus ripponi,Fulvetta vinipectus bieti/perstriata,Fulvetta vinipectus valentinae
843c0a5ffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
843c0a9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
843c0b5ffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
843c0b7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
843c1d1ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
843c1d3ffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
843c595ffffffff,9.0,0.0,0.0,0.0,0.0,3.0,0.0
843c5b7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
843cd8bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
843cdd5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
843ce87ffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
843ce95ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
843cebdffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
843d109ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
843d111ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
843d115ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
843d117ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
843d11dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
843d13bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
843d151ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
843d155ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
843d1a9ffffffff,61.0,0.0,0.0,0.0,0.0,0.0,0.0
843d1e5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
843d1e7ffffffff,181.0,0.0,0.0,0.0,0.0,0.0,0.0
843d1edffffffff,118.0,0.0,0.0,0.0,0.0,0.0,0.0
843d333ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
843d33dffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
843dad9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
