cell_id,Spinus pinus,Spinus pinus pinus/macropterus,Spinus pinus perplexus,Spinus pinus (green morph)
840c0b7ffffffff,1.0,0.0,0.0,0.0
840c297ffffffff,1.0,0.0,0.0,0.0
840c2dbffffffff,2.0,0.0,0.0,0.0
840c409ffffffff,1.0,0.0,0.0,0.0
840c415ffffffff,178.0,0.0,0.0,0.0
840c421ffffffff,5.0,0.0,0.0,0.0
840c425ffffffff,4.0,0.0,0.0,0.0
840c427ffffffff,3.0,0.0,0.0,0.0
840c42dffffffff,1436.0,0.0,0.0,0.0
840c441ffffffff,14.0,0.0,0.0,0.0
840c443ffffffff,2.0,0.0,0.0,0.0
840c451ffffffff,7.0,0.0,0.0,0.0
840c455ffffffff,90.0,0.0,0.0,0.0
840c461ffffffff,38.0,0.0,0.0,0.0
840c465ffffffff,307.0,1.0,0.0,0.0
840c467ffffffff,57.0,0.0,0.0,0.0
840c46dffffffff,162.0,0.0,0.0,0.0
840c501ffffffff,2.0,0.0,0.0,0.0
840c503ffffffff,41.0,0.0,0.0,0.0
840c507ffffffff,2.0,0.0,0.0,0.0
840c50bffffffff,12.0,0.0,0.0,0.0
840c511ffffffff,8.0,0.0,0.0,0.0
840c515ffffffff,45.0,0.0,0.0,0.0
840c51dffffffff,621.0,0.0,0.0,0.0
840c54bffffffff,54.0,0.0,0.0,0.0
840c551ffffffff,56.0,0.0,0.0,0.0
840c555ffffffff,59.0,0.0,0.0,0.0
840c55bffffffff,140.0,0.0,0.0,0.0
840c55dffffffff,15.0,0.0,0.0,0.0
840c567ffffffff,2.0,0.0,0.0,0.0
840c5a1ffffffff,26.0,0.0,0.0,0.0
840c5a5ffffffff,275.0,0.0,0.0,0.0
840c5a7ffffffff,13.0,0.0,0.0,0.0
840c5adffffffff,396.0,0.0,0.0,0.0
840c609ffffffff,7.0,0.0,0.0,0.0
840c60bffffffff,3.0,0.0,0.0,0.0
840c60dffffffff,1.0,0.0,0.0,0.0
840c617ffffffff,4.0,0.0,0.0,0.0
840c621ffffffff,3.0,0.0,0.0,0.0
840c623ffffffff,2.0,0.0,0.0,0.0
840c625ffffffff,2.0,0.0,0.0,0.0
840c629ffffffff,2.0,0.0,0.0,0.0
840c631ffffffff,4.0,0.0,0.0,0.0
840c639ffffffff,3.0,0.0,0.0,0.0
840c63bffffffff,5.0,0.0,0.0,0.0
840c63dffffffff,10.0,0.0,0.0,0.0
840c641ffffffff,5.0,0.0,0.0,0.0
840c645ffffffff,44.0,0.0,0.0,0.0
840c647ffffffff,41.0,0.0,0.0,0.0
840c649ffffffff,2.0,0.0,0.0,0.0
840c64bffffffff,7.0,0.0,0.0,0.0
840c64dffffffff,2.0,0.0,0.0,0.0
840c659ffffffff,2.0,0.0,0.0,0.0
840c65dffffffff,12.0,0.0,0.0,0.0
840c665ffffffff,12.0,0.0,0.0,0.0
840c68bffffffff,4.0,0.0,0.0,0.0
840c705ffffffff,72.0,5.0,0.0,0.0
840c707ffffffff,7.0,6.0,0.0,0.0
840c70dffffffff,27.0,2.0,0.0,0.0
840c711ffffffff,6.0,2.0,0.0,0.0
840c715ffffffff,12.0,0.0,0.0,0.0
840c717ffffffff,2.0,0.0,0.0,0.0
840c71bffffffff,7.0,0.0,0.0,0.0
840c731ffffffff,12.0,0.0,0.0,0.0
840c733ffffffff,861.0,7.0,0.0,0.0
840c735ffffffff,10.0,0.0,0.0,0.0
840c737ffffffff,2.0,0.0,0.0,0.0
840c739ffffffff,6.0,0.0,0.0,0.0
840c73bffffffff,256.0,0.0,0.0,0.0
840c73dffffffff,20.0,6.0,0.0,0.0
840c741ffffffff,41.0,0.0,0.0,0.0
840c745ffffffff,4.0,0.0,0.0,0.0
840c747ffffffff,3.0,0.0,0.0,0.0
840c749ffffffff,7.0,0.0,0.0,0.0
840c74bffffffff,10.0,0.0,0.0,0.0
840c74dffffffff,73.0,0.0,0.0,0.0
840c759ffffffff,3.0,0.0,0.0,0.0
840c75dffffffff,8.0,0.0,0.0,0.0
840c769ffffffff,11.0,0.0,0.0,0.0
840ce9dffffffff,3.0,0.0,0.0,0.0
840ced3ffffffff,1.0,0.0,0.0,0.0
