cell_id,Prionops plumatus,Prionops plumatus plumatus,Prionops plumatus [poliocephalus Group]
8354eafffffffff,1.0,0.0,0.0
837a41fffffffff,2.0,0.0,2.0
837a45fffffffff,4.0,0.0,1.0
837a48fffffffff,1.0,0.0,0.0
837a4efffffffff,1.0,0.0,0.0
837a61fffffffff,5.0,0.0,0.0
837a65fffffffff,7.0,0.0,0.0
837a6afffffffff,9.0,0.0,0.0
837a6efffffffff,12.0,0.0,0.0
837b59fffffffff,5.0,0.0,0.0
83970cfffffffff,3.0,0.0,3.0
839711fffffffff,1.0,0.0,1.0
839719fffffffff,9.0,0.0,9.0
83972cfffffffff,3.0,0.0,3.0
83972efffffffff,4.0,0.0,2.0
839735fffffffff,2.0,0.0,2.0
839751fffffffff,3.0,0.0,3.0
83aca0fffffffff,1.0,0.0,0.0
83bcd0fffffffff,1.0,0.0,1.0
83bcd1fffffffff,2.0,0.0,0.0
83bcd2fffffffff,2.0,0.0,2.0
83bcdcfffffffff,10.0,0.0,0.0
