cell_id,Toxostoma curvirostre,Toxostoma curvirostre [curvirostre Group],Toxostoma curvirostre [palmeri Group]
82125ffffffffff,1.0,0.0,0.0
8212cffffffffff,1.0,0.0,0.0
822667fffffffff,17.0,0.0,0.0
822687fffffffff,18.0,0.0,2.0
82268ffffffffff,1874.0,139.0,0.0
82269ffffffffff,12.0,0.0,0.0
8226affffffffff,34.0,0.0,0.0
8226cffffffffff,2.0,0.0,0.0
8226d7fffffffff,22.0,0.0,0.0
8226dffffffffff,1.0,0.0,0.0
8226f7fffffffff,73.0,4.0,0.0
822707fffffffff,1.0,0.0,0.0
82270ffffffffff,7.0,0.0,0.0
82271ffffffffff,4.0,0.0,0.0
822837fffffffff,74.0,19.0,0.0
822987fffffffff,2.0,0.0,0.0
822997fffffffff,1.0,0.0,0.0
82299ffffffffff,7.0,0.0,0.0
8229a7fffffffff,46.0,0.0,8.0
8229affffffffff,56.0,0.0,1.0
8229b7fffffffff,315.0,0.0,12.0
824447fffffffff,32.0,0.0,0.0
82446ffffffffff,2.0,0.0,0.0
82480ffffffffff,6.0,0.0,6.0
824837fffffffff,1.0,0.0,1.0
82485ffffffffff,60.0,0.0,6.0
824887fffffffff,17.0,1.0,0.0
82488ffffffffff,4.0,4.0,0.0
824897fffffffff,57.0,0.0,0.0
82489ffffffffff,28.0,5.0,0.0
8248a7fffffffff,3.0,3.0,0.0
8248affffffffff,4.0,4.0,0.0
8248b7fffffffff,16.0,3.0,0.0
8248c7fffffffff,185.0,184.0,0.0
8248cffffffffff,10.0,2.0,1.0
8248dffffffffff,24.0,18.0,0.0
8248e7fffffffff,4.0,4.0,0.0
8248effffffffff,434.0,1.0,256.0
8248f7fffffffff,15.0,13.0,0.0
824987fffffffff,2.0,2.0,0.0
824997fffffffff,15.0,10.0,0.0
82499ffffffffff,16.0,7.0,0.0
8249affffffffff,2.0,2.0,0.0
826d37fffffffff,5.0,2.0,0.0
