cell_id,Patagioenas subvinacea,Patagioenas subvinacea subvinacea/berlepschi,Patagioenas subvinacea [purpureotincta Group]
825f07fffffffff,183.0,0.0,0.0
825f0ffffffffff,25.0,0.0,0.0
825f17fffffffff,78.0,0.0,0.0
825f1ffffffffff,13.0,0.0,0.0
825f2ffffffffff,482.0,0.0,0.0
825f47fffffffff,50.0,0.0,0.0
825f4ffffffffff,150.0,0.0,0.0
825f57fffffffff,20.0,0.0,0.0
825f5ffffffffff,2.0,0.0,0.0
825f6ffffffffff,62.0,0.0,0.0
825f77fffffffff,128.0,0.0,0.0
826607fffffffff,11.0,0.0,0.0
82660ffffffffff,1556.0,0.0,15.0
826617fffffffff,312.0,17.0,0.0
82661ffffffffff,2734.0,42.0,9.0
826627fffffffff,44.0,0.0,0.0
82662ffffffffff,261.0,0.0,10.0
826647fffffffff,801.0,0.0,37.0
82664ffffffffff,18.0,0.0,0.0
826657fffffffff,164.0,0.0,0.0
82665ffffffffff,997.0,0.0,4.0
826667fffffffff,33.0,0.0,0.0
82666ffffffffff,20.0,0.0,0.0
826677fffffffff,26.0,0.0,0.0
8266a7fffffffff,76.0,11.0,0.0
8266affffffffff,2.0,0.0,0.0
8266b7fffffffff,6511.0,11.0,0.0
8266c7fffffffff,1414.0,0.0,7.0
8266cffffffffff,159.0,0.0,0.0
8266d7fffffffff,5695.0,701.0,0.0
8266dffffffffff,3299.0,0.0,375.0
8266e7fffffffff,1142.0,0.0,6.0
8266effffffffff,978.0,0.0,1.0
8266f7fffffffff,785.0,14.0,0.0
826747fffffffff,414.0,0.0,8.0
82674ffffffffff,722.0,0.0,13.0
826757fffffffff,48.0,0.0,0.0
82675ffffffffff,254.0,0.0,2.0
82679ffffffffff,48.0,0.0,0.0
826d6ffffffffff,2344.0,0.0,0.0
828047fffffffff,17.0,0.0,0.0
82804ffffffffff,15.0,0.0,0.0
828057fffffffff,2.0,0.0,0.0
828067fffffffff,26.0,0.0,0.0
82806ffffffffff,2.0,0.0,0.0
828077fffffffff,19.0,0.0,0.0
828147fffffffff,16.0,0.0,0.0
82814ffffffffff,303.0,0.0,0.0
82815ffffffffff,24.0,0.0,0.0
828167fffffffff,3.0,0.0,0.0
828a07fffffffff,52.0,0.0,4.0
828a17fffffffff,100.0,0.0,0.0
828a1ffffffffff,4.0,0.0,0.0
828a27fffffffff,19.0,0.0,3.0
828a37fffffffff,28.0,0.0,3.0
828a47fffffffff,254.0,0.0,3.0
828a4ffffffffff,7.0,0.0,0.0
828a57fffffffff,3.0,0.0,0.0
828a5ffffffffff,3.0,0.0,3.0
828a6ffffffffff,646.0,0.0,0.0
828a77fffffffff,25.0,0.0,0.0
828a87fffffffff,61.0,0.0,2.0
828a8ffffffffff,4.0,0.0,0.0
828a97fffffffff,4.0,0.0,0.0
828a9ffffffffff,28.0,0.0,0.0
828aa7fffffffff,3.0,0.0,0.0
828aaffffffffff,70.0,0.0,5.0
828ad7fffffffff,1.0,0.0,0.0
828adffffffffff,77.0,0.0,2.0
828ae7fffffffff,1.0,0.0,0.0
828aeffffffffff,6.0,0.0,0.0
828af7fffffffff,900.0,0.0,53.0
828b07fffffffff,2.0,0.0,0.0
828b0ffffffffff,20.0,0.0,0.0
828b17fffffffff,1.0,0.0,0.0
828b1ffffffffff,9.0,0.0,0.0
828b27fffffffff,43.0,0.0,0.0
828b2ffffffffff,23.0,0.0,0.0
828b37fffffffff,2.0,0.0,0.0
828b47fffffffff,951.0,0.0,4.0
828b4ffffffffff,14.0,0.0,0.0
828b57fffffffff,30.0,0.0,0.0
828b5ffffffffff,37.0,0.0,5.0
828b67fffffffff,689.0,0.0,13.0
828b6ffffffffff,172.0,0.0,0.0
828b77fffffffff,108.0,0.0,1.0
828b87fffffffff,125.0,0.0,2.0
828b8ffffffffff,21.0,0.0,0.0
828b9ffffffffff,595.0,0.0,20.0
828ba7fffffffff,7.0,0.0,0.0
828bb7fffffffff,3.0,0.0,0.0
828e67fffffffff,69.0,0.0,0.0
828f0ffffffffff,184.0,15.0,0.0
828f27fffffffff,12.0,0.0,0.0
828f2ffffffffff,398.0,11.0,0.0
828f47fffffffff,445.0,0.0,0.0
828f4ffffffffff,113.0,0.0,0.0
828f57fffffffff,10.0,0.0,0.0
828f5ffffffffff,29.0,0.0,0.0
828f67fffffffff,245.0,0.0,0.0
828f6ffffffffff,158.0,0.0,19.0
828f77fffffffff,540.0,0.0,30.0
82a85ffffffffff,15.0,0.0,0.0
82a8cffffffffff,1.0,0.0,0.0
82a8effffffffff,1.0,0.0,0.0
82b327fffffffff,17.0,0.0,0.0
