cell_id,Lalage melanoleuca,Lalage melanoleuca melanoleuca,Lalage melanoleuca minor
836841fffffffff,1.0,0.0,0.0
836843fffffffff,3.0,0.0,2.0
836844fffffffff,1.0,0.0,0.0
83684efffffffff,95.0,0.0,5.0
836856fffffffff,2.0,0.0,0.0
83685dfffffffff,10.0,0.0,0.0
83685efffffffff,22.0,0.0,6.0
83686efffffffff,3.0,0.0,0.0
836943fffffffff,11.0,2.0,0.0
83694afffffffff,5.0,1.0,0.0
83694bfffffffff,1.0,0.0,0.0
83694efffffffff,41.0,3.0,0.0
836958fffffffff,12.0,0.0,0.0
836968fffffffff,1.0,0.0,0.0
83696cfffffffff,5.0,3.0,0.0
83696dfffffffff,44.0,13.0,0.0
