cell_id,Ploceus cucullatus,Ploceus cucullatus collaris,Ploceus cucullatus [cucullatus Group],Ploceus cucullatus nigriceps/graueri,Ploceus cucullatus spilonotus
842c93bffffffff,2.0,1.0,0.0,0.0,0.0
8439159ffffffff,1.0,0.0,0.0,0.0,0.0
8439207ffffffff,1.0,0.0,0.0,0.0,0.0
8439337ffffffff,3.0,0.0,0.0,0.0,0.0
8443a03ffffffff,4.0,0.0,0.0,0.0,0.0
8443acdffffffff,1.0,0.0,0.0,0.0,0.0
84441e7ffffffff,2.0,0.0,0.0,0.0,0.0
844ba09ffffffff,2.0,0.0,0.0,0.0,0.0
844c887ffffffff,2.0,0.0,0.0,0.0,0.0
844cc6dffffffff,4.0,0.0,0.0,0.0,0.0
844cd09ffffffff,1.0,0.0,0.0,0.0,0.0
844cd67ffffffff,2.0,0.0,0.0,0.0,0.0
844cf23ffffffff,9.0,0.0,0.0,0.0,0.0
8454c53ffffffff,2.0,0.0,0.0,0.0,0.0
845f583ffffffff,20.0,0.0,0.0,0.0,0.0
846520dffffffff,3.0,0.0,1.0,0.0,0.0
84662c9ffffffff,4.0,0.0,0.0,0.0,0.0
8467229ffffffff,1.0,0.0,0.0,0.0,0.0
8467259ffffffff,2.0,0.0,0.0,0.0,0.0
846725dffffffff,3.0,0.0,0.0,0.0,0.0
8467413ffffffff,5.0,0.0,0.0,0.0,0.0
8467433ffffffff,10.0,0.0,0.0,0.0,0.0
84674e1ffffffff,1.0,0.0,0.0,0.0,0.0
84674edffffffff,2.0,0.0,0.0,0.0,0.0
846758dffffffff,5.0,0.0,0.0,0.0,0.0
84675c1ffffffff,2.0,0.0,0.0,0.0,0.0
846ac15ffffffff,1.0,0.0,1.0,0.0,0.0
846ac3dffffffff,9.0,0.0,9.0,0.0,0.0
846ac89ffffffff,2.0,0.0,2.0,0.0,0.0
846ace5ffffffff,3.0,0.0,3.0,0.0,0.0
847a40bffffffff,1.0,0.0,0.0,0.0,0.0
847a5e5ffffffff,1.0,0.0,1.0,0.0,0.0
847a683ffffffff,1.0,0.0,0.0,0.0,0.0
847a6e5ffffffff,4.0,0.0,0.0,4.0,0.0
8482d03ffffffff,2.0,0.0,2.0,0.0,0.0
8496933ffffffff,2.0,0.0,2.0,0.0,0.0
84971c3ffffffff,3.0,0.0,0.0,3.0,0.0
84972abffffffff,1.0,0.0,0.0,1.0,0.0
84972c9ffffffff,2.0,0.0,0.0,0.0,0.0
8497513ffffffff,2.0,0.0,0.0,0.0,2.0
8497685ffffffff,3.0,3.0,0.0,0.0,0.0
84bcd29ffffffff,1.0,0.0,0.0,0.0,1.0
84bcd67ffffffff,1.0,0.0,0.0,0.0,1.0
84bcdc1ffffffff,7.0,0.0,0.0,0.0,2.0
