cell_id,Alauda arvensis,Alauda arvensis [arvensis Group],Alauda arvensis [pekinensis Group],Alauda arvensis japonica/intermedia
8401243ffffffff,2.0,0.0,0.0,0.0
840130bffffffff,5.0,1.0,0.0,0.0
8401351ffffffff,1.0,0.0,0.0,0.0
840802dffffffff,3.0,0.0,0.0,0.0
8408065ffffffff,34.0,0.0,0.0,0.0
8408153ffffffff,2.0,2.0,0.0,0.0
8408159ffffffff,6.0,0.0,0.0,0.0
840819bffffffff,2.0,0.0,0.0,0.0
84081e5ffffffff,2.0,0.0,0.0,0.0
8408339ffffffff,2.0,0.0,0.0,0.0
8408365ffffffff,2.0,0.0,0.0,0.0
840836dffffffff,30.0,3.0,0.0,0.0
8408805ffffffff,12.0,11.0,0.0,0.0
8408809ffffffff,8.0,0.0,0.0,0.0
840880bffffffff,6.0,0.0,0.0,0.0
840880dffffffff,69.0,19.0,0.0,0.0
8408829ffffffff,37.0,24.0,0.0,0.0
840882bffffffff,1.0,0.0,0.0,0.0
840882dffffffff,1.0,1.0,0.0,0.0
8408831ffffffff,12.0,1.0,0.0,0.0
8408837ffffffff,11.0,0.0,0.0,0.0
8408839ffffffff,11.0,0.0,0.0,0.0
840883dffffffff,9.0,0.0,0.0,0.0
8408841ffffffff,12.0,0.0,0.0,0.0
8408843ffffffff,2.0,0.0,0.0,0.0
8408845ffffffff,10.0,3.0,0.0,0.0
8408847ffffffff,3.0,0.0,0.0,0.0
840884bffffffff,10.0,2.0,0.0,0.0
8408855ffffffff,14.0,5.0,0.0,0.0
8408861ffffffff,6.0,6.0,0.0,0.0
8408863ffffffff,14.0,4.0,0.0,0.0
8408865ffffffff,1.0,0.0,0.0,0.0
8408867ffffffff,41.0,20.0,0.0,0.0
8408869ffffffff,28.0,2.0,0.0,0.0
840886bffffffff,112.0,61.0,0.0,0.0
840886dffffffff,2.0,0.0,0.0,0.0
8408881ffffffff,4.0,0.0,0.0,0.0
8408885ffffffff,2.0,2.0,0.0,0.0
8408889ffffffff,20.0,0.0,0.0,0.0
840888bffffffff,4.0,0.0,0.0,0.0
840888dffffffff,11.0,7.0,0.0,0.0
8408893ffffffff,3.0,0.0,0.0,0.0
8408899ffffffff,4.0,0.0,0.0,0.0
84088a1ffffffff,8.0,2.0,0.0,0.0
84088a3ffffffff,5.0,0.0,0.0,0.0
84088a5ffffffff,6.0,0.0,0.0,0.0
84088a9ffffffff,22.0,10.0,0.0,0.0
84088adffffffff,16.0,6.0,0.0,0.0
84088b7ffffffff,3.0,0.0,0.0,0.0
84088bdffffffff,2.0,0.0,0.0,0.0
84088dbffffffff,2.0,0.0,0.0,0.0
84088e1ffffffff,5.0,5.0,0.0,0.0
84088e3ffffffff,5.0,3.0,0.0,0.0
84088e7ffffffff,7.0,7.0,0.0,0.0
8408901ffffffff,10.0,0.0,0.0,0.0
840890dffffffff,4.0,0.0,0.0,0.0
8408933ffffffff,3.0,0.0,0.0,0.0
8408937ffffffff,62.0,0.0,0.0,0.0
8408959ffffffff,32.0,20.0,0.0,0.0
840895bffffffff,55.0,40.0,0.0,0.0
8408961ffffffff,20.0,9.0,0.0,0.0
8408963ffffffff,5.0,4.0,0.0,0.0
8408965ffffffff,55.0,38.0,0.0,0.0
8408967ffffffff,4.0,2.0,0.0,0.0
8408969ffffffff,2.0,0.0,0.0,0.0
8408985ffffffff,36.0,0.0,0.0,0.0
8408987ffffffff,4.0,0.0,0.0,0.0
840898bffffffff,57.0,0.0,0.0,0.0
8408991ffffffff,35.0,8.0,0.0,0.0
8408995ffffffff,83.0,8.0,0.0,0.0
8408997ffffffff,80.0,15.0,0.0,0.0
8408999ffffffff,15.0,4.0,0.0,0.0
840899dffffffff,8.0,0.0,0.0,0.0
84089a1ffffffff,56.0,0.0,0.0,0.0
84089a5ffffffff,21.0,0.0,0.0,0.0
84089a7ffffffff,9.0,0.0,0.0,0.0
84089a9ffffffff,297.0,0.0,0.0,0.0
84089abffffffff,29.0,2.0,0.0,0.0
84089adffffffff,8.0,0.0,0.0,0.0
84089b1ffffffff,5.0,0.0,0.0,0.0
84089b5ffffffff,2.0,1.0,0.0,0.0
84089b7ffffffff,4.0,0.0,0.0,0.0
84089bbffffffff,71.0,3.0,0.0,0.0
84089bdffffffff,11.0,0.0,0.0,0.0
84089c3ffffffff,5.0,0.0,0.0,0.0
84089cbffffffff,6.0,0.0,0.0,0.0
84089d1ffffffff,37.0,0.0,0.0,0.0
84089d3ffffffff,116.0,4.0,0.0,0.0
84089d7ffffffff,5.0,0.0,0.0,0.0
84089d9ffffffff,11.0,0.0,0.0,0.0
84089dbffffffff,25.0,0.0,0.0,0.0
84089e1ffffffff,4.0,0.0,0.0,0.0
84089e3ffffffff,105.0,0.0,0.0,0.0
84089e5ffffffff,14.0,0.0,0.0,0.0
84089e7ffffffff,31.0,0.0,0.0,0.0
84089ebffffffff,25.0,0.0,0.0,0.0
84089edffffffff,11.0,2.0,0.0,0.0
8408a31ffffffff,2.0,0.0,0.0,0.0
8408a35ffffffff,6.0,0.0,0.0,0.0
8408a45ffffffff,12.0,7.0,0.0,0.0
8408a69ffffffff,8.0,0.0,0.0,0.0
8408a6dffffffff,13.0,4.0,0.0,0.0
8408b05ffffffff,11.0,0.0,0.0,0.0
8408b09ffffffff,3.0,3.0,0.0,0.0
8408b0dffffffff,36.0,6.0,0.0,0.0
8408b11ffffffff,12.0,2.0,0.0,0.0
8408b13ffffffff,2.0,0.0,0.0,0.0
8408b15ffffffff,39.0,0.0,0.0,0.0
8408b17ffffffff,10.0,0.0,0.0,0.0
8408b29ffffffff,2.0,0.0,0.0,0.0
8408b31ffffffff,5.0,0.0,0.0,0.0
8408b33ffffffff,18.0,0.0,0.0,0.0
8408b37ffffffff,2.0,0.0,0.0,0.0
8408b3dffffffff,10.0,2.0,0.0,0.0
8408b41ffffffff,11.0,4.0,0.0,0.0
8408b47ffffffff,4.0,2.0,0.0,0.0
8408b4dffffffff,2.0,0.0,0.0,0.0
8408b51ffffffff,4.0,2.0,0.0,0.0
8408b53ffffffff,2.0,0.0,0.0,0.0
8408b57ffffffff,2.0,0.0,0.0,0.0
8408b5bffffffff,2.0,0.0,0.0,0.0
8408b67ffffffff,2.0,0.0,0.0,0.0
8408c01ffffffff,3.0,0.0,0.0,0.0
8408c29ffffffff,3.0,1.0,0.0,0.0
8408c31ffffffff,4.0,2.0,0.0,0.0
8408c8bffffffff,3.0,0.0,0.0,0.0
8408c97ffffffff,1.0,0.0,0.0,0.0
8408d03ffffffff,2.0,0.0,0.0,0.0
8408d07ffffffff,2.0,0.0,0.0,0.0
8408d11ffffffff,7.0,0.0,0.0,0.0
8408d19ffffffff,76.0,11.0,0.0,0.0
8408d1dffffffff,5.0,2.0,0.0,0.0
8408d33ffffffff,2.0,0.0,0.0,0.0
8408d35ffffffff,4.0,0.0,0.0,0.0
8408d37ffffffff,5.0,0.0,0.0,0.0
8408d41ffffffff,4.0,0.0,0.0,0.0
8408d43ffffffff,3.0,0.0,0.0,0.0
8408d45ffffffff,6.0,0.0,0.0,0.0
8408d4bffffffff,3.0,1.0,0.0,0.0
8408d51ffffffff,1.0,0.0,0.0,0.0
8408d53ffffffff,2.0,0.0,0.0,0.0
8408d55ffffffff,11.0,0.0,0.0,0.0
8408d57ffffffff,7.0,0.0,0.0,0.0
8408d81ffffffff,3.0,3.0,0.0,0.0
8408d83ffffffff,2.0,0.0,0.0,0.0
8408ed3ffffffff,4.0,0.0,0.0,0.0
8408f63ffffffff,11.0,0.0,0.0,0.0
8409805ffffffff,24.0,0.0,0.0,0.0
8409819ffffffff,8.0,0.0,0.0,0.0
8409821ffffffff,119.0,3.0,0.0,0.0
8409825ffffffff,4.0,0.0,0.0,0.0
8409829ffffffff,15.0,0.0,0.0,0.0
840982bffffffff,32.0,0.0,0.0,0.0
840982dffffffff,63.0,0.0,0.0,0.0
8409893ffffffff,2.0,0.0,0.0,0.0
84098c7ffffffff,2.0,2.0,0.0,0.0
8409911ffffffff,128.0,5.0,0.0,0.0
8409917ffffffff,22.0,2.0,0.0,0.0
840991bffffffff,264.0,2.0,0.0,0.0
8409935ffffffff,2.0,2.0,0.0,0.0
8409937ffffffff,2.0,0.0,0.0,0.0
8409981ffffffff,4.0,0.0,0.0,0.0
8409983ffffffff,6.0,0.0,0.0,0.0
8409987ffffffff,4.0,0.0,0.0,0.0
840998bffffffff,1.0,0.0,0.0,0.0
8409991ffffffff,6.0,1.0,0.0,0.0
8409993ffffffff,123.0,29.0,0.0,0.0
8409995ffffffff,10.0,0.0,0.0,0.0
8409997ffffffff,24.0,11.0,0.0,0.0
840999bffffffff,2.0,0.0,0.0,0.0
84099a3ffffffff,2.0,0.0,0.0,0.0
84099a7ffffffff,2.0,0.0,0.0,0.0
84099b1ffffffff,1.0,0.0,0.0,0.0
84099b5ffffffff,2.0,0.0,0.0,0.0
84099b9ffffffff,88.0,2.0,0.0,0.0
84099bdffffffff,15.0,7.0,0.0,0.0
84099d7ffffffff,2.0,0.0,0.0,0.0
84099e9ffffffff,80.0,2.0,0.0,0.0
84099ebffffffff,1.0,0.0,0.0,0.0
8409a09ffffffff,134.0,6.0,0.0,0.0
8409a41ffffffff,14.0,2.0,0.0,0.0
8409a43ffffffff,14.0,1.0,0.0,0.0
8409a45ffffffff,39.0,3.0,0.0,0.0
8409a47ffffffff,66.0,10.0,0.0,0.0
8409a4dffffffff,37.0,4.0,0.0,0.0
8409a55ffffffff,76.0,5.0,0.0,0.0
8409a69ffffffff,185.0,24.0,0.0,0.0
8409a6bffffffff,58.0,14.0,0.0,0.0
8409ab1ffffffff,1.0,0.0,0.0,0.0
840b931ffffffff,2.0,0.0,0.0,0.0
840b933ffffffff,2.0,0.0,0.0,0.0
840b935ffffffff,4.0,0.0,0.0,0.0
840b937ffffffff,2.0,0.0,0.0,0.0
840bb01ffffffff,7.0,0.0,0.0,0.0
840bb03ffffffff,1.0,0.0,0.0,0.0
840bb1dffffffff,2.0,0.0,2.0,0.0
8410167ffffffff,2.0,0.0,0.0,0.0
8410231ffffffff,1.0,0.0,0.0,0.0
8410935ffffffff,1.0,0.0,0.0,0.0
84109b5ffffffff,1.0,0.0,0.0,0.0
8410a19ffffffff,12.0,0.0,0.0,0.0
8410a1dffffffff,1.0,0.0,0.0,0.0
8410c21ffffffff,1.0,0.0,0.0,0.0
