cell_id,Saucerottia beryllina,Saucerottia beryllina beryllina/viola,Saucerottia beryllina [devillei Group]
824527fffffffff,174.0,0.0,0.0
824807fffffffff,16.0,0.0,0.0
82480ffffffffff,211.0,0.0,0.0
824817fffffffff,105.0,0.0,0.0
82481ffffffffff,47.0,0.0,0.0
824837fffffffff,1733.0,25.0,0.0
8248e7fffffffff,79.0,0.0,0.0
824987fffffffff,1853.0,64.0,0.0
82498ffffffffff,10.0,0.0,0.0
824997fffffffff,9745.0,1012.0,0.0
8249a7fffffffff,18.0,0.0,0.0
8249affffffffff,2225.0,98.0,0.0
8249b7fffffffff,842.0,13.0,0.0
826d07fffffffff,244.0,0.0,10.0
826d17fffffffff,775.0,65.0,0.0
826d27fffffffff,866.0,0.0,35.0
826d2ffffffffff,2729.0,0.0,43.0
826d37fffffffff,3129.0,206.0,0.0
826d67fffffffff,160.0,0.0,0.0
826d77fffffffff,1290.0,0.0,0.0
