cell_id,Batis capensis,Batis capensis [erythrophthalma Group],Batis capensis capensis
829707fffffffff,55.0,6.0,0.0
82971ffffffffff,30.0,0.0,0.0
829727fffffffff,2.0,0.0,0.0
82972ffffffffff,250.0,45.0,0.0
829777fffffffff,3.0,0.0,0.0
82ad37fffffffff,646.0,0.0,208.0
82bc0ffffffffff,12.0,0.0,2.0
82bc1ffffffffff,10.0,0.0,1.0
82bc47fffffffff,321.0,0.0,58.0
82bc4ffffffffff,34.0,0.0,3.0
82bc57fffffffff,11.0,0.0,0.0
82bc6ffffffffff,516.0,0.0,159.0
82bc77fffffffff,71.0,0.0,2.0
82bcc7fffffffff,2.0,0.0,0.0
82bcd7fffffffff,306.0,68.0,0.0
82bce7fffffffff,52.0,7.0,14.0
82bcf7fffffffff,66.0,10.0,14.0
