cell_id,Scytalopus meridanus,Scytalopus meridanus meridanus,Scytalopus meridanus fuscicauda
8466291ffffffff,82.0,2.0,0.0
8466295ffffffff,6.0,0.0,0.0
8466299ffffffff,176.0,10.0,0.0
846629dffffffff,40.0,5.0,0.0
84662b1ffffffff,104.0,4.0,0.0
84662b7ffffffff,9.0,0.0,0.0
84662bbffffffff,2.0,2.0,0.0
84662d3ffffffff,17.0,0.0,1.0
84675a5ffffffff,18.0,0.0,0.0
84675adffffffff,330.0,0.0,3.0
84675e7ffffffff,7.0,0.0,0.0
84675ebffffffff,38.0,0.0,0.0
