cell_id,Dicrurus forficatus,Dicrurus forficatus forficatus,Dicrurus forficatus potior
83a204fffffffff,7.0,1.0,0.0
83a210fffffffff,1.0,0.0,0.0
83a213fffffffff,1.0,0.0,0.0
83a214fffffffff,376.0,169.0,0.0
83a215fffffffff,16.0,3.0,0.0
83a216fffffffff,9.0,8.0,0.0
83a220fffffffff,2.0,0.0,0.0
83a221fffffffff,2.0,0.0,0.0
83a222fffffffff,332.0,115.0,0.0
83a223fffffffff,13.0,5.0,0.0
83a231fffffffff,656.0,297.0,0.0
83a233fffffffff,2.0,0.0,0.0
83a235fffffffff,6.0,1.0,0.0
83a236fffffffff,8.0,0.0,0.0
83a2a3fffffffff,214.0,124.0,0.0
83a2a4fffffffff,138.0,64.0,0.0
83a2a6fffffffff,11.0,3.0,0.0
83a2aefffffffff,48.0,34.0,0.0
83a304fffffffff,11.0,0.0,0.0
83a308fffffffff,67.0,18.0,0.0
83a309fffffffff,20.0,14.0,0.0
83a30afffffffff,2.0,0.0,0.0
83a30cfffffffff,62.0,6.0,0.0
83a30dfffffffff,12.0,4.0,0.0
83a30efffffffff,8.0,0.0,0.0
83a318fffffffff,46.0,18.0,0.0
83a319fffffffff,505.0,252.0,0.0
83a31bfffffffff,13.0,7.0,0.0
83a31cfffffffff,12.0,3.0,0.0
83a31dfffffffff,30.0,11.0,0.0
83a322fffffffff,2.0,0.0,0.0
83a356fffffffff,220.0,82.0,0.0
83a372fffffffff,3.0,0.0,0.0
83a376fffffffff,48.0,9.0,0.0
83a388fffffffff,2.0,0.0,0.0
83a38bfffffffff,186.0,109.0,0.0
83a38cfffffffff,15.0,8.0,0.0
83a38dfffffffff,41.0,22.0,0.0
83a38efffffffff,8.0,0.0,0.0
83a399fffffffff,808.0,360.0,0.0
83a39dfffffffff,25.0,0.0,0.0
83a3abfffffffff,17.0,13.0,0.0
83a3adfffffffff,11.0,0.0,0.0
