cell_id,Calidris ptilocnemis,Calidris ptilocnemis ptilocnemis,Calidris ptilocnemis quarta,Calidris ptilocnemis tschuktschorum,Calidris ptilocnemis couesi,Calidris ptilocnemis quarta/tschuktschorum/couesi
830c12fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c14fffffffff,296.0,0.0,0.0,0.0,0.0,0.0
830c41fffffffff,125.0,0.0,0.0,0.0,0.0,0.0
830c42fffffffff,54.0,0.0,0.0,0.0,0.0,0.0
830c44fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830c45fffffffff,17.0,0.0,0.0,0.0,0.0,0.0
830c46fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c50fffffffff,35.0,0.0,0.0,0.0,0.0,0.0
830c51fffffffff,191.0,7.0,0.0,0.0,0.0,5.0
830c52fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c53fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830c55fffffffff,28.0,2.0,0.0,0.0,0.0,2.0
830c5afffffffff,228.0,0.0,0.0,0.0,0.0,0.0
830c73fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
830c80fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
830ca4fffffffff,810.0,0.0,0.0,0.0,0.0,0.0
830ca5fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830ca9fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
830cadfffffffff,6.0,0.0,0.0,0.0,0.0,0.0
830cc3fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830cd8fffffffff,39.0,0.0,0.0,0.0,0.0,0.0
830cdcfffffffff,52.0,0.0,0.0,0.0,0.0,0.0
830cdefffffffff,261.0,0.0,0.0,0.0,0.0,0.0
830ce8fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830cedfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830ceefffffffff,82.0,1.0,0.0,0.0,0.0,0.0
830cf4fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831282fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831286fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
831290fffffffff,48.0,0.0,0.0,0.0,0.0,0.0
831294fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83129cfffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8312b0fffffffff,78.0,0.0,0.0,0.0,0.0,0.0
8312b4fffffffff,22.0,0.0,0.0,0.0,0.0,0.0
8312b6fffffffff,14.0,0.0,0.0,0.0,0.0,0.0
831391fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831393fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
83139efffffffff,49.0,2.0,0.0,0.0,0.0,0.0
831601fffffffff,14.0,0.0,0.0,10.0,0.0,0.0
831650fffffffff,217.0,0.0,0.0,0.0,100.0,0.0
831653fffffffff,75.0,0.0,0.0,0.0,48.0,0.0
831658fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
831d24fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
83225afffffffff,666.0,0.0,0.0,0.0,257.0,0.0
8322c0fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8322d0fffffffff,113.0,0.0,0.0,0.0,0.0,0.0
8322dbfffffffff,3379.0,2130.0,0.0,27.0,2.0,109.0
8322e8fffffffff,2.0,0.0,0.0,0.0,1.0,0.0
8322e9fffffffff,123.0,0.0,0.0,0.0,22.0,0.0
8322eefffffffff,4.0,0.0,0.0,0.0,0.0,0.0
832802fffffffff,372.0,0.0,0.0,0.0,0.0,11.0
832819fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83281bfffffffff,17.0,0.0,0.0,0.0,0.0,0.0
83281cfffffffff,44.0,0.0,0.0,0.0,0.0,0.0
832835fffffffff,1002.0,0.0,0.0,0.0,0.0,0.0
8328c2fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8328c6fffffffff,368.0,0.0,0.0,0.0,0.0,8.0
8328d1fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8328d8fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8328dcfffffffff,41.0,0.0,0.0,0.0,0.0,0.0
8328ddfffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8328defffffffff,97.0,0.0,0.0,0.0,0.0,0.0
8328e6fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8328f1fffffffff,109.0,0.0,0.0,0.0,0.0,3.0
8328f5fffffffff,184.0,0.0,0.0,0.0,0.0,0.0
