cell_id,Limnodromus griseus,Limnodromus griseus griseus,Limnodromus griseus hendersoni,Limnodromus griseus caurinus
830c1bfffffffff,5.0,0.0,0.0,0.0
830c1efffffffff,4.0,0.0,0.0,0.0
830c41fffffffff,53.0,0.0,0.0,0.0
830c42fffffffff,50.0,0.0,0.0,0.0
830c44fffffffff,4.0,0.0,0.0,0.0
830c45fffffffff,45.0,0.0,0.0,0.0
830c46fffffffff,19.0,0.0,0.0,0.0
830c50fffffffff,192.0,0.0,0.0,0.0
830c51fffffffff,266.0,0.0,0.0,0.0
830c54fffffffff,101.0,0.0,0.0,0.0
830c55fffffffff,428.0,0.0,0.0,0.0
830c5afffffffff,268.0,0.0,0.0,0.0
830c5efffffffff,2.0,0.0,0.0,0.0
830c68fffffffff,4.0,0.0,0.0,0.0
830c6afffffffff,26.0,0.0,0.0,0.0
830c73fffffffff,1957.0,0.0,0.0,67.0
830cdcfffffffff,4.0,0.0,0.0,0.0
830cdefffffffff,31.0,0.0,0.0,0.0
830ce1fffffffff,3.0,0.0,0.0,0.0
830ce3fffffffff,3.0,0.0,0.0,0.0
830ceafffffffff,1.0,0.0,0.0,0.0
830cedfffffffff,1.0,0.0,0.0,0.0
830ceefffffffff,88.0,0.0,0.0,0.0
830e44fffffffff,1.0,0.0,0.0,0.0
830e45fffffffff,2.0,0.0,0.0,0.0
830e49fffffffff,93.0,0.0,0.0,0.0
830e4dfffffffff,239.0,0.0,0.0,0.0
830e62fffffffff,1.0,0.0,0.0,0.0
830e63fffffffff,2.0,0.0,0.0,0.0
830e6cfffffffff,2.0,0.0,0.0,0.0
830e6efffffffff,1.0,0.0,0.0,0.0
830e80fffffffff,1719.0,0.0,0.0,0.0
830e83fffffffff,6.0,0.0,0.0,0.0
830e86fffffffff,2.0,0.0,0.0,0.0
830e8dfffffffff,3.0,0.0,0.0,0.0
830e8efffffffff,6.0,0.0,0.0,0.0
830ec0fffffffff,1.0,0.0,0.0,0.0
830ec1fffffffff,72.0,0.0,5.0,0.0
830ec4fffffffff,2.0,0.0,0.0,0.0
830ec5fffffffff,2.0,0.0,0.0,0.0
830eccfffffffff,228.0,0.0,0.0,0.0
830ee1fffffffff,2.0,0.0,0.0,0.0
830ee2fffffffff,1.0,0.0,0.0,0.0
830ee5fffffffff,3.0,0.0,0.0,0.0
830ee8fffffffff,6.0,0.0,0.0,0.0
830eeafffffffff,971.0,0.0,0.0,0.0
830eebfffffffff,64.0,0.0,0.0,0.0
830eedfffffffff,1.0,0.0,0.0,0.0
830ef0fffffffff,5.0,0.0,0.0,0.0
830ef1fffffffff,2.0,0.0,0.0,0.0
831218fffffffff,13.0,0.0,0.0,0.0
83121bfffffffff,9.0,0.0,4.0,0.0
831248fffffffff,2.0,0.0,0.0,0.0
83124bfffffffff,3.0,0.0,0.0,0.0
831253fffffffff,24.0,0.0,3.0,0.0
831254fffffffff,4.0,0.0,0.0,0.0
831258fffffffff,1.0,0.0,0.0,0.0
831259fffffffff,41.0,0.0,4.0,0.0
83125afffffffff,6.0,0.0,0.0,0.0
83125bfffffffff,2.0,0.0,0.0,0.0
831272fffffffff,5.0,0.0,0.0,0.0
831280fffffffff,21.0,0.0,0.0,0.0
831286fffffffff,4.0,0.0,0.0,0.0
831290fffffffff,7.0,0.0,0.0,0.0
831294fffffffff,6.0,0.0,0.0,0.0
831298fffffffff,2.0,0.0,0.0,0.0
83129bfffffffff,27.0,0.0,0.0,0.0
83129cfffffffff,2.0,0.0,0.0,0.0
8312a9fffffffff,2.0,0.0,0.0,0.0
8312adfffffffff,8.0,0.0,0.0,0.0
8312b0fffffffff,92.0,0.0,0.0,0.0
8312c1fffffffff,2.0,0.0,0.0,0.0
8312c8fffffffff,6.0,0.0,2.0,0.0
8312c9fffffffff,11.0,0.0,0.0,0.0
8312ccfffffffff,156.0,0.0,11.0,0.0
8312cdfffffffff,12.0,0.0,0.0,0.0
8312d3fffffffff,1.0,0.0,0.0,0.0
8312e1fffffffff,26.0,0.0,3.0,0.0
8312e8fffffffff,19.0,0.0,0.0,0.0
8312e9fffffffff,2.0,0.0,0.0,0.0
8312eafffffffff,8.0,0.0,2.0,0.0
8312ebfffffffff,14.0,0.0,0.0,0.0
8312ecfffffffff,154.0,0.0,13.0,0.0
8312edfffffffff,6.0,0.0,0.0,0.0
8312f6fffffffff,7.0,0.0,0.0,0.0
831306fffffffff,2.0,0.0,0.0,0.0
831352fffffffff,4.0,0.0,0.0,0.0
831393fffffffff,22.0,0.0,0.0,0.0
831396fffffffff,2.0,0.0,0.0,0.0
83139efffffffff,125.0,0.0,0.0,0.0
8313a9fffffffff,2.0,0.0,0.0,0.0
831aa0fffffffff,30.0,0.0,0.0,0.0
831aa2fffffffff,60.0,0.0,0.0,0.0
831aa3fffffffff,74.0,0.0,0.0,0.0
831aa4fffffffff,34.0,0.0,0.0,0.0
831aa6fffffffff,23.0,0.0,0.0,0.0
831ab0fffffffff,4.0,0.0,0.0,0.0
831ab4fffffffff,4.0,0.0,0.0,0.0
831ab5fffffffff,9.0,0.0,0.0,0.0
831b82fffffffff,20.0,0.0,0.0,0.0
831b83fffffffff,10.0,0.0,0.0,0.0
831b8afffffffff,3.0,0.0,0.0,0.0
831b92fffffffff,21.0,0.0,0.0,0.0
831b98fffffffff,6.0,0.0,0.0,0.0
831b99fffffffff,18.0,0.0,0.0,0.0
831b9afffffffff,32.0,0.0,0.0,0.0
831b9cfffffffff,2.0,0.0,0.0,0.0
831b9efffffffff,20.0,0.0,0.0,0.0
831bb0fffffffff,2.0,0.0,0.0,0.0
831d20fffffffff,4.0,0.0,0.0,0.0
831d24fffffffff,7.0,0.0,0.0,0.0
831db6fffffffff,2.0,0.0,0.0,0.0
8322dbfffffffff,153.0,0.0,0.0,0.0
832600fffffffff,9.0,0.0,0.0,0.0
832601fffffffff,7.0,0.0,3.0,0.0
832603fffffffff,11.0,0.0,2.0,0.0
832604fffffffff,4.0,0.0,0.0,0.0
832605fffffffff,13.0,0.0,0.0,0.0
832606fffffffff,8.0,0.0,0.0,0.0
83260afffffffff,15.0,0.0,0.0,0.0
83260bfffffffff,84.0,0.0,11.0,0.0
83260cfffffffff,4.0,0.0,0.0,0.0
83260dfffffffff,6.0,0.0,0.0,0.0
832611fffffffff,2.0,0.0,2.0,0.0
832615fffffffff,2.0,0.0,0.0,0.0
83261dfffffffff,5.0,0.0,0.0,0.0
832620fffffffff,162.0,0.0,9.0,0.0
832621fffffffff,87.0,0.0,1.0,0.0
832622fffffffff,34.0,0.0,1.0,0.0
832623fffffffff,121.0,0.0,1.0,0.0
