cell_id,Vireolanius leucotis,Vireolanius leucotis mikettae,Vireolanius leucotis [leucotis Group]
835f01fffffffff,8.0,0.0,0.0
835f03fffffffff,10.0,0.0,0.0
835f10fffffffff,6.0,0.0,0.0
835f11fffffffff,3.0,0.0,0.0
835f12fffffffff,1.0,0.0,0.0
835f13fffffffff,4.0,0.0,0.0
835f14fffffffff,4.0,0.0,0.0
835f15fffffffff,3.0,0.0,0.0
835f16fffffffff,15.0,0.0,0.0
835f2bfffffffff,74.0,0.0,0.0
835f2cfffffffff,1.0,0.0,0.0
835f36fffffffff,1.0,0.0,0.0
835f40fffffffff,4.0,0.0,0.0
835f42fffffffff,7.0,0.0,0.0
835f54fffffffff,22.0,0.0,0.0
835f68fffffffff,12.0,0.0,0.0
835f71fffffffff,21.0,0.0,0.0
835f75fffffffff,9.0,0.0,0.0
836618fffffffff,2.0,0.0,0.0
83661afffffffff,2.0,0.0,0.0
83661bfffffffff,185.0,0.0,0.0
83661efffffffff,4.0,0.0,0.0
8366c2fffffffff,56.0,0.0,0.0
8366c6fffffffff,1.0,0.0,0.0
8366d0fffffffff,214.0,0.0,0.0
8366d1fffffffff,371.0,0.0,0.0
8366d2fffffffff,20.0,2.0,0.0
8366d3fffffffff,1036.0,56.0,0.0
8366d8fffffffff,1.0,0.0,0.0
8366dafffffffff,59.0,0.0,2.0
8366dcfffffffff,12.0,0.0,0.0
8366defffffffff,524.0,0.0,63.0
8366e6fffffffff,4.0,0.0,0.0
8366f0fffffffff,780.0,0.0,0.0
8366f1fffffffff,480.0,0.0,0.0
8366f3fffffffff,7.0,0.0,0.0
8366f5fffffffff,151.0,0.0,0.0
838061fffffffff,62.0,0.0,0.0
838065fffffffff,32.0,0.0,0.0
838068fffffffff,2.0,0.0,0.0
83806bfffffffff,7.0,0.0,0.0
83814afffffffff,172.0,0.0,0.0
83814dfffffffff,21.0,0.0,0.0
83814efffffffff,112.0,0.0,0.0
838a01fffffffff,5.0,0.0,2.0
838a04fffffffff,6.0,0.0,2.0
838a05fffffffff,18.0,0.0,1.0
838a06fffffffff,2.0,0.0,0.0
838a10fffffffff,13.0,0.0,0.0
838a14fffffffff,1.0,0.0,0.0
838a15fffffffff,2.0,0.0,0.0
838a1afffffffff,10.0,0.0,1.0
838a20fffffffff,1.0,0.0,1.0
838a21fffffffff,2.0,0.0,1.0
838a24fffffffff,9.0,0.0,4.0
838a31fffffffff,8.0,0.0,0.0
838a33fffffffff,2.0,0.0,0.0
838a63fffffffff,9.0,0.0,0.0
838a6dfffffffff,3.0,0.0,0.0
838a81fffffffff,9.0,0.0,0.0
838a82fffffffff,7.0,0.0,0.0
838a91fffffffff,3.0,0.0,0.0
838a92fffffffff,9.0,0.0,0.0
838a9cfffffffff,38.0,0.0,0.0
838aa8fffffffff,8.0,0.0,0.0
838aaafffffffff,16.0,0.0,0.0
838aadfffffffff,8.0,0.0,0.0
838adcfffffffff,3.0,0.0,0.0
838af2fffffffff,80.0,0.0,7.0
838af4fffffffff,2.0,0.0,0.0
838af6fffffffff,691.0,0.0,57.0
838b21fffffffff,2.0,0.0,0.0
838b23fffffffff,1.0,0.0,0.0
838b40fffffffff,63.0,0.0,0.0
838b42fffffffff,2.0,0.0,0.0
838b44fffffffff,48.0,0.0,0.0
838b45fffffffff,4.0,0.0,0.0
838b46fffffffff,7.0,0.0,0.0
838b4efffffffff,15.0,0.0,0.0
838b51fffffffff,11.0,0.0,0.0
838b52fffffffff,2.0,0.0,0.0
838b5cfffffffff,2.0,0.0,0.0
838b5efffffffff,2.0,0.0,0.0
838b60fffffffff,1.0,0.0,0.0
838b61fffffffff,24.0,0.0,0.0
838b63fffffffff,27.0,0.0,0.0
838b69fffffffff,28.0,0.0,0.0
838b6cfffffffff,8.0,0.0,0.0
838b6dfffffffff,2.0,0.0,0.0
838b6efffffffff,26.0,0.0,0.0
838b71fffffffff,7.0,0.0,0.0
838b74fffffffff,50.0,0.0,0.0
838b75fffffffff,12.0,0.0,0.0
838b76fffffffff,1.0,0.0,0.0
838b83fffffffff,3.0,0.0,0.0
838b84fffffffff,20.0,0.0,0.0
838b88fffffffff,5.0,0.0,0.0
838b8afffffffff,3.0,0.0,0.0
838b99fffffffff,1.0,0.0,0.0
838b9dfffffffff,170.0,0.0,0.0
838bb5fffffffff,2.0,0.0,0.0
838e64fffffffff,31.0,0.0,0.0
838e65fffffffff,4.0,0.0,0.0
838f2cfffffffff,13.0,0.0,0.0
838f40fffffffff,119.0,0.0,0.0
838f42fffffffff,12.0,0.0,0.0
838f43fffffffff,57.0,0.0,1.0
838f46fffffffff,76.0,0.0,1.0
838f48fffffffff,4.0,0.0,0.0
838f4afffffffff,6.0,0.0,0.0
838f4bfffffffff,8.0,0.0,0.0
838f5dfffffffff,3.0,0.0,0.0
838f6bfffffffff,4.0,0.0,0.0
838f70fffffffff,6.0,0.0,0.0
838f72fffffffff,199.0,0.0,24.0
838f74fffffffff,9.0,0.0,0.0
838f76fffffffff,9.0,0.0,0.0
83b324fffffffff,18.0,0.0,0.0
83b325fffffffff,2.0,0.0,0.0
