cell_id,Trochalopteron erythrocephalum,Trochalopteron erythrocephalum erythrocephalum/kali,Trochalopteron erythrocephalum nigrimentum
843c00dffffffff,17.0,0.0,0.0
843c029ffffffff,135.0,0.0,0.0
843c02bffffffff,8.0,0.0,0.0
843c02dffffffff,182.0,0.0,0.0
843c031ffffffff,10.0,0.0,0.0
843c033ffffffff,17.0,0.0,0.0
843c063ffffffff,64.0,0.0,0.0
843c067ffffffff,6.0,0.0,0.0
843c06bffffffff,5.0,0.0,0.0
843c087ffffffff,4.0,0.0,0.0
843c0a1ffffffff,27.0,0.0,0.0
843c0a3ffffffff,144.0,0.0,0.0
843c0a5ffffffff,948.0,0.0,0.0
843c0a7ffffffff,1.0,0.0,0.0
843c0a9ffffffff,323.0,0.0,0.0
843c0adffffffff,291.0,0.0,0.0
843c0b5ffffffff,188.0,0.0,0.0
843c0b7ffffffff,81.0,0.0,0.0
843c0bdffffffff,17.0,0.0,0.0
843c0e7ffffffff,25.0,0.0,0.0
843c199ffffffff,101.0,0.0,0.0
843c1d1ffffffff,149.0,0.0,0.0
843c1d3ffffffff,754.0,0.0,0.0
843c1d7ffffffff,11.0,0.0,0.0
843c1dbffffffff,59.0,0.0,0.0
843c307ffffffff,9.0,0.0,0.0
843c315ffffffff,44.0,0.0,0.0
843c317ffffffff,11.0,0.0,0.0
843c33bffffffff,23.0,0.0,0.0
843c341ffffffff,2.0,0.0,0.0
843c431ffffffff,20.0,0.0,0.0
843c437ffffffff,15.0,0.0,0.0
843c521ffffffff,328.0,0.0,0.0
843c525ffffffff,18.0,0.0,0.0
843c527ffffffff,834.0,0.0,0.0
843c529ffffffff,7.0,0.0,0.0
843c52dffffffff,31.0,0.0,0.0
843c533ffffffff,12.0,0.0,0.0
843c567ffffffff,15.0,0.0,0.0
843c56dffffffff,2.0,0.0,0.0
843c581ffffffff,287.0,0.0,0.0
843c583ffffffff,5.0,0.0,0.0
843c587ffffffff,30.0,0.0,0.0
843c595ffffffff,72.0,0.0,0.0
843c5b1ffffffff,2.0,0.0,0.0
843c5b7ffffffff,8.0,0.0,0.0
843c5b9ffffffff,2.0,0.0,0.0
843c5bdffffffff,3.0,0.0,0.0
843c5cbffffffff,46.0,0.0,0.0
843c5d5ffffffff,1.0,0.0,0.0
843c5ddffffffff,2.0,0.0,0.0
843ce43ffffffff,5.0,0.0,0.0
843ce49ffffffff,9.0,0.0,0.0
843ce4bffffffff,13.0,0.0,0.0
843ce4dffffffff,5.0,0.0,0.0
843ce51ffffffff,3.0,0.0,0.0
843ce53ffffffff,15.0,0.0,0.0
843ce59ffffffff,59.0,0.0,0.0
843ce5bffffffff,34.0,0.0,0.0
843ce5dffffffff,31.0,0.0,0.0
843d101ffffffff,2.0,0.0,0.0
843d103ffffffff,29.0,0.0,0.0
843d109ffffffff,42.0,0.0,0.0
843d111ffffffff,6.0,0.0,0.0
843d115ffffffff,41.0,0.0,0.0
843d117ffffffff,3.0,0.0,0.0
843d11dffffffff,20.0,0.0,0.0
843d131ffffffff,2.0,0.0,0.0
843d137ffffffff,2.0,0.0,0.0
843d139ffffffff,30.0,0.0,0.0
843d13bffffffff,14.0,0.0,0.0
843d14bffffffff,2.0,0.0,0.0
843d151ffffffff,63.0,0.0,0.0
843d155ffffffff,12.0,0.0,0.0
843d157ffffffff,51.0,0.0,0.0
843d15dffffffff,47.0,0.0,0.0
843d1a9ffffffff,119.0,0.0,0.0
843d1abffffffff,1.0,0.0,0.0
843d1adffffffff,2.0,0.0,0.0
843d1e5ffffffff,4.0,0.0,0.0
843d1e7ffffffff,854.0,0.0,0.0
843d1e9ffffffff,11.0,0.0,0.0
843d1edffffffff,746.0,0.0,0.0
843d307ffffffff,6.0,0.0,0.0
843d333ffffffff,2.0,0.0,0.0
843d335ffffffff,14.0,0.0,0.0
843d337ffffffff,13.0,0.0,0.0
843d33dffffffff,79.0,0.0,0.0
843dad1ffffffff,851.0,0.0,0.0
843dad9ffffffff,39.0,0.0,0.0
843dadbffffffff,12.0,0.0,0.0
