cell_id,Dryoscopus cubla,Dryoscopus cubla affinis,Dryoscopus cubla [cubla Group]
846ac93ffffffff,40.0,0.0,0.0
846ad8bffffffff,4.0,0.0,0.0
846adc1ffffffff,2.0,0.0,0.0
846adc5ffffffff,19.0,0.0,0.0
846add7ffffffff,4.0,0.0,0.0
847a409ffffffff,10.0,0.0,0.0
847a40bffffffff,2.0,0.0,0.0
847a40dffffffff,19.0,0.0,0.0
847a451ffffffff,14.0,0.0,0.0
847a453ffffffff,20.0,0.0,0.0
847a455ffffffff,41.0,0.0,0.0
847a457ffffffff,82.0,0.0,0.0
847a459ffffffff,35.0,0.0,0.0
847a45bffffffff,33.0,0.0,0.0
847a45dffffffff,11.0,0.0,0.0
847a601ffffffff,2.0,0.0,0.0
847a603ffffffff,13.0,0.0,0.0
847a609ffffffff,68.0,0.0,0.0
847a60bffffffff,20.0,0.0,0.0
847a613ffffffff,1.0,0.0,0.0
847a615ffffffff,7.0,0.0,0.0
847a617ffffffff,2.0,0.0,0.0
847a619ffffffff,9.0,0.0,0.0
847a61bffffffff,6.0,0.0,0.0
847a61dffffffff,21.0,0.0,0.0
847a631ffffffff,1.0,0.0,0.0
847a633ffffffff,1.0,0.0,0.0
847a637ffffffff,4.0,0.0,0.0
847a63bffffffff,7.0,0.0,0.0
847a63dffffffff,2.0,0.0,0.0
847a641ffffffff,10.0,0.0,0.0
847a643ffffffff,49.0,0.0,0.0
847a651ffffffff,6.0,0.0,0.0
847a653ffffffff,49.0,0.0,0.0
847a655ffffffff,4.0,0.0,0.0
847a657ffffffff,182.0,0.0,0.0
847a659ffffffff,11.0,0.0,0.0
847a65bffffffff,2.0,0.0,0.0
847a65dffffffff,2.0,0.0,0.0
847a66dffffffff,6.0,0.0,0.0
847a681ffffffff,99.0,0.0,0.0
847a683ffffffff,254.0,0.0,0.0
847a685ffffffff,5.0,0.0,0.0
847a687ffffffff,8.0,0.0,0.0
847a689ffffffff,2.0,0.0,0.0
847a68bffffffff,20.0,0.0,0.0
847a68dffffffff,4.0,0.0,0.0
847a6a1ffffffff,57.0,0.0,0.0
847a6a5ffffffff,3.0,0.0,0.0
847a6adffffffff,21.0,0.0,0.0
847a6bbffffffff,2.0,0.0,0.0
847a6c1ffffffff,2.0,0.0,0.0
847a6d1ffffffff,61.0,0.0,0.0
847a6d3ffffffff,7.0,0.0,0.0
847a6d5ffffffff,2.0,0.0,0.0
847a6d9ffffffff,3.0,0.0,0.0
847a6dbffffffff,14.0,0.0,0.0
847a6e1ffffffff,18.0,0.0,0.0
847a6e5ffffffff,568.0,0.0,0.0
847a6e7ffffffff,23.0,0.0,0.0
847a6e9ffffffff,2.0,0.0,0.0
847a6edffffffff,3.0,0.0,0.0
847a751ffffffff,1.0,0.0,0.0
847a75dffffffff,2.0,0.0,0.0
847b481ffffffff,3.0,0.0,0.0
847b483ffffffff,2.0,0.0,0.0
847b485ffffffff,7.0,0.0,0.0
847b487ffffffff,70.0,0.0,0.0
847b489ffffffff,8.0,0.0,0.0
847b4a1ffffffff,15.0,0.0,0.0
847b4a5ffffffff,12.0,0.0,0.0
847b4a7ffffffff,41.0,0.0,0.0
847b4b1ffffffff,4.0,0.0,0.0
847b4b3ffffffff,7.0,0.0,0.0
847b4b7ffffffff,8.0,0.0,0.0
847b4b9ffffffff,66.0,0.0,0.0
847b4c7ffffffff,1.0,0.0,0.0
847b4cbffffffff,1.0,0.0,0.0
847b4d3ffffffff,2.0,0.0,0.0
847b4d5ffffffff,3.0,0.0,0.0
847b4dbffffffff,41.0,0.0,0.0
847b591ffffffff,13.0,0.0,0.0
847b595ffffffff,22.0,0.0,0.0
847b597ffffffff,199.0,0.0,0.0
847b59bffffffff,19.0,0.0,0.0
847b5b1ffffffff,7.0,0.0,0.0
847b5b3ffffffff,2.0,0.0,0.0
847b5b5ffffffff,2.0,0.0,0.0
847b5bbffffffff,2.0,0.0,0.0
847b689ffffffff,6.0,0.0,0.0
847b6a9ffffffff,9.0,0.0,0.0
847b6bbffffffff,30.0,0.0,0.0
847b6bdffffffff,2.0,0.0,0.0
847b6d5ffffffff,1.0,0.0,0.0
8483117ffffffff,12.0,0.0,0.0
8483125ffffffff,11.0,0.0,0.0
8483151ffffffff,4.0,0.0,0.0
84831e5ffffffff,7.0,0.0,0.0
84831e7ffffffff,3.0,0.0,0.0
84831ebffffffff,8.0,0.0,0.0
84831edffffffff,2.0,0.0,0.0
848320dffffffff,6.0,0.0,0.0
