cell_id,Cyornis rufigastra,Cyornis rufigastra [rufigastra Group],Cyornis rufigastra [blythi Group]
846435bffffffff,3.0,2.0,0.0
8465033ffffffff,6.0,0.0,0.0
84650e5ffffffff,1.0,0.0,0.0
846518dffffffff,4.0,0.0,0.0
8465195ffffffff,27.0,7.0,0.0
84651d1ffffffff,24.0,0.0,0.0
84651d9ffffffff,71.0,1.0,0.0
84651ebffffffff,4.0,0.0,0.0
8465237ffffffff,1.0,0.0,0.0
8465263ffffffff,19.0,0.0,0.0
8468449ffffffff,2.0,0.0,2.0
846871dffffffff,6.0,0.0,6.0
