cell_id,Heliodoxa schreibersii,Heliodoxa schreibersii schreibersii,Heliodoxa schreibersii whitelyana
82665ffffffffff,29.0,0.0,0.0
8266c7fffffffff,5.0,0.0,0.0
8266cffffffffff,2.0,0.0,0.0
8266d7fffffffff,133.0,0.0,0.0
8266dffffffffff,1973.0,225.0,0.0
828a47fffffffff,2.0,0.0,0.0
828a4ffffffffff,3.0,0.0,0.0
828a6ffffffffff,5.0,0.0,0.0
828b67fffffffff,6.0,0.0,0.0
828b77fffffffff,4.0,0.0,0.0
828e67fffffffff,7.0,0.0,0.0
828f2ffffffffff,2.0,0.0,0.0
828f47fffffffff,94.0,0.0,0.0
828f67fffffffff,2.0,0.0,0.0
828f77fffffffff,213.0,7.0,0.0
