cell_id,Arremon flavirostris,Arremon flavirostris polionotus,Arremon flavirostris flavirostris
838124fffffffff,124.0,0.0,21.0
83812dfffffffff,8.0,0.0,0.0
838162fffffffff,1.0,0.0,0.0
838b20fffffffff,6.0,0.0,0.0
838b22fffffffff,1.0,0.0,0.0
838b30fffffffff,1.0,0.0,0.0
838b34fffffffff,2.0,0.0,0.0
838b36fffffffff,6.0,0.0,0.0
838ba6fffffffff,3.0,0.0,0.0
838bb5fffffffff,285.0,35.0,0.0
83a801fffffffff,4.0,0.0,0.0
83a803fffffffff,6.0,0.0,0.0
83a809fffffffff,4.0,0.0,0.0
83a80bfffffffff,7.0,0.0,0.0
83a80cfffffffff,18.0,0.0,0.0
83a80efffffffff,8.0,0.0,0.0
83a810fffffffff,3.0,0.0,0.0
83a811fffffffff,22.0,0.0,0.0
83a812fffffffff,1.0,0.0,0.0
83a813fffffffff,11.0,0.0,0.0
83a815fffffffff,5.0,0.0,0.0
83a818fffffffff,105.0,0.0,2.0
83a819fffffffff,5.0,0.0,0.0
83a81afffffffff,36.0,0.0,0.0
83a81bfffffffff,4.0,0.0,0.0
83a81cfffffffff,110.0,0.0,1.0
83a81dfffffffff,39.0,2.0,1.0
83a81efffffffff,1155.0,1.0,2.0
83a821fffffffff,2.0,0.0,0.0
83a828fffffffff,2.0,0.0,0.0
83a829fffffffff,15.0,1.0,0.0
83a82bfffffffff,2.0,0.0,0.0
83a82dfffffffff,8.0,2.0,0.0
83a831fffffffff,1.0,0.0,0.0
83a840fffffffff,55.0,1.0,0.0
83a841fffffffff,19.0,2.0,0.0
83a844fffffffff,57.0,2.0,0.0
83a846fffffffff,16.0,0.0,0.0
83a849fffffffff,1.0,0.0,0.0
83a84dfffffffff,2.0,0.0,0.0
83a850fffffffff,9.0,0.0,0.0
83a851fffffffff,2.0,0.0,0.0
83a855fffffffff,3.0,0.0,0.0
83a859fffffffff,144.0,7.0,0.0
83a85bfffffffff,2.0,0.0,0.0
83a85dfffffffff,51.0,0.0,0.0
83a860fffffffff,51.0,0.0,0.0
83a862fffffffff,6.0,0.0,0.0
83a864fffffffff,4.0,0.0,0.0
83a865fffffffff,2.0,0.0,0.0
83a866fffffffff,12.0,0.0,0.0
83a870fffffffff,4.0,0.0,0.0
83a871fffffffff,2.0,0.0,0.0
83a872fffffffff,1.0,0.0,0.0
83a876fffffffff,1.0,1.0,0.0
83a881fffffffff,67.0,0.0,28.0
83a885fffffffff,4.0,0.0,0.0
83a888fffffffff,2.0,0.0,0.0
83a889fffffffff,6.0,0.0,0.0
83a88bfffffffff,2.0,0.0,0.0
83a88cfffffffff,21.0,0.0,3.0
83a88dfffffffff,27.0,0.0,10.0
83a88efffffffff,28.0,0.0,0.0
83a8a1fffffffff,3.0,0.0,2.0
83a8a8fffffffff,13.0,0.0,1.0
83a8a9fffffffff,51.0,0.0,19.0
83a8aafffffffff,12.0,0.0,0.0
83a8acfffffffff,3.0,0.0,3.0
83a8adfffffffff,37.0,0.0,6.0
83a8aefffffffff,18.0,0.0,3.0
83a8c1fffffffff,1.0,0.0,0.0
83a8c2fffffffff,70.0,0.0,33.0
83a8c6fffffffff,2.0,0.0,0.0
83a8d0fffffffff,1.0,0.0,0.0
83a8d1fffffffff,145.0,0.0,24.0
83a8d3fffffffff,3.0,0.0,0.0
83a8d5fffffffff,3.0,0.0,0.0
83a8ddfffffffff,2.0,0.0,0.0
83a8defffffffff,64.0,0.0,5.0
83a8ecfffffffff,2.0,0.0,0.0
83a8f0fffffffff,1.0,0.0,0.0
83a8f1fffffffff,1.0,0.0,0.0
83a8f4fffffffff,29.0,0.0,2.0
83a8f5fffffffff,4.0,0.0,0.0
83a8f6fffffffff,4.0,0.0,0.0
83a940fffffffff,9.0,0.0,0.0
83a941fffffffff,233.0,0.0,0.0
83a942fffffffff,4.0,0.0,0.0
83a943fffffffff,10.0,0.0,0.0
83a944fffffffff,29.0,0.0,0.0
83a945fffffffff,96.0,0.0,0.0
83a946fffffffff,73.0,0.0,0.0
83a948fffffffff,2.0,0.0,0.0
83a94afffffffff,1.0,0.0,0.0
83a94cfffffffff,93.0,0.0,0.0
83a94dfffffffff,14.0,0.0,0.0
83a94efffffffff,162.0,0.0,0.0
83a950fffffffff,6.0,0.0,0.0
83a951fffffffff,3.0,0.0,0.0
83a953fffffffff,595.0,21.0,0.0
83a959fffffffff,1.0,0.0,0.0
83a95afffffffff,3.0,0.0,0.0
83a95cfffffffff,36.0,0.0,0.0
83a95dfffffffff,15.0,0.0,0.0
83a95efffffffff,142.0,3.0,0.0
83a961fffffffff,83.0,0.0,0.0
83a963fffffffff,17.0,0.0,0.0
83a965fffffffff,2.0,0.0,0.0
83a968fffffffff,65.0,0.0,0.0
83a96afffffffff,162.0,0.0,0.0
83a96bfffffffff,33.0,0.0,0.0
83a96cfffffffff,31.0,0.0,0.0
83a96efffffffff,123.0,0.0,0.0
83b268fffffffff,1.0,0.0,0.0
83b269fffffffff,2.0,0.0,0.0
83b26dfffffffff,13.0,0.0,0.0
83b349fffffffff,2.0,0.0,0.0
83b34dfffffffff,5.0,0.0,0.0
83c2c9fffffffff,2.0,0.0,0.0
83c2cbfffffffff,15.0,0.0,0.0
