cell_id,Mionectes macconnelli,Mionectes macconnelli macconnelli,Mionectes macconnelli amazonus/peruanus
825f07fffffffff,74.0,0.0,0.0
825f0ffffffffff,1.0,0.0,0.0
825f17fffffffff,58.0,1.0,0.0
825f1ffffffffff,5.0,0.0,0.0
825f2ffffffffff,76.0,0.0,0.0
825f47fffffffff,12.0,1.0,0.0
825f57fffffffff,5.0,0.0,0.0
825f77fffffffff,18.0,1.0,0.0
828047fffffffff,51.0,0.0,0.0
82804ffffffffff,7.0,0.0,0.0
828067fffffffff,8.0,0.0,0.0
82806ffffffffff,1.0,0.0,0.0
828077fffffffff,3.0,0.0,0.0
82814ffffffffff,24.0,0.0,0.0
828a17fffffffff,3.0,2.0,0.0
828a77fffffffff,1.0,0.0,0.0
828a87fffffffff,4.0,0.0,0.0
828a9ffffffffff,1.0,0.0,0.0
828adffffffffff,5.0,0.0,0.0
828af7fffffffff,366.0,21.0,0.0
828b27fffffffff,25.0,0.0,0.0
828b2ffffffffff,1.0,0.0,0.0
828b47fffffffff,76.0,0.0,1.0
828b67fffffffff,202.0,0.0,5.0
828b6ffffffffff,2.0,0.0,0.0
828b77fffffffff,30.0,0.0,0.0
828e67fffffffff,22.0,0.0,0.0
828f6ffffffffff,2.0,0.0,0.0
82b327fffffffff,17.0,0.0,0.0
