cell_id,Emberiza cabanisi,Emberiza cabanisi cabanisi,Emberiza cabanisi orientalis
8258a7fffffffff,2.0,0.0,0.0
8258b7fffffffff,2.0,0.0,0.0
8258cffffffffff,3.0,0.0,0.0
8258d7fffffffff,2.0,0.0,0.0
8258dffffffffff,6.0,1.0,0.0
8258f7fffffffff,1.0,0.0,0.0
826ac7fffffffff,9.0,2.0,0.0
826ae7fffffffff,3.0,2.0,0.0
826aeffffffffff,95.0,13.0,0.0
827527fffffffff,18.0,0.0,0.0
827537fffffffff,1.0,0.0,0.0
827a4ffffffffff,1.0,0.0,0.0
827b4ffffffffff,81.0,0.0,23.0
8282a7fffffffff,8.0,0.0,0.0
828317fffffffff,1.0,0.0,0.0
8283a7fffffffff,10.0,0.0,2.0
829607fffffffff,37.0,0.0,5.0
82960ffffffffff,16.0,0.0,0.0
829617fffffffff,12.0,0.0,0.0
829627fffffffff,28.0,0.0,7.0
82962ffffffffff,8.0,0.0,2.0
829637fffffffff,32.0,0.0,3.0
829657fffffffff,8.0,0.0,5.0
829677fffffffff,6.0,0.0,1.0
8296a7fffffffff,16.0,0.0,3.0
8296affffffffff,3.0,0.0,2.0
8296b7fffffffff,43.0,0.0,3.0
829707fffffffff,31.0,0.0,7.0
829717fffffffff,15.0,0.0,0.0
82971ffffffffff,46.0,0.0,7.0
829737fffffffff,2.0,0.0,0.0
829757fffffffff,33.0,0.0,10.0
82978ffffffffff,31.0,0.0,3.0
82979ffffffffff,3.0,0.0,0.0
8297affffffffff,7.0,0.0,0.0
82ac9ffffffffff,1.0,0.0,0.0
